mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
raw-bit,integer-ordered-fixed,131072,native-0.kv,32768,325160,322126,2577001,131117,2097152,348732,1920,744,144,0,0,0,0,0,224,2,479849,2186,64,0,0,0
raw-bit,integer-ordered-fixed,131072,native-1.kv,32768,325160,322126,2577001,131117,2097152,348732,1920,744,144,0,0,0,0,0,224,2,479849,2186,64,0,0,0
raw-bit,integer-ordered-fixed,131072,native-2.kv,65536,621288,615673,4925379,163885,4194304,567190,3832,1264,288,0,0,0,0,0,224,7,731075,4371,64,0,0,0
raw-bit,integer-ordered-fixed,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
raw-bit,integer-ordered-fixed,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
raw-bit,integer-ordered-fixed,131072,route-1.index,4370,54384,10435,83477,30087,0,53390,296,88,48,0,2800,547,39616,0,544,10,83477,294,0,0,0,0
raw-bit,integer-ordered-fixed,131072,route-2.index,4661,19512,12578,100616,36248,0,64368,320,96,32,0,368,584,4976,0,544,14,100616,314,0,0,0,0
raw-bit,integer-ordered-fixed,131072,route-3.index,311,2024,977,7816,3356,0,4460,24,16,32,0,48,39,336,0,544,8,7816,23,0,0,0,0
raw-bit,integer-ordered-fixed,131072,route-4.index,21,760,85,676,350,0,326,8,16,32,0,32,3,32,0,544,8,676,4,0,0,0,0
raw-bit,integer-ordered-fixed,131072,route-5.index,2,672,15,113,81,0,32,8,16,32,0,32,1,16,0,544,8,113,3,0,0,0,0
raw-bit,integer-ordered-variable,131072,native-0.kv,32768,8516704,8511700,68093599,131117,66925664,1036818,3832,800,144,0,0,0,0,0,224,4,68093599,2186,0,0,0,0
raw-bit,integer-ordered-variable,131072,native-1.kv,32768,8540352,8535346,68282761,131117,67114488,1037156,3832,800,144,0,0,0,0,0,224,6,68282761,2186,0,0,0,0
raw-bit,integer-ordered-variable,131072,native-2.kv,65536,17064256,17054494,136435949,163885,134327456,1944608,7656,1592,288,0,0,0,0,0,224,2,136435949,4371,0,0,0,0
raw-bit,integer-ordered-variable,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-1.index,4370,54384,10435,83477,30087,0,53390,296,88,48,0,2800,547,39616,0,544,10,83477,294,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-2.index,4661,19512,12578,100616,36248,0,64368,320,96,32,0,368,584,4976,0,544,14,100616,314,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-3.index,311,2024,977,7816,3356,0,4460,24,16,32,0,48,39,336,0,544,8,7816,23,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-4.index,21,760,85,676,350,0,326,8,16,32,0,32,3,32,0,544,8,676,4,0,0,0,0
raw-bit,integer-ordered-variable,131072,route-5.index,2,672,15,113,81,0,32,8,16,32,0,32,1,16,0,544,8,113,3,0,0,0,0
raw-bit,integer-random-fixed,131072,native-0.kv,32768,562824,559148,4473182,1663080,2097152,712950,2736,568,144,0,0,0,0,0,224,4,2376030,2186,64,0,0,0
