mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
typed-byte-known,integer-ordered-fixed,131072,native-0.kv,32768,363368,360968,2887744,266304,2097152,524288,1368,664,144,0,0,0,0,0,224,0,98824,2186,64,32768,521,99345
typed-byte-known,integer-ordered-fixed,131072,native-1.kv,32768,363368,360968,2887744,266304,2097152,524288,1368,664,144,0,0,0,0,0,224,0,98824,2186,64,32768,9,98833
typed-byte-known,integer-ordered-fixed,131072,native-2.kv,65536,725984,721416,5771328,528448,4194304,1048576,2736,1320,288,0,0,0,0,0,224,0,197128,4371,64,65536,9,197137
typed-byte-known,integer-ordered-fixed,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
typed-byte-known,integer-ordered-fixed,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,integer-ordered-fixed,131072,route-1.index,4370,57480,13630,109040,39120,0,69920,184,104,48,0,2800,547,39616,0,544,7,13630,294,0,4370,9,13639
typed-byte-known,integer-ordered-fixed,131072,route-2.index,4661,21856,15023,120184,45608,0,74576,208,104,32,0,368,584,4976,0,544,17,15023,314,0,4661,53,15076
typed-byte-known,integer-ordered-fixed,131072,route-3.index,311,2288,1252,10016,5040,0,4976,16,16,32,0,48,39,336,0,544,5,1252,23,0,311,11,1263
typed-byte-known,integer-ordered-fixed,131072,route-4.index,21,768,92,736,400,0,336,8,16,32,0,32,3,32,0,544,9,92,4,0,21,9,101
typed-byte-known,integer-ordered-fixed,131072,route-5.index,2,672,16,128,96,0,32,8,16,32,0,32,1,16,0,544,7,16,3,0,2,9,25
typed-byte-known,integer-ordered-variable,131072,native-0.kv,32768,8607112,8602931,68823448,266304,67573176,983968,3008,800,144,0,0,0,0,0,224,5,8602931,2186,0,32768,521,99345
typed-byte-known,integer-ordered-variable,131072,native-1.kv,32768,8630824,8626641,69013128,266304,67762680,984144,3008,800,144,0,0,0,0,0,224,7,8626641,2186,0,32768,9,98833
