mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
typed-bit,integer-ordered-fixed,8192,native-0.kv,2048,33608,33059,264466,131072,131072,2322,160,56,16,0,0,0,0,17,288,12,133394,138,64,0,0,0
typed-bit,integer-ordered-fixed,8192,native-1.kv,2048,33608,33059,264466,131072,131072,2322,160,56,16,0,0,0,0,17,288,12,133394,138,64,0,0,0
typed-bit,integer-ordered-fixed,8192,native-2.kv,4096,66880,66117,528932,262144,262144,4644,312,104,32,0,0,0,0,17,288,10,266788,275,64,0,0,0
typed-bit,integer-ordered-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,64,0,0,0
typed-bit,integer-ordered-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,integer-ordered-fixed,8192,route-1.index,274,3992,658,5264,1932,0,3332,24,16,32,0,192,35,2480,0,544,11,5264,21,0,0,0,0
typed-bit,integer-ordered-fixed,8192,route-2.index,292,1848,799,6386,2364,0,4022,32,16,32,0,48,38,320,0,544,19,6386,23,0,0,0,0
typed-bit,integer-ordered-fixed,8192,route-3.index,20,744,69,546,262,0,284,8,16,32,0,32,3,32,0,544,8,546,4,0,0,0,0
typed-bit,integer-ordered-fixed,8192,route-4.index,2,672,14,106,78,0,28,8,16,32,0,32,1,16,0,544,9,106,3,0,0,0,0
typed-bit,integer-ordered-variable,8192,native-0.kv,2048,550480,549846,4398764,131072,4265370,2322,248,56,16,0,0,0,0,17,288,9,4398764,138,0,0,0,0
typed-bit,integer-ordered-variable,8192,native-1.kv,2048,550288,549655,4397236,131072,4263842,2322,248,56,16,0,0,0,0,17,288,8,4397236,138,0,0,0,0
typed-bit,integer-ordered-variable,8192,native-2.kv,4096,1077832,1076894,8615152,262144,8348364,4644,488,104,32,0,0,0,0,17,288,9,8615152,275,0,0,0,0
typed-bit,integer-ordered-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,integer-ordered-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,integer-ordered-variable,8192,route-1.index,274,3992,658,5264,1932,0,3332,24,16,32,0,192,35,2480,0,544,11,5264,21,0,0,0,0
typed-bit,integer-ordered-variable,8192,route-2.index,292,1848,799,6386,2364,0,4022,32,16,32,0,48,38,320,0,544,19,6386,23,0,0,0,0
typed-bit,integer-ordered-variable,8192,route-3.index,20,744,69,546,262,0,284,8,16,32,0,32,3,32,0,544,8,546,4,0,0,0,0
typed-bit,integer-ordered-variable,8192,route-4.index,2,672,14,106,78,0,28,8,16,32,0,32,1,16,0,544,9,106,3,0,0,0,0
typed-bit,integer-random-fixed,8192,native-0.kv,2048,33608,33059,264466,131072,131072,2322,160,56,16,0,0,0,0,17,288,12,133394,138,64,0,0,0
typed-bit,integer-random-fixed,8192,native-1.kv,2048,33608,33059,264466,131072,131072,2322,160,56,16,0,0,0,0,17,288,12,133394,138,64,0,0,0
typed-bit,integer-random-fixed,8192,native-2.kv,4096,66880,66117,528932,262144,262144,4644,312,104,32,0,0,0,0,17,288,10,266788,275,64,0,0,0
typed-bit,integer-random-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,64,0,0,0
typed-bit,integer-random-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,integer-random-fixed,8192,route-1.index,274,6064,2725,21797,15843,0,5954,32,16,32,0,192,35,2480,0,544,8,21797,21,0,0,0,0
typed-bit,integer-random-fixed,8192,route-2.index,292,3984,2937,23486,17148,0,6338,32,16,32,0,48,38,320,0,544,17,23486,23,0,0,0,0
typed-bit,integer-random-fixed,8192,route-3.index,20,888,209,1665,1231,0,434,8,16,32,0,32,3,32,0,544,12,1665,4,0,0,0,0
typed-bit,integer-random-fixed,8192,route-4.index,2,680,22,169,129,0,40,8,16,32,0,32,1,16,0,544,9,169,3,0,0,0,0
typed-bit,integer-random-variable,8192,native-0.kv,2048,542952,542315,4338520,131072,4205126,2322,248,56,16,0,0,0,0,17,288,12,4338520,138,0,0,0,0
typed-bit,integer-random-variable,8192,native-1.kv,2048,545688,545050,4360394,131072,4227000,2322,248,56,16,0,0,0,0,17,288,13,4360394,138,0,0,0,0
typed-bit,integer-random-variable,8192,native-2.kv,4096,1089968,1089030,8712238,262144,8445450,4644,488,104,32,0,0,0,0,17,288,9,8712238,275,0,0,0,0
typed-bit,integer-random-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,integer-random-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,integer-random-variable,8192,route-1.index,274,6064,2725,21797,15843,0,5954,32,16,32,0,192,35,2480,0,544,8,21797,21,0,0,0,0
typed-bit,integer-random-variable,8192,route-2.index,292,3984,2937,23486,17148,0,6338,32,16,32,0,48,38,320,0,544,17,23486,23,0,0,0,0
typed-bit,integer-random-variable,8192,route-3.index,20,888,209,1665,1231,0,434,8,16,32,0,32,3,32,0,544,12,1665,4,0,0,0,0
typed-bit,integer-random-variable,8192,route-4.index,2,680,22,169,129,0,40,8,16,32,0,32,1,16,0,544,9,169,3,0,0,0,0
typed-bit,string-structured-fixed,8192,native-0.kv,2048,55544,54998,439978,111376,282624,45978,176,40,16,0,0,0,0,17,288,9,157354,138,138,0,0,0
typed-bit,string-structured-fixed,8192,native-1.kv,2048,55544,54998,439978,111376,282624,45978,176,40,16,0,0,0,0,17,288,9,157354,138,138,0,0,0
typed-bit,string-structured-fixed,8192,native-2.kv,4096,109368,108605,868837,211733,565248,91856,344,72,32,0,0,0,0,17,288,10,303589,275,138,0,0,0
typed-bit,string-structured-fixed,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-structured-fixed,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-structured-fixed,8192,route-1.index,274,6272,2930,23435,17033,0,6402,32,16,32,0,192,35,2480,0,544,11,23435,21,0,0,0,0
typed-bit,string-structured-fixed,8192,route-2.index,292,4312,3268,26134,19016,0,7118,32,16,32,0,48,38,320,0,544,14,26134,23,0,0,0,0
typed-bit,string-structured-fixed,8192,route-3.index,20,944,269,2150,1636,0,514,8,16,32,0,32,3,32,0,544,8,2150,4,0,0,0,0
typed-bit,string-structured-fixed,8192,route-4.index,2,712,54,432,388,0,44,8,16,32,0,32,1,16,0,544,9,432,3,0,0,0,0
typed-bit,string-structured-variable,8192,native-0.kv,2048,553736,553097,4424772,111376,4267418,45978,248,56,16,0,0,0,0,17,288,14,4424772,138,0,0,0,0
typed-bit,string-structured-variable,8192,native-1.kv,2048,553544,552906,4423244,111376,4265890,45978,248,56,16,0,0,0,0,17,288,13,4423244,138,0,0,0,0
typed-bit,string-structured-variable,8192,native-2.kv,4096,1082944,1082007,8656049,211733,8352460,91856,488,104,32,0,0,0,0,17,288,8,8656049,275,0,0,0,0
typed-bit,string-structured-variable,8192,native-3.kv,0,320,0,0,0,0,0,0,8,16,0,0,0,0,8,288,0,0,1,0,0,0,0
typed-bit,string-structured-variable,8192,route-0.index,0,5312,0,0,0,0,0,0,16,32,0,336,0,4384,0,544,0,0,2,0,0,0,0
typed-bit,string-structured-variable,8192,route-1.index,274,6272,2930,23435,17033,0,6402,32,16,32,0,192,35,2480,0,544,11,23435,21,0,0,0,0
typed-bit,string-structured-variable,8192,route-2.index,292,4312,3268,26134,19016,0,7118,32,16,32,0,48,38,320,0,544,14,26134,23,0,0,0,0
