profile,distribution,records,key_bytes,query_kind,access,trial,queries,checksum,ef_select_calls,rank_calls,project_calls,byte_frame_calls,bit_frame_calls,compare_calls,materialize_calls
typed-byte,structured,8192,16,hit,independent,0,1024,15263246828060497809,10433,9576,4788,93092,0,45011,1024
typed-byte,structured,8192,16,hit,dependent,0,1024,9186972302383365945,10387,9558,4779,92337,0,45051,1024
typed-byte,structured,8192,16,miss,independent,0,1024,9454291803802297344,10895,10240,5120,98196,0,48902,0
typed-byte,structured,8192,16,miss,dependent,0,1024,9454291803802297344,10893,10240,5120,98189,0,48900,0
typed-byte,structured,8192,16,mixed,independent,0,1024,6792679470048290156,10605,9836,4918,95115,0,46665,512
typed-byte,structured,8192,16,mixed,dependent,0,1024,17669440381233605553,10477,9682,4841,93890,0,45859,634
typed-byte,structured,8192,128,hit,independent,0,1024,15263246828060497809,10433,9576,4788,93092,0,45011,1024
typed-byte,structured,8192,128,hit,dependent,0,1024,9186972302383365945,10387,9558,4779,92337,0,45051,1024
typed-byte,structured,8192,128,miss,independent,0,1024,9454291803802297344,10895,10240,5120,98196,0,48902,0
typed-byte,structured,8192,128,miss,dependent,0,1024,9454291803802297344,10893,10240,5120,98189,0,48900,0
typed-byte,structured,8192,128,mixed,independent,0,1024,6792679470048290156,10605,9836,4918,95115,0,46665,512
typed-byte,structured,8192,128,mixed,dependent,0,1024,17669440381233605553,10477,9682,4841,93890,0,45859,634
typed-byte,hash,8192,16,hit,independent,0,1024,15263246828060497809,10377,9576,4788,91804,0,40601,1024
typed-byte,hash,8192,16,hit,dependent,0,1024,9186972302383365945,10317,9558,4779,91215,0,40148,1024
typed-byte,hash,8192,16,miss,independent,0,1024,9454291803802297344,10834,10240,5120,96451,0,43166,0
typed-byte,hash,8192,16,miss,dependent,0,1024,9454291803802297344,10833,10240,5120,96459,0,43178,0
typed-byte,hash,8192,16,mixed,independent,0,1024,6792679470048290156,10533,9836,4918,93297,0,41668,512
typed-byte,hash,8192,16,mixed,dependent,0,1024,17669440381233605553,10447,9682,4841,92436,0,41155,634
typed-byte,hash,8192,128,hit,independent,0,1024,15263246828060497809,10377,9576,4788,91804,0,40601,1024
typed-byte,hash,8192,128,hit,dependent,0,1024,9186972302383365945,10317,9558,4779,91215,0,40148,1024
typed-byte,hash,8192,128,miss,independent,0,1024,9454291803802297344,10834,10240,5120,96451,0,43166,0
typed-byte,hash,8192,128,miss,dependent,0,1024,9454291803802297344,10833,10240,5120,96459,0,43178,0
typed-byte,hash,8192,128,mixed,independent,0,1024,6792679470048290156,10533,9836,4918,93297,0,41668,512
typed-byte,hash,8192,128,mixed,dependent,0,1024,17669440381233605553,10447,9682,4841,92436,0,41155,634
typed-byte,structured,131072,16,hit,independent,0,1024,10987157055868982125,11427,11624,5812,103395,0,49135,1024
typed-byte,structured,131072,16,hit,dependent,0,1024,5194474553496798881,11430,11586,5793,102656,0,48811,1024
typed-byte,structured,131072,16,miss,independent,0,1024,9454291803802297344,11873,12288,6144,108421,0,52996,0
typed-byte,structured,131072,16,miss,dependent,0,1024,9454291803802297344,11875,12288,6144,108444,0,53000,0
typed-byte,structured,131072,16,mixed,independent,0,1024,8853849158989306707,11587,11884,5942,105329,0,50750,512
typed-byte,structured,131072,16,mixed,dependent,0,1024,12674220610458925796,11566,11830,5915,105282,0,50575,609
typed-byte,structured,131072,128,hit,independent,0,1024,10987157055868982125,11427,11624,5812,103395,0,49135,1024
typed-byte,structured,131072,128,hit,dependent,0,1024,5194474553496798881,11430,11586,5793,102656,0,48811,1024
typed-byte,structured,131072,128,miss,independent,0,1024,9454291803802297344,11873,12288,6144,108421,0,52996,0
typed-byte,structured,131072,128,miss,dependent,0,1024,9454291803802297344,11875,12288,6144,108444,0,53000,0
typed-byte,structured,131072,128,mixed,independent,0,1024,8853849158989306707,11587,11884,5942,105329,0,50750,512
typed-byte,structured,131072,128,mixed,dependent,0,1024,12674220610458925796,11566,11830,5915,105282,0,50575,609
typed-byte,hash,131072,16,hit,independent,0,1024,10987157055868982125,11402,11624,5812,103180,0,46893,1024
typed-byte,hash,131072,16,hit,dependent,0,1024,5194474553496798881,11359,11586,5793,102879,0,46689,1024
typed-byte,hash,131072,16,miss,independent,0,1024,9454291803802297344,11895,12288,6144,108314,0,48617,0
typed-byte,hash,131072,16,miss,dependent,0,1024,9454291803802297344,11895,12288,6144,108295,0,48614,0
typed-byte,hash,131072,16,mixed,independent,0,1024,8853849158989306707,11607,11884,5942,104965,0,46939,512
typed-byte,hash,131072,16,mixed,dependent,0,1024,12674220610458925796,11566,11830,5915,104554,0,46810,609
typed-byte,hash,131072,128,hit,independent,0,1024,10987157055868982125,11402,11624,5812,103180,0,46893,1024
typed-byte,hash,131072,128,hit,dependent,0,1024,5194474553496798881,11359,11586,5793,102879,0,46689,1024
typed-byte,hash,131072,128,miss,independent,0,1024,9454291803802297344,11895,12288,6144,108314,0,48617,0
typed-byte,hash,131072,128,miss,dependent,0,1024,9454291803802297344,11895,12288,6144,108295,0,48614,0
typed-byte,hash,131072,128,mixed,independent,0,1024,8853849158989306707,11607,11884,5942,104965,0,46939,512
typed-byte,hash,131072,128,mixed,dependent,0,1024,12674220610458925796,11566,11830,5915,104554,0,46810,609
typed-bit,structured,8192,16,hit,independent,0,1024,15263246828060497809,11677,9576,4788,35857,57235,38210,1024
typed-bit,structured,8192,16,hit,dependent,0,1024,9186972302383365945,11584,9558,4779,36014,56323,38472,1024
typed-bit,structured,8192,16,miss,independent,0,1024,9454291803802297344,12181,10240,5120,36536,61660,41917,0
typed-bit,structured,8192,16,miss,dependent,0,1024,9454291803802297344,12177,10240,5120,36549,61640,41912,0
typed-bit,structured,8192,16,mixed,independent,0,1024,6792679470048290156,11867,9836,4918,36054,59061,39861,512
