phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
primary,typed-bit,hash,131072,128,hit,dependent,base,3,8096.416,8096.416,1.0,8042.399,8130.859,8042.399,8130.859,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,hit,dependent,direct32,3,8096.416,7580.546,1.0680518263460177,8042.399,8130.859,7436.89,8061.544,overlap,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,hit,dependent,sub32,3,8096.416,8211.446,0.9859915050284689,8042.399,8130.859,8202.901,8224.04,slower,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,128,hit,independent,base,3,8097.392,8097.392,1.0,8079.61,8444.479,8079.61,8444.479,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,hit,independent,direct32,3,8097.392,7679.016,1.0544830223038995,8079.61,8444.479,7644.023,7684.978,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,hit,independent,sub32,3,8097.392,8176.188,0.9903627460621013,8079.61,8444.479,8006.755,8219.829,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,128,miss,dependent,base,3,8370.239,8370.239,1.0,8098.775,8786.133,8098.775,8786.133,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,miss,dependent,direct32,3,8370.239,7949.809,1.052885547313149,8098.775,8786.133,7829.346,7967.875,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,miss,dependent,sub32,3,8370.239,8582.561,0.9752612303017713,8098.775,8786.133,8499.084,8585.917,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,128,miss,independent,base,3,8564.087,8564.087,1.0,8299.907,8571.411,8299.907,8571.411,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,miss,independent,direct32,3,8564.087,8226.379,1.0410518406701172,8299.907,8571.411,7989.706,8268.168,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,miss,independent,sub32,3,8564.087,8447.937,1.0137489188188784,8299.907,8571.411,8387.085,8550.272,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,128,mixed,dependent,base,3,8155.314,8155.314,1.0,7978.434,8362.997,7978.434,8362.997,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,mixed,dependent,direct32,3,8155.314,7788.167,1.047141644497351,7978.434,8362.997,7657.125,8048.665,overlap,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,mixed,dependent,sub32,3,8155.314,8024.963,1.0162431901555184,7978.434,8362.997,8015.482,8209.29,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,128,mixed,independent,base,3,8185.323,8185.323,1.0,8091.044,8466.289,8091.044,8466.289,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,316029700.0
primary,typed-bit,hash,131072,128,mixed,independent,direct32,3,8185.323,7895.609,1.0366930530627847,8091.044,8466.289,7586.731,7906.901,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,305668800.0
primary,typed-bit,hash,131072,128,mixed,independent,sub32,3,8185.323,8256.876,0.9913341316982355,8091.044,8466.289,8154.439,8426.27,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309875400.0
primary,typed-bit,hash,131072,16,hit,dependent,base,3,7021.2,7021.2,1.0,6851.583,7163.9,6851.583,7163.9,overlap,9362488,9362488,0.0,21552,0.23019522161203304,1024,179794600.0
primary,typed-bit,hash,131072,16,hit,dependent,direct32,3,7021.2,6561.768,1.0700164955542468,6851.583,7163.9,6512.492,6677.999,faster,9362488,9391096,0.30555980418880413,50160,0.5341229607279065,0,176735300.0
primary,typed-bit,hash,131072,16,hit,dependent,sub32,3,7021.2,6830.729,1.0278844322472755,6851.583,7163.9,6770.67,6879.11,overlap,9362488,9363512,0.010937263684618337,22576,0.24110611488509867,2048,177363100.0
primary,typed-bit,hash,131072,16,hit,independent,base,3,6961.019,6961.019,1.0,6824.625,7161.173,6824.625,7161.173,overlap,9362488,9362488,0.0,21552,0.23019522161203304,1024,179794600.0
primary,typed-bit,hash,131072,16,hit,independent,direct32,3,6961.019,6469.381,1.0759945967009827,6824.625,7161.173,6452.556,6745.992,faster,9362488,9391096,0.30555980418880413,50160,0.5341229607279065,0,176735300.0
primary,typed-bit,hash,131072,16,hit,independent,sub32,3,6961.019,7001.994,0.9941480955282167,6824.625,7161.173,6778.809,7060.893,overlap,9362488,9363512,0.010937263684618337,22576,0.24110611488509867,2048,177363100.0
primary,typed-bit,hash,131072,16,miss,dependent,base,3,7365.926,7365.926,1.0,7199.341,7546.814,7199.341,7546.814,overlap,9362488,9362488,0.0,21552,0.23019522161203304,1024,179794600.0
primary,typed-bit,hash,131072,16,miss,dependent,direct32,3,7365.926,6907.776,1.0663238066781553,7199.341,7546.814,6724.142,7116.028,faster,9362488,9391096,0.30555980418880413,50160,0.5341229607279065,0,176735300.0
primary,typed-bit,hash,131072,16,miss,dependent,sub32,3,7365.926,7188.68,1.0246562651279512,7199.341,7546.814,6907.328,7205.811,overlap,9362488,9363512,0.010937263684618337,22576,0.24110611488509867,2048,177363100.0
primary,typed-bit,hash,131072,16,miss,independent,base,3,7437.744,7437.744,1.0,7382.548,7455.627,7382.548,7455.627,overlap,9362488,9362488,0.0,21552,0.23019522161203304,1024,179794600.0
primary,typed-bit,hash,131072,16,miss,independent,direct32,3,7437.744,6922.078,1.0744958378105534,7382.548,7455.627,6848.633,7160.665,faster,9362488,9391096,0.30555980418880413,50160,0.5341229607279065,0,176735300.0
primary,typed-bit,hash,131072,16,miss,independent,sub32,3,7437.744,7128.032,1.043449861055618,7382.548,7455.627,6971.578,7402.384,overlap,9362488,9363512,0.010937263684618337,22576,0.24110611488509867,2048,177363100.0
primary,typed-bit,hash,131072,16,mixed,dependent,base,3,6959.147,6959.147,1.0,6835.571,7181.742,6835.571,7181.742,overlap,9362488,9362488,0.0,21552,0.23019522161203304,1024,179794600.0
primary,typed-bit,hash,131072,16,mixed,dependent,direct32,3,6959.147,6495.3,1.0714127138084462,6835.571,7181.742,6465.21,6715.963,faster,9362488,9391096,0.30555980418880413,50160,0.5341229607279065,0,176735300.0
