profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-bit,hash,131072,128,random,base,0,3,8181.121,8267.231,8510.485,1.0402590305167227,8152.649,8220.654,8482.476,1.040456420974336,0.9943660700904572,0.996519792336527,0.996708883218759
typed-bit,hash,131072,128,random,base,1,3,8684.167,8728.163,8811.631,1.0146777462939163,8636.374,8681.438,8773.681,1.0158986861847346,0.9944965360523352,0.9946466398484995,0.9956931923272776
typed-bit,hash,131072,128,random,base,2,3,8643.73,8646.583,8699.863,1.0064940714251833,8590.972,8601.65,8641.44,1.0058745389927939,0.993284606895534,0.9938963850097122,0.9948033807112011
typed-bit,hash,131072,128,random,direct32,0,3,7910.25,8011.719,8143.476,1.02948402389305,7876.999,7969.498,8087.498,1.0267232482827533,0.9931260311935591,0.9947300947524494,0.9957964666097784
typed-bit,hash,131072,128,random,direct32,1,3,8239.565,8253.544,8291.409,1.0062920797396464,8196.091,8206.48,8244.432,1.0058980555486756,0.9942977222875409,0.9943342560956769,0.9947237505863477
typed-bit,hash,131072,128,random,direct32,2,3,7685.433,7692.263,7751.235,1.0085619118662539,7656.953,7665.318,7716.775,1.0078127683427074,0.9955542568377813,0.9962942881682789,0.9964971296483233
typed-bit,hash,131072,128,random,direct64,0,3,8068.503,8168.105,8288.478,1.0272634217276735,8031.429,8118.924,8240.219,1.0259966190325531,0.993978897186067,0.994177580009261,0.995405095592082
typed-bit,hash,131072,128,random,direct64,1,3,7977.868,8293.999,8339.687,1.0453528436419353,7937.92,8243.613,8297.45,1.0452927215189873,0.9939250052959977,0.9949354214372794,0.9949926471583636
typed-bit,hash,131072,128,random,direct64,2,3,8162.882,8192.796,8302.854,1.0171473751550004,8109.037,8147.296,8258.617,1.0184460867548144,0.9934036777696897,0.9944463404190707,0.9946720730004407
typed-bit,hash,131072,128,random,packed,0,3,8300.494,8304.131,8354.465,1.0065021431254573,8250.34,8257.448,8303.132,1.0063987665962857,0.9938556209164799,0.9939577090231014,0.99437834012975
typed-bit,hash,131072,128,random,packed,1,3,8307.627,8341.529,8383.348,1.0091146364659846,8261.334,8314.116,8345.83,1.0102278881352575,0.994427650639587,0.9955246996784578,0.9967136720378242
typed-bit,hash,131072,128,random,packed,2,3,7687.381,7708.454,7740.708,1.0069369529102303,7662.049,7681.051,7705.009,1.0056068552941908,0.9953881479575254,0.9964450718652534,0.9967047294780887
typed-bit,hash,131072,128,random,sub32,0,3,8567.079,8601.241,8687.983,1.014112628119806,8515.083,8542.168,8638.568,1.0145019138392426,0.9931320375745779,0.9939307201439371,0.9943122586680935
typed-bit,hash,131072,128,random,sub32,1,3,8508.3,8577.08,8688.976,1.021235264388891,8453.875,8539.16,8642.338,1.0222930904466887,0.993603305008051,0.9946325090551521,0.9955789149687306
typed-bit,hash,131072,128,random,sub32,2,3,8476.803,8574.59,8619.162,1.0167939493226397,8426.089,8522.778,8572.032,1.0173203724764834,0.9939574953438007,0.9940173199731078,0.9945319510179759
typed-bit,hash,131072,128,sorted,base,0,3,7396.88,7494.609,7510.305,1.0153341679194472,7358.421,7448.246,7466.337,1.014665646339072,0.9938138200405118,0.9941456438853016,0.994800645677637
typed-bit,hash,131072,128,sorted,base,1,3,7400.445,7406.593,7504.56,1.0140687485684983,7367.081,7374.55,7459.749,1.0125786590374124,0.9940288304710735,0.9954916224632439,0.9956737193470736
typed-bit,hash,131072,128,sorted,base,2,3,7460.923,7482.457,7523.26,1.0083551324681947,7426.252,7447.093,7482.423,1.007563842433572,0.9945719010109978,0.9952737449744115,0.9953529878273775
typed-bit,hash,131072,128,sorted,direct32,0,3,7172.383,7180.104,7207.723,1.0049272326923981,7125.157,7142.923,7166.683,1.0058280821040153,0.9934155775005323,0.9943061074905348,0.9948216627502888
typed-bit,hash,131072,128,sorted,direct32,1,3,7111.73,7220.935,7227.215,1.0162386648536996,7068.233,7179.571,7179.845,1.0157906509307206,0.9934456080246679,0.9938837666784314,0.9942716559559115
typed-bit,hash,131072,128,sorted,direct32,2,3,6674.266,6711.104,6988.29,1.0470499677417713,6650.506,6680.403,6945.589,1.0443700073347801,0.99388963537575,0.9954253428348003,0.9964400579779111
typed-bit,hash,131072,128,sorted,direct64,0,3,7173.862,7208.722,7232.752,1.0082089674989567,7132.8,7169.226,7188.332,1.0077854419021983,0.9938584925903722,0.9942761653346552,0.9945210815453834
typed-bit,hash,131072,128,sorted,direct64,1,3,7042.809,7230.908,7250.53,1.0294940555678849,6993.061,7185.952,7204.365,1.030216238639989,0.9929363411672814,0.9936328792515857,0.9937828001683883
typed-bit,hash,131072,128,sorted,direct64,2,3,6993.406,7126.863,7273.192,1.0400071152740167,6942.781,7086.68,7236.524,1.0423091265589395,0.9927610380406915,0.9943617549544589,0.9949584721536294
typed-bit,hash,131072,128,sorted,packed,0,3,7139.61,7169.35,7274.232,1.0188556517792988,7096.636,7128.801,7213.771,1.016505707774782,0.991688332184071,0.9939809037188306,0.994344117667571
typed-bit,hash,131072,128,sorted,packed,1,3,7221.162,7223.672,7251.801,1.0042429459413873,7185.795,7188.521,7209.487,1.0032970603809321,0.9941650356925128,0.9947565448708081,0.9954798133596781
typed-bit,hash,131072,128,sorted,packed,2,3,6714.829,6779.945,6861.06,1.0217773229966096,6679.396,6716.945,6793.987,1.0171558925387865,0.9902241053131732,0.9907078892232901,0.9947231716548552
typed-bit,hash,131072,128,sorted,sub32,0,3,7485.491,7556.302,7577.412,1.0122798891882978,7444.945,7512.801,7528.72,1.0112526015974599,0.9935740593226289,0.9942430834553728,0.9945833880502962
typed-bit,hash,131072,128,sorted,sub32,1,3,7320.169,7545.343,7612.509,1.0399362364448144,7294.771,7499.935,7558.638,1.0361720744900698,0.9929233581201677,0.9939819833240187,0.9965304079728213
typed-bit,hash,131072,128,sorted,sub32,2,3,6995.173,7484.156,7576.481,1.083101304285112,6975.479,7443.952,7533.539,1.0800031080302872,0.9943321972298221,0.994628118387698,0.9971846300298792
typed-bit,hash,2097152,128,random,base,0,3,9848.789,9898.853,9938.405,1.0090991897582535,9821.972,9872.229,9908.967,1.0088571826513046,0.9970379552855815,0.9972771271676141,0.9973103954569282
typed-bit,hash,2097152,128,random,base,1,3,9763.709,9913.958,9971.85,1.0213178209223563,9715.932,9877.319,9883.106,1.017206172295154,0.9905202144035459,0.9951066751374913,0.9968880239355461
typed-bit,hash,2097152,128,random,base,2,3,9540.952,9580.851,9611.53,1.0073973750208576,9520.188,9561.811,9589.844,1.007316662233981,0.9977437515151072,0.9978236972578838,0.9980127026294427
typed-bit,hash,2097152,128,random,direct32,0,3,9521.421,9571.929,9639.766,1.0124293422168813,9492.99,9534.427,9612.652,1.0126053013855487,0.9960820854396224,0.9970139961251582,0.9971872761226777
typed-bit,hash,2097152,128,random,direct32,1,3,9344.205,9710.744,9745.949,1.0429939197609641,9322.425,9687.375,9711.292,1.041713073583322,0.9964439584077445,0.9975934902619201,0.9976691436029067
typed-bit,hash,2097152,128,random,direct32,2,3,9722.347,9900.382,10001.244,1.0286861804047933,9675.395,9870.319,9953.238,1.0287164503361361,0.9951707134090154,0.9951999971203581,0.9969634505012028
typed-bit,hash,2097152,128,random,direct64,0,3,9357.315,9393.997,9406.322,1.0052372929627782,9329.117,9364.524,9370.058,1.004388518227395,0.9961447205400794,0.9968625708524285,0.9969865287211128
typed-bit,hash,2097152,128,random,direct64,1,3,9612.815,9616.039,9669.823,1.0059304168445975,9585.38,9592.473,9645.79,1.0063023062205152,0.9971459972963174,0.9975146390993921,0.9975493027846496
typed-bit,hash,2097152,128,random,direct64,2,3,9664.475,9973.803,10756.152,1.1129577136885345,9624.269,9935.93,10692.406,1.1109837017232167,0.9940735311289763,0.9958398154064241,0.9962027523503322
typed-bit,hash,2097152,128,random,packed,0,3,9574.98,9605.529,9654.265,1.008280435050517,9547.838,9573.814,9629.18,1.0085194155996364,0.996698255764987,0.9971653204497555,0.9974016665173372
typed-bit,hash,2097152,128,random,packed,1,3,9654.508,9862.245,9874.566,1.0227932899325374,9546.748,9578.324,9588.9,1.0044153255118915,0.9699994916232267,0.9722836940270698,0.9888383747778757
typed-bit,hash,2097152,128,random,packed,2,3,10084.72,10095.493,10282.684,1.0196300938449456,10030.746,10036.045,10231.095,1.0199734895091552,0.9941114317052173,0.9946479426300383,0.9949829246916466
typed-bit,hash,2097152,128,random,sub32,0,3,9777.367,9779.843,9905.496,1.013104652817062,9750.809,9751.275,9883.093,1.0135664640749298,0.9970312406855609,0.997331387887966,0.997738326278664
