phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
scheduled-size-panel,typed-bit,hash,131072,128,hit,random,base,3,8646.583,8646.583,1.0,8267.231,8728.163,8267.231,8728.163,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,293681500.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,random,direct32,3,8646.583,8011.719,1.0792419204917199,8267.231,8728.163,7692.263,8253.544,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,291675000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,random,direct64,3,8646.583,8192.796,1.05538853890662,8267.231,8728.163,8168.105,8293.999,overlap,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,294611000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,random,packed,3,8646.583,8304.131,1.0412387521343294,8267.231,8728.163,7708.454,8341.529,overlap,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,290064000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,random,sub32,3,8646.583,8577.08,1.0081033405308102,8267.231,8728.163,8574.59,8601.241,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,290938600.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,sorted,base,3,7482.457,7482.457,1.0,7406.593,7494.609,7406.593,7494.609,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,293681500.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,sorted,direct32,3,7482.457,7180.104,1.0421098357349698,7406.593,7494.609,6711.104,7220.935,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,291675000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,sorted,direct64,3,7482.457,7208.722,1.0379727502322882,7406.593,7494.609,7126.863,7230.908,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,294611000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,sorted,packed,3,7482.457,7169.35,1.043672996854666,7406.593,7494.609,6779.945,7223.672,faster,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,290064000.0
scheduled-size-panel,typed-bit,hash,131072,128,hit,sorted,sub32,3,7482.457,7545.343,0.991665587634651,7406.593,7494.609,7484.156,7556.302,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,290938600.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,random,base,3,9898.853,9898.853,1.0,9580.851,9913.958,9580.851,9913.958,overlap,488848920,488848920,0.0,410928,0.08406032685926769,12768,4460623000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,random,direct32,3,9898.853,9710.744,1.0193712242851833,9580.851,9913.958,9571.929,9900.382,overlap,488848920,489238616,0.07971706268676826,800624,0.16364693501626618,0,4614825000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,random,direct64,3,9898.853,9616.039,1.029410654428502,9580.851,9913.958,9393.997,9973.803,overlap,488848920,490039152,0.24347645076110425,1601160,0.3267412396469089,0,4645199000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,random,packed,3,9898.853,9862.245,1.0037119337432805,9580.851,9913.958,9605.529,10095.493,overlap,488848920,489214840,0.07485339233233024,776848,0.15879485585514944,0,4785716000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,random,sub32,3,9898.853,10266.349,0.9642038274755709,9580.851,9913.958,9779.843,10417.835,overlap,488848920,488861688,0.0026118498942295787,423696,0.08666991306547221,25536,4562224000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,sorted,base,3,8020.667,8020.667,1.0,7977.328,8026.365,7977.328,8026.365,overlap,488848920,488848920,0.0,410928,0.08406032685926769,12768,4460623000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,sorted,direct32,3,8020.667,7740.079,1.0362513095796568,7977.328,8026.365,7600.795,8115.862,overlap,488848920,489238616,0.07971706268676826,800624,0.16364693501626618,0,4614825000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,sorted,direct64,3,8020.667,7661.102,1.0469338484202404,7977.328,8026.365,7593.564,8132.064,overlap,488848920,490039152,0.24347645076110425,1601160,0.3267412396469089,0,4645199000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,sorted,packed,3,8020.667,8006.894,1.0017201426670568,7977.328,8026.365,7681.044,8046.08,overlap,488848920,489214840,0.07485339233233024,776848,0.15879485585514944,0,4785716000.0
scheduled-size-panel,typed-bit,hash,2097152,128,hit,sorted,sub32,3,8020.667,8304.288,0.9658464398151895,7977.328,8026.365,8069.176,8488.403,slower,488848920,488861688,0.0026118498942295787,423696,0.08666991306547221,25536,4562224000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,random,base,3,9547.314,9547.314,1.0,9313.636,9561.539,9313.636,9561.539,overlap,122404168,122404168,0.0,103112,0.08423896153601566,3392,1244983000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,random,direct32,3,9547.314,9065.309,1.0531702780346486,9313.636,9561.539,8863.786,9118.195,faster,122404168,122501336,0.07938291774509665,200280,0.16349209448621851,0,1221285000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,random,direct64,3,9547.314,9172.756,1.040833747240197,9313.636,9561.539,8965.361,9240.488,faster,122404168,122701520,0.24292636832432546,400464,0.3263724850352302,0,1219074000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,random,packed,3,9547.314,9159.718,1.042315276518338,9313.636,9561.539,8597.071,9232.73,faster,122404168,122482840,0.06427232118435544,181784,0.14841589238133276,0,1172427000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,random,sub32,3,9547.314,9500.592,1.0049177988066427,9313.636,9561.539,8984.296,9531.636,overlap,122404168,122407560,0.0027711474661629154,106504,0.08700769789055512,6784,1200907000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,sorted,base,3,7885.97,7885.97,1.0,7521.299,7907.787,7521.299,7907.787,overlap,122404168,122404168,0.0,103112,0.08423896153601566,3392,1244983000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,sorted,direct32,3,7885.97,7566.289,1.0422506991207976,7521.299,7907.787,7434.66,7570.33,overlap,122404168,122501336,0.07938291774509665,200280,0.16349209448621851,0,1221285000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,sorted,direct64,3,7885.97,7465.336,1.0563449521896937,7521.299,7907.787,7431.137,7599.716,overlap,122404168,122701520,0.24292636832432546,400464,0.3263724850352302,0,1219074000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,sorted,packed,3,7885.97,7300.334,1.080220439229219,7521.299,7907.787,7159.036,7517.618,faster,122404168,122482840,0.06427232118435544,181784,0.14841589238133276,0,1172427000.0
scheduled-size-panel,typed-bit,hash,524288,128,hit,sorted,sub32,3,7885.97,7938.925,0.9933297014394267,7521.299,7907.787,7466.366,7962.373,overlap,122404168,122407560,0.0027711474661629154,106504,0.08700769789055512,6784,1200907000.0
