profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-bit,hash,131072,128,random,base,0,3,8633.331,8874.784,8952.949,1.0370213999671738,8603.968,8852.383,8929.374,1.0378204567938885,0.9965988793896586,0.9973667894232391,0.9974758822299225
typed-bit,hash,131072,128,random,base,1,3,8732.177,8914.523,9014.657,1.0323493213662527,8703.162,8889.132,8990.331,1.0329959387174454,0.9966772318059975,0.9971517264580506,0.9973015057588992
typed-bit,hash,131072,128,sorted,base,0,3,7463.048,7840.044,7846.39,1.0513653402738399,7437.057,7816.546,7824.299,1.0520692526627133,0.9965173746705099,0.9970028229433406,0.9971845651312259
typed-bit,hash,131072,128,sorted,base,1,3,7646.669,7695.072,7744.239,1.012759804301716,7623.526,7673.234,7721.233,1.0128165103654136,0.9969734534082749,0.9970292755685872,0.9971620798349905
typed-bit,hash,2097152,128,random,base,0,3,10660.772,10691.624,10720.561,1.0056083180467605,10621.491,10662.64,10681.437,1.0056438403986785,0.9963153700313635,0.9963505641169338,0.9972890928450159
typed-bit,hash,2097152,128,random,base,1,3,10307.9,10367.082,10700.778,1.0381142618768129,10256.338,10337.29,10670.194,1.040351244274516,0.9949978172081607,0.9971262887666945,0.9971418900569659
typed-bit,hash,2097152,128,sorted,base,0,3,8977.323,9015.753,9039.628,1.0069402649319847,8953.437,8992.791,9013.38,1.0066949708810147,0.9970963406901255,0.9973392959126011,0.9974531245476665
typed-bit,hash,2097152,128,sorted,base,1,3,8403.009,8480.192,8896.147,1.0586858826403733,8355.475,8449.19,8869.233,1.0614875874800653,0.994343216816738,0.9963441865467199,0.9969746453155506
typed-byte,structured,131072,16,random,base,0,3,3571.152,3679.372,3723.901,1.0427730323436246,3551.996,3670.364,3712.915,1.0453038235403418,0.9946359046044526,0.9970498678670566,0.9975517561149023
typed-byte,structured,131072,16,random,base,1,3,3504.41,3683.137,3694.499,1.0542427969330073,3481.785,3671.291,3684.429,1.0582011812906311,0.993543849035929,0.9967837199648018,0.9972743259640888
typed-byte,structured,131072,16,sorted,base,0,3,3298.931,3302.477,3307.571,1.0026190302252456,3290.96,3294.118,3300.235,1.0028183265673238,0.9974688695788041,0.9975837627401118,0.9977820581931576
typed-byte,structured,131072,16,sorted,base,1,3,3065.997,3117.002,3269.379,1.0663347028715293,3054.651,3106.396,3261.031,1.0675625464251073,0.996299409294921,0.9965973714485907,0.9974466098913586
typed-byte,structured,2097152,16,random,base,0,3,4578.966,4610.613,4661.425,1.0180082140815196,4565.917,4599.097,4648.565,1.0181010736726048,0.9971502299864206,0.9972411869760855,0.997502284403397
typed-byte,structured,2097152,16,random,base,1,3,4659.352,4663.288,4669.295,1.0021339877304827,4647.178,4649.943,4657.087,1.0021322617726285,0.9971382852613865,0.9973854725392164,0.9973871903217443
typed-byte,structured,2097152,16,sorted,base,0,3,3788.544,3868.426,3951.012,1.0428840208797892,3771.456,3857.002,3942.191,1.0452703147007414,0.9954895601054126,0.9970468609196609,0.9977674074389041
typed-byte,structured,2097152,16,sorted,base,1,3,3736.845,3891.77,3969.582,1.0622816841479912,3726.47,3882.966,3956.491,1.061726244944948,0.9967021716644221,0.997223593700033,0.9977377902599588
