phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
size-panel,typed-bit,hash,1024,128,hit,random,base,2,5321.35,5321.35,1.0,5229.492,5413.208,5229.492,5413.208,overlap,246248,246248,0.0,640,0.2599005880250804,256,5377085.0
size-panel,typed-bit,hash,1024,128,hit,random,direct32,2,5321.35,5025.553,1.0588585972528795,5229.492,5413.208,5009.277,5041.829,faster,246248,246128,-0.0487313602547057,520,0.21127218357927582,0,4794170.0
size-panel,typed-bit,hash,1024,128,hit,random,direct64,2,5321.35,5015.7474999999995,1.060928605357427,5229.492,5413.208,4863.974,5167.521,faster,246248,246576,0.13319905136286447,968,0.39257673090649536,0,4692520.0
size-panel,typed-bit,hash,1024,128,hit,random,packed,2,5321.35,4991.9025,1.065996381139255,5229.492,5413.208,4913.615,5070.19,faster,246248,245920,-0.13319905136285337,312,0.12687052700065063,0,5217830.0
size-panel,typed-bit,hash,1024,128,hit,random,sub32,2,5321.35,5305.4805,1.0029911522622692,5229.492,5413.208,5274.088,5336.873,overlap,246248,246504,0.10396023521002107,896,0.36348294551001203,512,4625355.0
size-panel,typed-bit,hash,1024,128,hit,sorted,base,2,5128.316,5128.316,1.0,5064.86,5191.772,5064.86,5191.772,overlap,246248,246248,0.0,640,0.2599005880250804,256,5377085.0
size-panel,typed-bit,hash,1024,128,hit,sorted,direct32,2,5128.316,4834.4115,1.0607942662721201,5064.86,5191.772,4802.205,4866.618,faster,246248,246128,-0.0487313602547057,520,0.21127218357927582,0,4794170.0
size-panel,typed-bit,hash,1024,128,hit,sorted,direct64,2,5128.316,4915.8325,1.0432243165323472,5064.86,5191.772,4703.694,5127.971,overlap,246248,246576,0.13319905136286447,968,0.39257673090649536,0,4692520.0
size-panel,typed-bit,hash,1024,128,hit,sorted,packed,2,5128.316,4841.2474999999995,1.0592963900317016,5064.86,5191.772,4651.489,5031.006,faster,246248,245920,-0.13319905136285337,312,0.12687052700065063,0,5217830.0
size-panel,typed-bit,hash,1024,128,hit,sorted,sub32,2,5128.316,5021.423500000001,1.0212872903470498,5064.86,5191.772,4933.716,5109.131,overlap,246248,246504,0.10396023521002107,896,0.36348294551001203,512,4625355.0
size-panel,typed-bit,hash,131072,128,hit,random,base,2,8378.0555,8378.0555,1.0,8124.924,8631.187,8124.924,8631.187,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,292354300.0
size-panel,typed-bit,hash,131072,128,hit,random,direct32,2,8378.0555,7894.4105,1.061264232459156,8124.924,8631.187,7814.555,7974.266,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,288226000.0
size-panel,typed-bit,hash,131072,128,hit,random,direct64,2,8378.0555,8074.511,1.0375929266800181,8124.924,8631.187,8043.135,8105.887,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,289950100.0
size-panel,typed-bit,hash,131072,128,hit,random,packed,2,8378.0555,7915.7585,1.058402110170491,8124.924,8631.187,7812.516,8019.001,faster,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,288345150.0
size-panel,typed-bit,hash,131072,128,hit,random,sub32,2,8378.0555,8465.85,0.9896295705688147,8124.924,8631.187,8275.277,8656.423,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309242200.0
size-panel,typed-bit,hash,131072,128,hit,sorted,base,2,7288.6955,7288.6955,1.0,7226.431,7350.96,7226.431,7350.96,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,292354300.0
size-panel,typed-bit,hash,131072,128,hit,sorted,direct32,2,7288.6955,6945.441,1.0494215558090552,7226.431,7350.96,6887.4,7003.482,faster,30651952,30676016,0.07850723503677326,50160,0.16351536653260318,0,288226000.0
size-panel,typed-bit,hash,131072,128,hit,sorted,direct64,2,7288.6955,6989.6515,1.0427838211962357,7226.431,7350.96,6957.929,7021.374,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,289950100.0
size-panel,typed-bit,hash,131072,128,hit,sorted,packed,2,7288.6955,6982.8745,1.0437958608593065,7226.431,7350.96,6934.449,7031.3,faster,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,288345150.0
size-panel,typed-bit,hash,131072,128,hit,sorted,sub32,2,7288.6955,7327.2595,0.994736913575942,7226.431,7350.96,7213.666,7440.853,overlap,30651952,30652976,0.0033407334058210836,27120,0.08847428060492397,2048,309242200.0
size-panel,typed-bit,hash,32768,128,hit,random,base,2,7662.8705,7662.8705,1.0,7631.719,7694.022,7631.719,7694.022,overlap,7679128,7679128,0.0,6856,0.08928097044351911,448,72339650.0
size-panel,typed-bit,hash,32768,128,hit,random,direct32,2,7662.8705,7261.446,1.0552816202172406,7631.719,7694.022,7106.99,7415.902,faster,7679128,7684928,0.07552940906832006,12656,0.16468599315439258,0,76376800.0
size-panel,typed-bit,hash,32768,128,hit,random,direct64,2,7662.8705,7340.262000000001,1.0439505429097762,7631.719,7694.022,7321.939,7358.585,faster,7679128,7697496,0.23919382513222232,25224,0.32769097898849187,0,71151400.0
size-panel,typed-bit,hash,32768,128,hit,random,packed,2,7662.8705,7364.2615000000005,1.040548397147494,7631.719,7694.022,7348.573,7379.95,faster,7679128,7682152,0.039379471210798656,9880,0.12860979579680276,0,70338400.0
size-panel,typed-bit,hash,32768,128,hit,random,sub32,2,7662.8705,7677.79,0.9980567975940994,7631.719,7694.022,7671.01,7684.57,overlap,7679128,7679576,0.0058339957349273774,7304,0.09510941749909109,896,71388250.0
size-panel,typed-bit,hash,32768,128,hit,sorted,base,2,6859.396500000001,6859.396500000001,1.0,6837.649,6881.144,6837.649,6881.144,overlap,7679128,7679128,0.0,6856,0.08928097044351911,448,72339650.0
size-panel,typed-bit,hash,32768,128,hit,sorted,direct32,2,6859.396500000001,6460.571,1.0617322369802917,6837.649,6881.144,6325.399,6595.743,faster,7679128,7684928,0.07552940906832006,12656,0.16468599315439258,0,76376800.0
size-panel,typed-bit,hash,32768,128,hit,sorted,direct64,2,6859.396500000001,6590.557,1.0407916204958094,6837.649,6881.144,6570.759,6610.355,faster,7679128,7697496,0.23919382513222232,25224,0.32769097898849187,0,71151400.0
size-panel,typed-bit,hash,32768,128,hit,sorted,packed,2,6859.396500000001,6615.386,1.0368853004193557,6837.649,6881.144,6612.576,6618.196,faster,7679128,7682152,0.039379471210798656,9880,0.12860979579680276,0,70338400.0
size-panel,typed-bit,hash,32768,128,hit,sorted,sub32,2,6859.396500000001,6896.303,0.9946483644932655,6837.649,6881.144,6880.516,6912.09,overlap,7679128,7679576,0.0058339957349273774,7304,0.09510941749909109,896,71388250.0
size-panel,typed-bit,hash,8192,128,hit,random,base,2,6981.763,6981.763,1.0,6944.275,7019.251,6944.275,7019.251,overlap,1926400,1926400,0.0,2024,0.10506644518272425,288,19635450.0
