variant,trial,profile,group_size,base_records,prefix_bytes,queries,rounds,operation,ns_per_operation,digest_bytes,encoding_digest,checksum
baseline,0,byte_variable,15,4096,64,4096,3,build_base,1153778.000,119257,8180038338432148912,6714025962647786701
baseline,0,byte_variable,15,4096,64,4096,3,build_pipeline,629374.667,119257,8180038338432148912,6714025962647786701
baseline,0,byte_variable,15,4096,64,4096,3,search_window,1756.161,119257,8180038338432148912,6714025962647786701
baseline,0,bit_variable,15,4096,64,4096,3,build_base,1271931.000,33811,15862322199021992043,14866792129441211576
baseline,0,bit_variable,15,4096,64,4096,3,build_pipeline,1200152.667,33811,15862322199021992043,14866792129441211576
baseline,0,bit_variable,15,4096,64,4096,3,search_window,5319.922,33811,15862322199021992043,14866792129441211576
baseline,0,byte_fixed,7,4096,64,4096,3,build_base,665902.667,70115,7766595421667667205,14241506747131020005
baseline,0,byte_fixed,7,4096,64,4096,3,build_pipeline,660902.333,70115,7766595421667667205,14241506747131020005
baseline,0,byte_fixed,7,4096,64,4096,3,search_window,910.794,70115,7766595421667667205,14241506747131020005
baseline,0,bit_fixed,31,4096,64,4096,3,build_base,997860.667,24222,11961374171324083298,16721584521816058325
baseline,0,bit_fixed,31,4096,64,4096,3,build_pipeline,703875.000,24222,11961374171324083298,16721584521816058325
baseline,0,bit_fixed,31,4096,64,4096,3,search_window,6306.742,24222,11961374171324083298,16721584521816058325
candidate,0,byte_variable,15,4096,64,4096,3,build_base,324528.000,119257,8180038338432148912,6714025962647786701
candidate,0,byte_variable,15,4096,64,4096,3,build_pipeline,373291.667,119257,8180038338432148912,6714025962647786701
candidate,0,byte_variable,15,4096,64,4096,3,search_window,1331.933,119257,8180038338432148912,6714025962647786701
candidate,0,bit_variable,15,4096,64,4096,3,build_base,401888.667,33811,15862322199021992043,14866792129441211576
candidate,0,bit_variable,15,4096,64,4096,3,build_pipeline,573722.667,33811,15862322199021992043,14866792129441211576
candidate,0,bit_variable,15,4096,64,4096,3,search_window,1995.110,33811,15862322199021992043,14866792129441211576
candidate,0,byte_fixed,7,4096,64,4096,3,build_base,200875.333,70115,7766595421667667205,14241506747131020005
candidate,0,byte_fixed,7,4096,64,4096,3,build_pipeline,394388.667,70115,7766595421667667205,14241506747131020005
candidate,0,byte_fixed,7,4096,64,4096,3,search_window,721.422,70115,7766595421667667205,14241506747131020005
candidate,0,bit_fixed,31,4096,64,4096,3,build_base,280680.667,24222,11961374171324083298,16721584521816058325
candidate,0,bit_fixed,31,4096,64,4096,3,build_pipeline,393708.333,24222,11961374171324083298,16721584521816058325
candidate,0,bit_fixed,31,4096,64,4096,3,search_window,2166.026,24222,11961374171324083298,16721584521816058325
candidate,1,byte_variable,15,4096,64,4096,3,build_base,213791.667,119257,8180038338432148912,6714025962647786701
candidate,1,byte_variable,15,4096,64,4096,3,build_pipeline,248847.333,119257,8180038338432148912,6714025962647786701
candidate,1,byte_variable,15,4096,64,4096,3,search_window,941.979,119257,8180038338432148912,6714025962647786701
candidate,1,bit_variable,15,4096,64,4096,3,build_base,351430.000,33811,15862322199021992043,14866792129441211576
candidate,1,bit_variable,15,4096,64,4096,3,build_pipeline,526278.000,33811,15862322199021992043,14866792129441211576
candidate,1,bit_variable,15,4096,64,4096,3,search_window,1749.722,33811,15862322199021992043,14866792129441211576
candidate,1,byte_fixed,7,4096,64,4096,3,build_base,180819.667,70115,7766595421667667205,14241506747131020005
candidate,1,byte_fixed,7,4096,64,4096,3,build_pipeline,415403.000,70115,7766595421667667205,14241506747131020005
candidate,1,byte_fixed,7,4096,64,4096,3,search_window,690.230,70115,7766595421667667205,14241506747131020005
candidate,1,bit_fixed,31,4096,64,4096,3,build_base,295402.667,24222,11961374171324083298,16721584521816058325
candidate,1,bit_fixed,31,4096,64,4096,3,build_pipeline,403611.000,24222,11961374171324083298,16721584521816058325
candidate,1,bit_fixed,31,4096,64,4096,3,search_window,2177.151,24222,11961374171324083298,16721584521816058325
baseline,1,byte_variable,15,4096,64,4096,3,build_base,777041.667,119257,8180038338432148912,6714025962647786701
baseline,1,byte_variable,15,4096,64,4096,3,build_pipeline,406486.333,119257,8180038338432148912,6714025962647786701
baseline,1,byte_variable,15,4096,64,4096,3,search_window,1237.956,119257,8180038338432148912,6714025962647786701
baseline,1,bit_variable,15,4096,64,4096,3,build_base,1232500.333,33811,15862322199021992043,14866792129441211576
baseline,1,bit_variable,15,4096,64,4096,3,build_pipeline,1152583.000,33811,15862322199021992043,14866792129441211576
baseline,1,bit_variable,15,4096,64,4096,3,search_window,5316.637,33811,15862322199021992043,14866792129441211576
baseline,1,byte_fixed,7,4096,64,4096,3,build_base,712389.000,70115,7766595421667667205,14241506747131020005
baseline,1,byte_fixed,7,4096,64,4096,3,build_pipeline,661277.667,70115,7766595421667667205,14241506747131020005
baseline,1,byte_fixed,7,4096,64,4096,3,search_window,900.804,70115,7766595421667667205,14241506747131020005
baseline,1,bit_fixed,31,4096,64,4096,3,build_base,1039486.000,24222,11961374171324083298,16721584521816058325
baseline,1,bit_fixed,31,4096,64,4096,3,build_pipeline,697208.333,24222,11961374171324083298,16721584521816058325
baseline,1,bit_fixed,31,4096,64,4096,3,search_window,6246.514,24222,11961374171324083298,16721584521816058325
baseline,2,byte_variable,15,4096,64,4096,3,build_base,780111.333,119257,8180038338432148912,6714025962647786701
baseline,2,byte_variable,15,4096,64,4096,3,build_pipeline,416583.333,119257,8180038338432148912,6714025962647786701
baseline,2,byte_variable,15,4096,64,4096,3,search_window,1232.429,119257,8180038338432148912,6714025962647786701
baseline,2,bit_variable,15,4096,64,4096,3,build_base,1324847.333,33811,15862322199021992043,14866792129441211576
baseline,2,bit_variable,15,4096,64,4096,3,build_pipeline,1153722.000,33811,15862322199021992043,14866792129441211576
baseline,2,bit_variable,15,4096,64,4096,3,search_window,5227.790,33811,15862322199021992043,14866792129441211576
baseline,2,byte_fixed,7,4096,64,4096,3,build_base,667264.000,70115,7766595421667667205,14241506747131020005
baseline,2,byte_fixed,7,4096,64,4096,3,build_pipeline,704236.333,70115,7766595421667667205,14241506747131020005
baseline,2,byte_fixed,7,4096,64,4096,3,search_window,909.536,70115,7766595421667667205,14241506747131020005
baseline,2,bit_fixed,31,4096,64,4096,3,build_base,980222.000,24222,11961374171324083298,16721584521816058325
baseline,2,bit_fixed,31,4096,64,4096,3,build_pipeline,725889.000,24222,11961374171324083298,16721584521816058325
baseline,2,bit_fixed,31,4096,64,4096,3,search_window,6156.077,24222,11961374171324083298,16721584521816058325
candidate,2,byte_variable,15,4096,64,4096,3,build_base,217944.667,119257,8180038338432148912,6714025962647786701
candidate,2,byte_variable,15,4096,64,4096,3,build_pipeline,248736.000,119257,8180038338432148912,6714025962647786701
candidate,2,byte_variable,15,4096,64,4096,3,search_window,927.141,119257,8180038338432148912,6714025962647786701
candidate,2,bit_variable,15,4096,64,4096,3,build_base,371333.667,33811,15862322199021992043,14866792129441211576
candidate,2,bit_variable,15,4096,64,4096,3,build_pipeline,527319.333,33811,15862322199021992043,14866792129441211576
candidate,2,bit_variable,15,4096,64,4096,3,search_window,1716.675,33811,15862322199021992043,14866792129441211576
candidate,2,byte_fixed,7,4096,64,4096,3,build_base,192652.667,70115,7766595421667667205,14241506747131020005
candidate,2,byte_fixed,7,4096,64,4096,3,build_pipeline,375639.000,70115,7766595421667667205,14241506747131020005
candidate,2,byte_fixed,7,4096,64,4096,3,search_window,684.492,70115,7766595421667667205,14241506747131020005
candidate,2,bit_fixed,31,4096,64,4096,3,build_base,290152.333,24222,11961374171324083298,16721584521816058325
candidate,2,bit_fixed,31,4096,64,4096,3,build_pipeline,369069.333,24222,11961374171324083298,16721584521816058325
candidate,2,bit_fixed,31,4096,64,4096,3,search_window,2153.832,24222,11961374171324083298,16721584521816058325
candidate,3,byte_variable,15,4096,64,4096,3,build_base,227861.333,119257,8180038338432148912,6714025962647786701
candidate,3,byte_variable,15,4096,64,4096,3,build_pipeline,271139.000,119257,8180038338432148912,6714025962647786701
candidate,3,byte_variable,15,4096,64,4096,3,search_window,997.033,119257,8180038338432148912,6714025962647786701
candidate,3,bit_variable,15,4096,64,4096,3,build_base,369625.000,33811,15862322199021992043,14866792129441211576
candidate,3,bit_variable,15,4096,64,4096,3,build_pipeline,518653.333,33811,15862322199021992043,14866792129441211576
candidate,3,bit_variable,15,4096,64,4096,3,search_window,1770.247,33811,15862322199021992043,14866792129441211576
candidate,3,byte_fixed,7,4096,64,4096,3,build_base,180417.000,70115,7766595421667667205,14241506747131020005
candidate,3,byte_fixed,7,4096,64,4096,3,build_pipeline,380944.667,70115,7766595421667667205,14241506747131020005
candidate,3,byte_fixed,7,4096,64,4096,3,search_window,687.344,70115,7766595421667667205,14241506747131020005
candidate,3,bit_fixed,31,4096,64,4096,3,build_base,296264.000,24222,11961374171324083298,16721584521816058325
candidate,3,bit_fixed,31,4096,64,4096,3,build_pipeline,394125.000,24222,11961374171324083298,16721584521816058325
candidate,3,bit_fixed,31,4096,64,4096,3,search_window,2186.713,24222,11961374171324083298,16721584521816058325
baseline,3,byte_variable,15,4096,64,4096,3,build_base,768875.333,119257,8180038338432148912,6714025962647786701
baseline,3,byte_variable,15,4096,64,4096,3,build_pipeline,410778.000,119257,8180038338432148912,6714025962647786701
baseline,3,byte_variable,15,4096,64,4096,3,search_window,1250.804,119257,8180038338432148912,6714025962647786701
baseline,3,bit_variable,15,4096,64,4096,3,build_base,1190042.000,33811,15862322199021992043,14866792129441211576
baseline,3,bit_variable,15,4096,64,4096,3,build_pipeline,1108486.000,33811,15862322199021992043,14866792129441211576
baseline,3,bit_variable,15,4096,64,4096,3,search_window,5239.726,33811,15862322199021992043,14866792129441211576
baseline,3,byte_fixed,7,4096,64,4096,3,build_base,680750.000,70115,7766595421667667205,14241506747131020005
baseline,3,byte_fixed,7,4096,64,4096,3,build_pipeline,688666.333,70115,7766595421667667205,14241506747131020005
baseline,3,byte_fixed,7,4096,64,4096,3,search_window,903.239,70115,7766595421667667205,14241506747131020005
baseline,3,bit_fixed,31,4096,64,4096,3,build_base,1006569.667,24222,11961374171324083298,16721584521816058325
baseline,3,bit_fixed,31,4096,64,4096,3,build_pipeline,724833.000,24222,11961374171324083298,16721584521816058325
baseline,3,bit_fixed,31,4096,64,4096,3,search_window,6196.357,24222,11961374171324083298,16721584521816058325
baseline,4,byte_variable,15,4096,64,4096,3,build_base,774638.667,119257,8180038338432148912,6714025962647786701
baseline,4,byte_variable,15,4096,64,4096,3,build_pipeline,429305.667,119257,8180038338432148912,6714025962647786701
baseline,4,byte_variable,15,4096,64,4096,3,search_window,1243.890,119257,8180038338432148912,6714025962647786701
baseline,4,bit_variable,15,4096,64,4096,3,build_base,1287222.000,33811,15862322199021992043,14866792129441211576
baseline,4,bit_variable,15,4096,64,4096,3,build_pipeline,1135597.000,33811,15862322199021992043,14866792129441211576
baseline,4,bit_variable,15,4096,64,4096,3,search_window,5243.425,33811,15862322199021992043,14866792129441211576
baseline,4,byte_fixed,7,4096,64,4096,3,build_base,661555.000,70115,7766595421667667205,14241506747131020005
baseline,4,byte_fixed,7,4096,64,4096,3,build_pipeline,653264.000,70115,7766595421667667205,14241506747131020005
baseline,4,byte_fixed,7,4096,64,4096,3,search_window,887.994,70115,7766595421667667205,14241506747131020005
baseline,4,bit_fixed,31,4096,64,4096,3,build_base,1016611.000,24222,11961374171324083298,16721584521816058325
baseline,4,bit_fixed,31,4096,64,4096,3,build_pipeline,690833.333,24222,11961374171324083298,16721584521816058325
baseline,4,bit_fixed,31,4096,64,4096,3,search_window,6108.917,24222,11961374171324083298,16721584521816058325
candidate,4,byte_variable,15,4096,64,4096,3,build_base,227833.000,119257,8180038338432148912,6714025962647786701
candidate,4,byte_variable,15,4096,64,4096,3,build_pipeline,255152.667,119257,8180038338432148912,6714025962647786701
candidate,4,byte_variable,15,4096,64,4096,3,search_window,917.172,119257,8180038338432148912,6714025962647786701
candidate,4,bit_variable,15,4096,64,4096,3,build_base,343333.333,33811,15862322199021992043,14866792129441211576
candidate,4,bit_variable,15,4096,64,4096,3,build_pipeline,502791.667,33811,15862322199021992043,14866792129441211576
candidate,4,bit_variable,15,4096,64,4096,3,search_window,1737.003,33811,15862322199021992043,14866792129441211576
candidate,4,byte_fixed,7,4096,64,4096,3,build_base,208930.667,70115,7766595421667667205,14241506747131020005
candidate,4,byte_fixed,7,4096,64,4096,3,build_pipeline,400805.333,70115,7766595421667667205,14241506747131020005
