variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,16384,0,0,981292.000,59.893,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,16384,0,1,994458.000,60.697,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,16384,0,2,1042584.000,63.634,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,16384,0,0,1417083.000,86.492,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,16384,0,1,1522166.000,92.906,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,16384,0,2,1504125.000,91.805,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,16384,0,0,578500.000,35.309,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,16384,0,1,539417.000,32.923,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,16384,0,2,543000.000,33.142,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,16384,0,0,1049625.000,64.064,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,16384,0,1,1089042.000,66.470,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,16384,0,2,1172583.000,71.569,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,byte,16384,0,0,570791.000,34.838,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,byte,16384,0,1,555750.000,33.920,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,byte,16384,0,2,577666.000,35.258,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,bit,16384,0,0,1110709.000,67.792,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,bit,16384,0,1,1094917.000,66.828,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,1,bit,16384,0,2,1121500.000,68.451,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,byte,16384,0,0,1001166.000,61.106,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,byte,16384,0,1,993125.000,60.616,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,byte,16384,0,2,1160542.000,70.834,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,bit,16384,0,0,1438333.000,87.789,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,bit,16384,0,1,1485083.000,90.642,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,1,bit,16384,0,2,1430917.000,87.336,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,byte,16384,0,0,1034666.000,63.151,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,byte,16384,0,1,1058833.000,64.626,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,byte,16384,0,2,1010875.000,61.699,50315,5523994409052813321
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,bit,16384,0,0,1479958.000,90.329,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,bit,16384,0,1,1526666.000,93.180,33529,13074203722844054838
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,2,bit,16384,0,2,1436209.000,87.659,33529,13074203722844054838
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,2,byte,16384,0,0,604959.000,36.924,50315,5523994409052813321
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,2,byte,16384,0,1,565083.000,34.490,50315,5523994409052813321
