variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,257,0,0,175208.000,681.743,797,15710439200862897843
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,257,0,0,183667.000,714.658,534,10759277806965101934
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,257,0,0,113792.000,442.770,797,15710439200862897843
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,257,0,0,109084.000,424.451,534,10759277806965101934
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,257,64,0,215375.000,838.035,861,1762053616292279234
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,257,64,0,222125.000,864.300,612,15635994584291404198
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,257,64,0,97000.000,377.432,861,1762053616292279234
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,257,64,0,118000.000,459.144,612,15635994584291404198
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,byte,257,4096,0,2567750.000,9991.245,4911,13667578066752979634
baseline,1967b4911ab74e46cf944efa4990db7e75033a1c,0,bit,257,4096,0,2471625.000,9617.218,4671,757741100913277724
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,byte,257,4096,0,335625.000,1305.934,4911,13667578066752979634
candidate,2b71fd2146265e6307ca3acebe364d410edd5cac,0,bit,257,4096,0,359083.000,1397.210,4671,757741100913277724
