variant,trial,unit,k,prefix,round,items,ns,ns_per_item,bytes,crc
baseline,0,byte,3,0,1,5690,1134500,199.385,44504,2819300699
baseline,0,byte,3,0,2,5690,1133208,199.158,44504,2819300699
baseline,0,byte,3,0,3,5690,1067000,187.522,44504,2819300699
baseline,0,byte,15,0,1,2632,523166,198.771,5600,2465078721
baseline,0,byte,15,0,2,2632,523208,198.787,5600,2465078721
baseline,0,byte,15,0,3,2632,519041,197.204,5600,2465078721
baseline,0,bit,3,0,1,5690,1435459,252.278,43464,498328193
baseline,0,bit,3,0,2,5690,1574500,276.714,43464,498328193
baseline,0,bit,3,0,3,5690,1610042,282.96,43464,498328193
baseline,0,bit,15,0,1,2632,826875,314.162,5560,1543349261
baseline,0,bit,15,0,2,2632,837500,318.199,5560,1543349261
baseline,0,bit,15,0,3,2632,807500,306.801,5560,1543349261
baseline,0,byte,3,4096,1,5690,6066542,1066.18,54040,1801172336
baseline,0,byte,3,4096,2,5690,5903334,1037.49,54040,1801172336
baseline,0,byte,3,4096,3,5690,5838625,1026.12,54040,1801172336
baseline,0,byte,15,4096,1,2632,2987000,1134.88,13848,1009584030
baseline,0,byte,15,4096,2,2632,2936000,1115.5,13848,1009584030
baseline,0,byte,15,4096,3,2632,2979583,1132.06,13848,1009584030
baseline,0,bit,3,4096,1,5690,6196500,1089.02,55168,2006448778
baseline,0,bit,3,4096,2,5690,6138792,1078.87,55168,2006448778
baseline,0,bit,3,4096,3,5690,6205459,1090.59,55168,2006448778
baseline,0,bit,15,4096,1,2632,3266250,1240.98,13880,3989410211
baseline,0,bit,15,4096,2,2632,3201708,1216.45,13880,3989410211
baseline,0,bit,15,4096,3,2632,3249042,1234.44,13880,3989410211
candidate,0,byte,3,0,1,5690,1413000,248.33,44504,2819300699
candidate,0,byte,3,0,2,5690,1375333,241.711,44504,2819300699
candidate,0,byte,3,0,3,5690,1371417,241.022,44504,2819300699
candidate,0,byte,15,0,1,2632,615041,233.678,5600,2465078721
candidate,0,byte,15,0,2,2632,607000,230.623,5600,2465078721
candidate,0,byte,15,0,3,2632,603583,229.325,5600,2465078721
candidate,0,bit,3,0,1,5690,1855834,326.157,43464,498328193
candidate,0,bit,3,0,2,5690,1890166,332.191,43464,498328193
candidate,0,bit,3,0,3,5690,1787042,314.067,43464,498328193
candidate,0,bit,15,0,1,2632,907625,344.842,5560,1543349261
candidate,0,bit,15,0,2,2632,886333,336.753,5560,1543349261
candidate,0,bit,15,0,3,2632,871542,331.133,5560,1543349261
candidate,0,byte,3,4096,1,5690,7910875,1390.31,54040,1801172336
candidate,0,byte,3,4096,2,5690,7781541,1367.58,54040,1801172336
candidate,0,byte,3,4096,3,5690,7587084,1333.41,54040,1801172336
candidate,0,byte,15,4096,1,2632,4179541,1587.97,13848,1009584030
candidate,0,byte,15,4096,2,2632,4104917,1559.62,13848,1009584030
candidate,0,byte,15,4096,3,2632,4107333,1560.54,13848,1009584030
candidate,0,bit,3,4096,1,5690,8085000,1420.91,55168,2006448778
candidate,0,bit,3,4096,2,5690,8173958,1436.55,55168,2006448778
candidate,0,bit,3,4096,3,5690,7796291,1370.17,55168,2006448778
candidate,0,bit,15,4096,1,2632,4397709,1670.86,13880,3989410211
candidate,0,bit,15,4096,2,2632,4256084,1617.05,13880,3989410211
candidate,0,bit,15,4096,3,2632,4267250,1621.3,13880,3989410211
candidate,1,byte,3,0,1,5690,862833,151.64,44504,2819300699
candidate,1,byte,3,0,2,5690,806125,141.674,44504,2819300699
candidate,1,byte,3,0,3,5690,764209,134.307,44504,2819300699
candidate,1,byte,15,0,1,2632,445250,169.168,5600,2465078721
candidate,1,byte,15,0,2,2632,420667,159.828,5600,2465078721
candidate,1,byte,15,0,3,2632,407792,154.936,5600,2465078721
candidate,1,bit,3,0,1,5690,1291375,226.955,43464,498328193
candidate,1,bit,3,0,2,5690,1297084,227.959,43464,498328193
candidate,1,bit,3,0,3,5690,1343083,236.043,43464,498328193
candidate,1,bit,15,0,1,2632,679584,258.201,5560,1543349261
candidate,1,bit,15,0,2,2632,677542,257.425,5560,1543349261
candidate,1,bit,15,0,3,2632,674750,256.364,5560,1543349261
candidate,1,byte,3,4096,1,5690,7513834,1320.53,54040,1801172336
candidate,1,byte,3,4096,2,5690,7503250,1318.67,54040,1801172336
candidate,1,byte,3,4096,3,5690,7568584,1330.16,54040,1801172336
candidate,1,byte,15,4096,1,2632,4174625,1586.1,13848,1009584030
candidate,1,byte,15,4096,2,2632,4074583,1548.09,13848,1009584030
candidate,1,byte,15,4096,3,2632,3964834,1506.4,13848,1009584030
candidate,1,bit,3,4096,1,5690,8215917,1443.92,55168,2006448778
candidate,1,bit,3,4096,2,5690,8301000,1458.88,55168,2006448778
candidate,1,bit,3,4096,3,5690,7983333,1403.05,55168,2006448778
candidate,1,bit,15,4096,1,2632,4532375,1722.03,13880,3989410211
candidate,1,bit,15,4096,2,2632,4441750,1687.59,13880,3989410211
candidate,1,bit,15,4096,3,2632,4429666,1683,13880,3989410211
