variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,0,87,1,4096,0,21167.000,3026.937,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,0,87,1,4096,0,16333.000,3200.572,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,0,87,1,4096,0,16709.000,2277.446,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,0,87,1,4096,0,26208.000,2963.257,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,0,87,1,4096,1,20083.000,1909.230,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,0,87,1,4096,1,26125.000,2801.076,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,0,87,1,4096,1,11083.000,1826.996,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,0,87,1,4096,1,20333.000,2821.320,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,0,87,1,4096,2,10416.000,1852.244,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,0,87,1,4096,2,22750.000,2901.693,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,0,87,1,4096,2,11000.000,1863.597,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,0,87,1,4096,2,16083.000,2826.915,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,0,87,1,4096,3,13375.000,1918.284,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,0,87,1,4096,3,30416.000,2870.056,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,0,87,1,4096,3,12500.000,1869.334,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,0,87,1,4096,3,15875.000,2920.746,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,0,87,1,4096,4,10750.000,1939.870,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,0,87,1,4096,4,22209.000,2973.979,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,0,87,1,4096,4,12709.000,1824.778,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,0,87,1,4096,4,19084.000,2901.113,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,4096,87,1,4096,0,29333.000,2341.655,20480,2796,331823824949766785,15,73174,17763,736,280,3128,50,95131
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,4096,87,1,4096,0,33916.000,3731.578,20480,2796,331823824949766785,15,70741,17638,888,280,3128,50,92725
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,4096,87,1,4096,0,24792.000,2207.153,20480,2796,331823824949766785,15,73174,17763,736,280,3128,50,95131
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,4096,87,1,4096,0,34459.000,3914.805,20480,2796,331823824949766785,15,70741,17638,888,280,3128,50,92725
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,byte,15,4096,4096,87,1,4096,1,38792.000,2195.862,20480,2796,331823824949766785,15,73174,17763,736,280,3128,50,95131
candidate_w15,a4c823ede5246a8b65525872e0f5406826859960,bit,15,4096,4096,87,1,4096,1,42333.000,3814.107,20480,2796,331823824949766785,15,70741,17638,888,280,3128,50,92725
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,byte,15,4096,4096,87,1,4096,1,25583.000,2259.369,20480,2796,331823824949766785,15,73174,17763,736,280,3128,50,95131
baseline_w15,f12d708f2f6c85c9b7bd40a492a3811c79e2b447,bit,15,4096,4096,87,1,4096,1,84333.000,3766.337,20480,2796,331823824949766785,15,70741,17638,888,280,3128,50,92725
