variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,0,byte-3-0,build,0,1,5690,1237583,0,0,0,0,1761918743
baseline,0,byte-3-0,query,0,1,4096,18273750,0,0,0,0,6584442294199094370
baseline,0,byte-3-0,build,0,2,5690,1207625,0,0,0,0,1761918743
baseline,0,byte-3-0,query,0,2,4096,18247750,0,0,0,0,6584442294199094370
baseline,0,byte-3-0,build,0,3,5690,1171417,0,0,0,0,1761918743
baseline,0,byte-3-0,query,0,3,4096,18595208,0,0,0,0,6584442294199094370
baseline,0,byte-15-0,build,0,1,2632,612750,0,0,0,0,1583706055
baseline,0,byte-15-0,query,0,1,4096,16348625,0,0,0,0,6584442294199094370
baseline,0,byte-15-0,build,0,2,2632,639250,0,0,0,0,1583706055
baseline,0,byte-15-0,query,0,2,4096,16302292,0,0,0,0,6584442294199094370
baseline,0,byte-15-0,build,0,3,2632,649333,0,0,0,0,1583706055
baseline,0,byte-15-0,query,0,3,4096,16425458,0,0,0,0,6584442294199094370
baseline,0,bit-3-0,build,0,1,5690,2045125,0,0,0,0,3340569477
baseline,0,bit-3-0,query,0,1,4096,26662500,0,0,0,0,6584442294199094370
baseline,0,bit-3-0,build,0,2,5690,1753667,0,0,0,0,3340569477
baseline,0,bit-3-0,query,0,2,4096,26975209,0,0,0,0,6584442294199094370
baseline,0,bit-3-0,build,0,3,5690,1790417,0,0,0,0,3340569477
baseline,0,bit-3-0,query,0,3,4096,26655875,0,0,0,0,6584442294199094370
baseline,0,bit-15-0,build,0,1,2632,956208,0,0,0,0,3904194795
baseline,0,bit-15-0,query,0,1,4096,24374417,0,0,0,0,6584442294199094370
baseline,0,bit-15-0,build,0,2,2632,955084,0,0,0,0,3904194795
baseline,0,bit-15-0,query,0,2,4096,23907459,0,0,0,0,6584442294199094370
baseline,0,bit-15-0,build,0,3,2632,969834,0,0,0,0,3904194795
baseline,0,bit-15-0,query,0,3,4096,24330625,0,0,0,0,6584442294199094370
baseline,0,byte-3-4096,build,0,1,5690,1179375,0,0,0,0,2588134493
baseline,0,byte-3-4096,query,0,1,4096,20916541,0,0,0,0,6584442294199094370
baseline,0,byte-3-4096,build,0,2,5690,1506250,0,0,0,0,2588134493
baseline,0,byte-3-4096,query,0,2,4096,20954750,0,0,0,0,6584442294199094370
baseline,0,byte-3-4096,build,0,3,5690,1218708,0,0,0,0,2588134493
baseline,0,byte-3-4096,query,0,3,4096,20726708,0,0,0,0,6584442294199094370
baseline,0,byte-15-4096,build,0,1,2632,619875,0,0,0,0,1896941275
baseline,0,byte-15-4096,query,0,1,4096,18911250,0,0,0,0,6584442294199094370
baseline,0,byte-15-4096,build,0,2,2632,621500,0,0,0,0,1896941275
baseline,0,byte-15-4096,query,0,2,4096,18646209,0,0,0,0,6584442294199094370
baseline,0,byte-15-4096,build,0,3,2632,614125,0,0,0,0,1896941275
baseline,0,byte-15-4096,query,0,3,4096,18578833,0,0,0,0,6584442294199094370
baseline,0,bit-3-4096,build,0,1,5690,1822792,0,0,0,0,3555944624
baseline,0,bit-3-4096,query,0,1,4096,30394375,0,0,0,0,6584442294199094370
baseline,0,bit-3-4096,build,0,2,5690,1816750,0,0,0,0,3555944624
baseline,0,bit-3-4096,query,0,2,4096,31682750,0,0,0,0,6584442294199094370
baseline,0,bit-3-4096,build,0,3,5690,1938584,0,0,0,0,3555944624
baseline,0,bit-3-4096,query,0,3,4096,30681625,0,0,0,0,6584442294199094370
baseline,0,bit-15-4096,build,0,1,2632,997167,0,0,0,0,2558807147
