variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,0,sample,442292.000,35.994,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,0,pipeline,725917.000,59.075,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,1,sample,442958.000,36.048,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,1,pipeline,771792.000,62.809,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,2,sample,458792.000,37.337,12288,12287,1831843142036873085
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,interleaved,4096,0,2,pipeline,738167.000,60.072,12288,3291,1961096023440014163
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,0,sample,784375.000,63.833,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,0,pipeline,1239834.000,100.898,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,1,sample,778000.000,63.314,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,1,pipeline,1129541.000,91.922,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,2,sample,738833.000,60.126,12288,12287,12193008009033903249
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,interleaved,4096,0,2,pipeline,1125000.000,91.553,12288,3291,4801493438380956427
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,0,sample,584916.000,31.515,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,0,pipeline,942041.000,50.757,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,1,sample,582250.000,31.371,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,1,pipeline,962666.000,51.868,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,2,sample,604583.000,32.575,18560,18557,8476562761733985929
baseline,79ba498b808e99734515621152a7759a181a0d23,0,byte,duplicates,4096,0,2,pipeline,931125.000,50.168,18560,4188,13297295891071305527
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,0,sample,929167.000,50.063,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,0,pipeline,1325292.000,71.406,18560,4188,2638605148812090001
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,1,sample,888583.000,47.876,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,1,pipeline,1449583.000,78.103,18560,4188,2638605148812090001
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,2,sample,910542.000,49.059,18560,18557,17887957781260477778
baseline,79ba498b808e99734515621152a7759a181a0d23,0,bit,duplicates,4096,0,2,pipeline,1413708.000,76.170,18560,4188,2638605148812090001
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,0,sample,726625.000,59.133,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,0,pipeline,1092583.000,88.915,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,1,sample,642750.000,52.307,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,1,pipeline,1012000.000,82.357,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,2,sample,914000.000,74.382,12288,12287,1831843142036873085
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,byte,interleaved,4096,0,2,pipeline,1087750.000,88.521,12288,3291,1961096023440014163
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,0,sample,951208.000,77.410,12288,12287,12193008009033903249
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,0,pipeline,1397750.000,113.749,12288,3291,4801493438380956427
candidate,370687ac12a8fb94085cc6e023949694377d7de5,0,bit,interleaved,4096,0,1,sample,1089125.000,88.633,12288,12287,12193008009033903249
