compiler,pattern,variant,trial,queries,ns_per_prefix,checksum
clang,independent,scalar_popcnt,0,1048576,17.697382,134768448
clang,independent,avx2,0,1048576,8.109007,134768448
clang,independent,avx2,1,1048576,9.491696,134768448
clang,independent,scalar_popcnt,1,1048576,17.236395,134768448
clang,independent,scalar_popcnt,2,1048576,17.129829,134768448
clang,independent,avx2,2,1048576,9.561508,134768448
clang,independent,avx2,3,1048576,8.611265,134768448
clang,independent,scalar_popcnt,3,1048576,17.686257,134768448
clang,independent,scalar_popcnt,4,1048576,17.551127,134768448
clang,independent,avx2,4,1048576,9.121523,134768448
clang,dependent,scalar_popcnt,0,1048576,19.693998,134585824
clang,dependent,avx2,0,1048576,19.777947,134585824
clang,dependent,avx2,1,1048576,20.338643,134585824
clang,dependent,scalar_popcnt,1,1048576,19.838765,134585824
clang,dependent,scalar_popcnt,2,1048576,19.204101,134585824
clang,dependent,avx2,2,1048576,20.510788,134585824
clang,dependent,avx2,3,1048576,19.657856,134585824
clang,dependent,scalar_popcnt,3,1048576,20.148438,134585824
clang,dependent,scalar_popcnt,4,1048576,19.747652,134585824
clang,dependent,avx2,4,1048576,19.419074,134585824
gcc,independent,scalar_popcnt,0,1048576,17.798018,134768448
gcc,independent,avx2,0,1048576,12.035711,134768448
gcc,independent,avx2,1,1048576,13.717253,134768448
gcc,independent,scalar_popcnt,1,1048576,20.344928,134768448
gcc,independent,scalar_popcnt,2,1048576,20.318111,134768448
gcc,independent,avx2,2,1048576,13.351035,134768448
gcc,independent,avx2,3,1048576,12.215379,134768448
gcc,independent,scalar_popcnt,3,1048576,19.973499,134768448
gcc,independent,scalar_popcnt,4,1048576,19.906676,134768448
gcc,independent,avx2,4,1048576,12.442612,134768448
gcc,dependent,scalar_popcnt,0,1048576,21.190275,134585824
gcc,dependent,avx2,0,1048576,22.815073,134585824
gcc,dependent,avx2,1,1048576,22.163424,134585824
gcc,dependent,scalar_popcnt,1,1048576,21.898083,134585824
gcc,dependent,scalar_popcnt,2,1048576,21.116395,134585824
gcc,dependent,avx2,2,1048576,21.393765,134585824
gcc,dependent,avx2,3,1048576,24.068380,134585824
gcc,dependent,scalar_popcnt,3,1048576,20.559142,134585824
gcc,dependent,scalar_popcnt,4,1048576,20.621681,134585824
gcc,dependent,avx2,4,1048576,21.126921,134585824
