compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,scalar_popcnt,0,1048576,16.565164,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,avx2,0,1048576,12.390518,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,avx2,1,1048576,11.890532,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,scalar_popcnt,1,1048576,16.415578,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,scalar_popcnt,2,1048576,15.660411,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,avx2,2,1048576,12.475873,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,avx2,3,1048576,12.008853,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,scalar_popcnt,3,1048576,16.400693,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,scalar_popcnt,4,1048576,17.057482,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,independent,avx2,4,1048576,12.418077,66754679920
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,scalar_popcnt,0,1048576,18.359837,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,avx2,0,1048576,21.992598,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,avx2,1,1048576,21.976975,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,scalar_popcnt,1,1048576,18.231703,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,scalar_popcnt,2,1048576,17.309731,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,avx2,2,1048576,22.106347,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,avx2,3,1048576,21.724777,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,scalar_popcnt,3,1048576,18.038747,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,scalar_popcnt,4,1048576,18.253565,66642894088
clang,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,dependent,avx2,4,1048576,116.083970,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,0,1048576,15.509727,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,0,1048576,8.971954,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,0,1048576,8.058990,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,0,1048576,6.474036,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,1,1048576,9.136071,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,1,1048576,8.094304,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,1,1048576,6.474076,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,1,1048576,15.251179,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,2,1048576,8.099125,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,2,1048576,6.479939,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,2,1048576,14.995803,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,2,1048576,8.981327,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,3,1048576,6.545136,66754679920
