compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,0,1048576,12.626493,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,0,1048576,13.277666,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,0,1048576,8.869668,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,0,1048576,7.983433,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,0,1048576,8.355070,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,0,1048576,7.013595,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,0,1048576,5.889199,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,1,1048576,12.291056,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,1,1048576,9.573194,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,1,1048576,8.054837,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,1,1048576,7.714754,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,1,1048576,6.991090,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,1,1048576,5.892027,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,1,1048576,12.469418,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,2,1048576,8.913856,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,2,1048576,7.993173,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,2,1048576,7.604568,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,2,1048576,7.035604,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,2,1048576,6.682740,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,2,1048576,12.432431,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,2,1048576,12.540510,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,3,1048576,8.009646,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,3,1048576,7.624222,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,3,1048576,7.010683,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,3,1048576,5.962553,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,3,1048576,12.547935,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,3,1048576,12.565435,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,3,1048576,8.848541,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,4,1048576,7.654307,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,4,1048576,6.991673,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,4,1048576,5.872664,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,4,1048576,12.766335,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,4,1048576,12.910168,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,4,1048576,8.831623,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,4,1048576,8.116826,66754679920
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,0,1048576,13.844679,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,0,1048576,18.491158,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,0,1048576,490.332988,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,0,1048576,16.037414,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,0,1048576,16.310092,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,0,1048576,13.880808,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,0,1048576,12.737678,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,1,1048576,18.344433,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,1,1048576,16.570648,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,1,1048576,16.045897,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,1,1048576,16.335237,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,1,1048576,14.101705,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,1,1048576,12.716190,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,1,1048576,13.725432,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,2,1048576,16.649832,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,2,1048576,15.968174,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,2,1048576,16.311568,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,2,1048576,13.868290,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,2,1048576,12.677110,66642894088
clang,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,2,1048576,13.717525,66642894088
