variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,0,0,475625.000,116.119,45078,10026962909403714000,44040,32944,60115,172913,125248,82216,38
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,0,0,549458.000,134.145,81934,7526945387361597197,44040,32944,109256,189396,137536,90504,39
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,0,0,795708.000,194.265,14830,12231852166163377715,30136,20530,20260,56136,37120,22912,40
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,0,0,887667.000,216.716,20551,4764871861497134690,30136,20530,27887,56180,37120,22952,41
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,0,0,0,479917.000,117.167,45078,10026962909403714000,44040,32944,60115,172577,125056,82216,38
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,0,0,0,539791.000,131.785,81934,7526945387361597197,44040,32944,109256,189060,137344,90504,39
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,0,0,0,595125.000,145.294,14830,12231852166163377715,30136,20530,20260,54648,36352,22912,40
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,0,0,0,919833.000,224.569,20551,4764871861497134690,30136,20530,27887,54692,36352,22952,41
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,64,0,0,306041.000,74.717,45142,7186113978382485765,45064,33456,60243,160561,116032,76072,35
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,64,0,0,405958.000,99.111,81998,11222693067653931729,45064,33456,109384,316308,232768,153992,37
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,64,0,0,508583.000,124.166,15133,18072393155367633155,31160,21042,20729,49417,32128,19584,37
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,64,0,0,678250.000,165.588,20854,100194403657037907,31160,21042,28357,88886,61696,39336,39
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,64,0,0,263792.000,64.402,45142,7186113978382485765,45064,33456,60243,160225,115840,76072,35
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,64,0,0,352542.000,86.070,81998,11222693067653931729,45064,33456,109384,315972,232576,153992,37
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,64,0,0,463875.000,113.251,15133,18072393155367633155,31160,21042,20729,47929,31360,19584,37
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,64,0,0,647875.000,158.173,20854,100194403657037907,31160,21042,28357,87398,60928,39336,39
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,4096,0,0,274083.000,66.915,49448,15560549571832965263,109576,65712,68672,136420,100936,66024,30
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,4096,0,0,552917.000,134.990,86304,12078772556260266821,109576,65712,117813,267987,199552,131848,31
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,4096,0,0,527083.000,128.682,19576,2013096996551949561,95672,53298,29340,72744,52636,33272,32
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,4096,0,0,551167.000,134.562,25297,658722243847606268,95672,53298,36968,72799,52648,33312,33
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,4096,0,0,275083.000,67.159,49448,15560549571832965263,109576,65712,68672,136084,100744,66024,30
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,4096,0,0,375208.000,91.604,86304,12078772556260266821,109576,65712,117813,267651,199360,131848,31
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,4096,0,0,453375.000,110.687,19576,2013096996551949561,95672,53298,29340,71256,51868,33272,32
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,4096,0,0,597000.000,145.752,25297,658722243847606268,95672,53298,36968,71311,51880,33312,33
