variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,0,380750.000,92.957,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,1,399125.000,97.443,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,fragments,4096,0,0,2,536500.000,130.981,45312,7820603925231540191,54608,32768,61778,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,0,421959.000,103.017,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,1,407291.000,99.436,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,fragments,4096,0,0,2,518583.000,126.607,82168,16838699902396890206,54608,32768,110919,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,0,460500.000,112.427,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,1,447875.000,109.344,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,fragments,4096,0,0,2,428625.000,104.645,10308,4373761350378516308,6826,4096,14234,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,0,498792.000,121.775,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,1,699208.000,170.705,16029,10631779632291143193,6826,4096,21862,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,fragments,4096,0,0,2,602208.000,147.023,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,fragments,4096,0,0,0,238709.000,58.279,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,fragments,4096,0,0,1,289666.000,70.719,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,fragments,4096,0,0,2,238208.000,58.156,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,fragments,4096,0,0,0,307542.000,75.083,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,fragments,4096,0,0,1,299500.000,73.120,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,fragments,4096,0,0,2,290625.000,70.953,82168,16838699902396890206,54608,32768,110919,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,fragments,4096,0,0,0,315750.000,77.087,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,fragments,4096,0,0,1,310417.000,75.785,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,fragments,4096,0,0,2,319458.000,77.993,10308,4373761350378516308,6826,4096,14234,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,fragments,4096,0,0,0,438042.000,106.944,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,fragments,4096,0,0,1,431083.000,105.245,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,fragments,4096,0,0,2,437459.000,106.802,16029,10631779632291143193,6826,4096,21862,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_fixed,fragments,4096,0,0,0,203375.000,49.652,45312,7820603925231540191,54608,32768,61778,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_fixed,fragments,4096,0,0,1,219792.000,53.660,45312,7820603925231540191,54608,32768,61778,0,0,0,0
