variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,0,3104708.000,757.985,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,1,1813750.000,442.810,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,2,2100541.000,512.827,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,0,1872208.000,457.082,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,1,1865584.000,455.465,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,2,1855167.000,452.922,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,0,6074458.000,1483.022,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,1,4904791.000,1197.459,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,2,5032458.000,1228.627,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,4096,0,6317584.000,1542.379,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,4096,1,5450334.000,1330.648,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_variable,ids,4096,0,4096,2,5369958.000,1311.025,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,0,4096,0,2737208.000,668.264,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,0,4096,1,1782542.000,435.191,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_fixed,ids,4096,0,4096,2,1876916.000,458.231,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,0,4096,0,2073333.000,506.185,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,0,4096,1,1847625.000,451.080,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,byte_variable,ids,4096,0,4096,2,1893500.000,462.280,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,0,4096,0,5846292.000,1427.317,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,0,4096,1,4717917.000,1151.835,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_fixed,ids,4096,0,4096,2,4856417.000,1185.649,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,0,4096,0,5020500.000,1225.708,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,0,4096,1,4915584.000,1200.094,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,0,bit_variable,ids,4096,0,4096,2,5075208.000,1239.064,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_fixed,ids,4096,0,4096,0,3122542.000,762.339,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_fixed,ids,4096,0,4096,1,2074708.000,506.521,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_fixed,ids,4096,0,4096,2,1869125.000,456.329,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_variable,ids,4096,0,4096,0,1947666.000,475.504,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_variable,ids,4096,0,4096,1,1966209.000,480.031,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,byte_variable,ids,4096,0,4096,2,1962125.000,479.034,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_fixed,ids,4096,0,4096,0,5978834.000,1459.676,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_fixed,ids,4096,0,4096,1,4855792.000,1185.496,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_fixed,ids,4096,0,4096,2,4869000.000,1188.721,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_variable,ids,4096,0,4096,0,5249125.000,1281.525,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_variable,ids,4096,0,4096,1,4948125.000,1208.038,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,1,bit_variable,ids,4096,0,4096,2,4988125.000,1217.804,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,4096,0,2982833.000,728.231,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,4096,1,1946000.000,475.098,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_fixed,ids,4096,0,4096,2,1828791.000,446.482,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,4096,0,1897875.000,463.348,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,4096,1,1894166.000,462.443,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,byte_variable,ids,4096,0,4096,2,1792042.000,437.510,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,4096,0,5801166.000,1416.300,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,4096,1,4840250.000,1181.702,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_fixed,ids,4096,0,4096,2,4846375.000,1183.197,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,4096,0,5083416.000,1241.068,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,4096,1,5050583.000,1233.052,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,1,bit_variable,ids,4096,0,4096,2,5048042.000,1232.432,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,4096,0,2716375.000,663.177,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,4096,1,1801792.000,439.891,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_fixed,ids,4096,0,4096,2,1728209.000,421.926,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,4096,0,1799291.000,439.280,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,4096,1,1858084.000,453.634,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,byte_variable,ids,4096,0,4096,2,1859959.000,454.092,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_fixed,ids,4096,0,4096,0,5659791.000,1381.785,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_fixed,ids,4096,0,4096,1,4831750.000,1179.626,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_fixed,ids,4096,0,4096,2,4854125.000,1185.089,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_variable,ids,4096,0,4096,0,5161833.000,1260.213,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_variable,ids,4096,0,4096,1,5132625.000,1253.082,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,2,bit_variable,ids,4096,0,4096,2,5102542.000,1245.738,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_fixed,ids,4096,0,4096,0,2911916.000,710.917,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_fixed,ids,4096,0,4096,1,2008750.000,490.417,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_fixed,ids,4096,0,4096,2,2006708.000,489.919,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_variable,ids,4096,0,4096,0,2028333.000,495.198,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_variable,ids,4096,0,4096,1,1804708.000,440.603,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,byte_variable,ids,4096,0,4096,2,1806125.000,440.948,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_fixed,ids,4096,0,4096,0,5714625.000,1395.172,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_fixed,ids,4096,0,4096,1,4857334.000,1185.873,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_fixed,ids,4096,0,4096,2,4731792.000,1155.223,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_variable,ids,4096,0,4096,0,4864292.000,1187.571,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_variable,ids,4096,0,4096,1,5008750.000,1222.839,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,2,bit_variable,ids,4096,0,4096,2,4923417.000,1202.006,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_fixed,ids,4096,0,4096,0,2559541.000,624.888,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_fixed,ids,4096,0,4096,1,1802375.000,440.033,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_fixed,ids,4096,0,4096,2,1741917.000,425.273,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_variable,ids,4096,0,4096,0,1835708.000,448.171,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_variable,ids,4096,0,4096,1,1794416.000,438.090,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,byte_variable,ids,4096,0,4096,2,1854750.000,452.820,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_fixed,ids,4096,0,4096,0,5569292.000,1359.690,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_fixed,ids,4096,0,4096,1,4801958.000,1172.353,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_fixed,ids,4096,0,4096,2,4846833.000,1183.309,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_variable,ids,4096,0,4096,0,5025417.000,1226.908,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_variable,ids,4096,0,4096,1,4956417.000,1210.063,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,81c28ef8d3c2634610c4b7128f7dac59429b5345,3,bit_variable,ids,4096,0,4096,2,5034916.000,1229.228,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_fixed,ids,4096,0,4096,0,2983083.000,728.292,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_fixed,ids,4096,0,4096,1,1831375.000,447.113,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_fixed,ids,4096,0,4096,2,2059834.000,502.889,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_variable,ids,4096,0,4096,0,1872458.000,457.143,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_variable,ids,4096,0,4096,1,1842084.000,449.728,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,byte_variable,ids,4096,0,4096,2,1794166.000,438.029,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_fixed,ids,4096,0,4096,0,5885334.000,1436.849,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_fixed,ids,4096,0,4096,1,4699583.000,1147.359,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_fixed,ids,4096,0,4096,2,4793542.000,1170.298,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_variable,ids,4096,0,4096,0,5019167.000,1225.383,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_variable,ids,4096,0,4096,1,5109042.000,1247.325,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,3,bit_variable,ids,4096,0,4096,2,4927959.000,1203.115,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_fixed,ids,4096,0,4096,0,2795416.000,682.475,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_fixed,ids,4096,0,4096,1,1752125.000,427.765,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_fixed,ids,4096,0,4096,2,1731042.000,422.618,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_variable,ids,4096,0,4096,0,1796250.000,438.538,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_variable,ids,4096,0,4096,1,1827958.000,446.279,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,byte_variable,ids,4096,0,4096,2,1949958.000,476.064,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,bit_fixed,ids,4096,0,4096,0,5781292.000,1411.448,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,bit_fixed,ids,4096,0,4096,1,4703375.000,1148.285,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,bit_fixed,ids,4096,0,4096,2,4827500.000,1178.589,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e21766bbde779fec2364bec2198f8b790ce70312,4,bit_variable,ids,4096,0,4096,0,4953959.000,1209.463,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
