variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,0,3607333.000,880.697,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,1,2390292.000,583.567,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,2,2237917.000,546.366,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,0,2322208.000,566.945,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,1,2332125.000,569.366,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,2,2326167.000,567.912,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,0,8592375.000,2097.748,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,1,7549916.000,1843.241,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,2,8172416.000,1995.219,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,0,7766709.000,1896.169,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,1,7620500.000,1860.474,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,2,7535541.000,1839.732,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,0,3858542.000,942.027,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,1,1751208.000,427.541,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_fixed,ids,4096,0,4096,2,1768708.000,431.813,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,0,1791375.000,437.347,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,1,1830125.000,446.808,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,byte_variable,ids,4096,0,4096,2,1790791.000,437.205,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,0,5782000.000,1411.621,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,1,4810375.000,1174.408,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,e21766bbde779fec2364bec2198f8b790ce70312,0,bit_fixed,ids,4096,0,4096,2,4660708.000,1137.868,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
