variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,0,238375.000,58.197,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,1,245917.000,60.038,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,0,2,237666.000,58.024,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,0,344041.000,83.994,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,1,315208.000,76.955,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,0,2,308042.000,75.206,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,0,446250.000,108.948,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,1,483792.000,118.113,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,0,2,475791.000,116.160,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,0,589959.000,144.033,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,1,597250.000,145.813,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,0,2,561250.000,137.024,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,0,0,258042.000,62.999,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,0,1,262542.000,64.097,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,0,2,280625.000,68.512,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,0,0,330167.000,80.607,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,0,1,359542.000,87.779,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,0,2,332291.000,81.126,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,0,0,429084.000,104.757,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,0,1,421125.000,102.814,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,0,2,485042.000,118.418,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,0,0,573625.000,140.045,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,0,1,539750.000,131.775,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,0,2,530667.000,129.557,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,0,0,269917.000,65.898,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,0,1,248417.000,60.649,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,0,2,251375.000,61.371,45078,10026962909403714000,44040,32944,60115,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,0,0,323542.000,78.990,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,0,1,377042.000,92.051,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,0,2,331417.000,80.912,81934,7526945387361597197,44040,32944,109256,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,0,0,415833.000,101.522,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,0,1,406958.000,99.355,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,0,2,400625.000,97.809,14830,12231852166163377715,30136,20530,20260,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,0,0,543750.000,132.751,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,0,1,624709.000,152.517,20551,4764871861497134690,30136,20530,27887,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,0,2,594125.000,145.050,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,0,238416.000,58.207,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,1,236583.000,57.760,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,0,2,244833.000,59.774,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,0,313417.000,76.518,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,1,350209.000,85.500,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,0,2,322125.000,78.644,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,0,433208.000,105.764,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,1,444708.000,108.571,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,0,2,438500.000,107.056,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,0,573916.000,140.116,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,1,560459.000,136.831,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,0,2,564541.000,137.827,20551,4764871861497134690,30136,20530,27887,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,0,245625.000,59.967,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,1,238292.000,58.177,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,0,2,237084.000,57.882,45078,10026962909403714000,44040,32944,60115,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,0,308458.000,75.307,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,1,347375.000,84.808,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,0,2,323125.000,78.888,81934,7526945387361597197,44040,32944,109256,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,0,448833.000,109.578,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,1,427125.000,104.279,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,0,2,424958.000,103.750,14830,12231852166163377715,30136,20530,20260,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,0,0,601542.000,146.861,20551,4764871861497134690,30136,20530,27887,0,0,0,0
