variant,revision,trial,profile,fixture,records,prefix_bytes,tail_bytes,round,build_ns,record_ns,payload_bytes,wire_digest,input_literal_bits,output_literal_bits,input_encoded_bytes,requested_bytes,peak_bytes,live_bytes,allocation_calls
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,0,3165500.000,772.827,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,1,2280375.000,556.732,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_fixed,ids,4096,0,4096,2,2322667.000,567.057,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,0,2333833.000,569.783,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,1,2237084.000,546.163,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,byte_variable,ids,4096,0,4096,2,2272584.000,554.830,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,0,8527542.000,2081.919,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,1,7494875.000,1829.803,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_fixed,ids,4096,0,4096,2,7769417.000,1896.830,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,0,7675458.000,1873.891,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,1,7922167.000,1934.123,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,0,bit_variable,ids,4096,0,4096,2,7792084.000,1902.364,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,4096,0,2678208.000,653.859,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,4096,1,1959875.000,478.485,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_fixed,ids,4096,0,4096,2,1929750.000,471.130,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,4096,0,1844833.000,450.399,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,4096,1,1800041.000,439.463,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,byte_variable,ids,4096,0,4096,2,1929000.000,470.947,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,4096,0,5696792.000,1390.818,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,4096,1,4743542.000,1158.091,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_fixed,ids,4096,0,4096,2,4917500.000,1200.562,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,4096,0,5134333.000,1253.499,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,4096,1,5003625.000,1221.588,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,0,bit_variable,ids,4096,0,4096,2,4940417.000,1206.156,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,4096,0,2856625.000,697.418,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,4096,1,1990959.000,486.074,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_fixed,ids,4096,0,4096,2,1803083.000,440.206,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,4096,0,2027250.000,494.934,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,4096,1,1949166.000,475.871,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,byte_variable,ids,4096,0,4096,2,2013792.000,491.648,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,4096,0,5782792.000,1411.814,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,4096,1,4960875.000,1211.151,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_fixed,ids,4096,0,4096,2,4846541.000,1183.238,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,4096,0,5057792.000,1234.812,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,4096,1,4897167.000,1195.597,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
candidate,2c975b4c770f9020b6f0b654a7998777efb326ea,1,bit_variable,ids,4096,0,4096,2,5024291.000,1226.634,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,4096,0,3375791.000,824.168,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,4096,1,2310417.000,564.067,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_fixed,ids,4096,0,4096,2,2486542.000,607.066,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,4096,0,2559750.000,624.939,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,4096,1,2417458.000,590.200,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,byte_variable,ids,4096,0,4096,2,2580459.000,629.995,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,4096,0,8825792.000,2154.734,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,4096,1,7743125.000,1890.411,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_fixed,ids,4096,0,4096,2,7721250.000,1885.071,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,4096,0,7978250.000,1947.815,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,4096,1,7713084.000,1883.077,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,1,bit_variable,ids,4096,0,4096,2,7870042.000,1921.397,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,4096,0,3547875.000,866.180,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,4096,1,2598167.000,634.318,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_fixed,ids,4096,0,4096,2,2441083.000,595.968,16830212,511724354307186920,178990088,134250672,22438928,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,4096,0,2564458.000,626.088,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,4096,1,2330500.000,568.970,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,byte_variable,ids,4096,0,4096,2,2434792.000,594.432,16867068,6909849669356961042,178990088,134250672,22488069,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,4096,0,8686541.000,2120.738,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,4096,1,7645000.000,1866.455,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_fixed,ids,4096,0,4096,2,7668084.000,1872.091,16817531,3083272129566107382,178976184,134238258,22422329,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,4096,0,7846416.000,1915.629,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
baseline,e042920590f01c864ecc8019f4e1fd864d483de5,2,bit_variable,ids,4096,0,4096,1,7872542.000,1922.007,16823252,13899531556974143969,178976184,134238258,22429957,0,0,0,0
