variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_fixed,16384,0,0,1852250.000,113.052,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_fixed,16384,0,1,2008042.000,122.561,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_fixed,16384,0,2,1714458.000,104.642,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_variable,16384,0,0,1934459.000,118.070,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_variable,16384,0,1,2036375.000,124.290,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,byte_variable,16384,0,2,2199459.000,134.244,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_fixed,16384,0,0,2877750.000,175.644,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_fixed,16384,0,1,3027333.000,184.774,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_fixed,16384,0,2,2862083.000,174.688,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_variable,16384,0,0,3533458.000,215.665,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_variable,16384,0,1,3497083.000,213.445,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,0,bit_variable,16384,0,2,3507958.000,214.109,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,0,1693833.000,103.383,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,1,1535584.000,93.725,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_fixed,16384,0,2,1471459.000,89.811,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,0,1860000.000,113.525,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,1,1823541.000,111.300,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,byte_variable,16384,0,2,1768958.000,107.969,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,0,2645917.000,161.494,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,1,2809042.000,171.450,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_fixed,16384,0,2,2625042.000,160.220,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,0,3499875.000,213.615,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,1,3260209.000,198.987,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,0,bit_variable,16384,0,2,3477375.000,212.242,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,0,1446000.000,88.257,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,1,1379083.000,84.173,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_fixed,16384,0,2,1506291.000,91.937,181387,10403037783553420394
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,0,1876750.000,114.548,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,1,1863875.000,113.762,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,byte_variable,16384,0,2,1862542.000,113.681,328817,14631988329332027140
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,0,2690792.000,164.233,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,1,2554709.000,155.927,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_fixed,16384,0,2,2700084.000,164.800,60153,8519433193016921614
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,0,3427667.000,209.208,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,1,3347791.000,204.333,83038,15871665711279132660
candidate,819578c53e67c839eab3bc285f0dca2217262fbb,1,bit_variable,16384,0,2,3378375.000,206.200,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_fixed,16384,0,0,1709500.000,104.340,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_fixed,16384,0,1,1531583.000,93.480,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_fixed,16384,0,2,1589750.000,97.031,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_variable,16384,0,0,1974458.000,120.511,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_variable,16384,0,1,1964667.000,119.914,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,byte_variable,16384,0,2,1935625.000,118.141,328817,14631988329332027140
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_fixed,16384,0,0,2791916.000,170.405,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_fixed,16384,0,1,2888542.000,176.303,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_fixed,16384,0,2,2805500.000,171.234,60153,8519433193016921614
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_variable,16384,0,0,3416250.000,208.511,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_variable,16384,0,1,3448125.000,210.457,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,1,bit_variable,16384,0,2,3497333.000,213.460,83038,15871665711279132660
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,2,byte_fixed,16384,0,0,1533167.000,93.577,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,2,byte_fixed,16384,0,1,1546666.000,94.401,181387,10403037783553420394
baseline,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,2,byte_fixed,16384,0,2,1625250.000,99.197,181387,10403037783553420394
