variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,0,2115542.000,129.122,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,1,1811584.000,110.570,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_fixed,16384,0,2,1619250.000,98.831,181387,10403037783553420394
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,0,2072417.000,126.490,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,1,2114916.000,129.084,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,byte_variable,16384,0,2,2034125.000,124.153,328817,14631988329332027140
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,0,3328125.000,203.133,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,1,3347125.000,204.292,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_fixed,16384,0,2,3297000.000,201.233,60153,8519433193016921614
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,0,3985209.000,243.238,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,1,4093250.000,249.832,83038,15871665711279132660
baseline,e45e47f14b45a2f9726d23c80d1d19b33de7745a,0,bit_variable,16384,0,2,4097792.000,250.109,83038,15871665711279132660
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_fixed,16384,0,0,1854958.000,113.218,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_fixed,16384,0,1,1926458.000,117.582,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_fixed,16384,0,2,1834542.000,111.972,181387,10403037783553420394
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_variable,16384,0,0,2366333.000,144.430,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_variable,16384,0,1,2277375.000,139.000,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,byte_variable,16384,0,2,2356708.000,143.842,328817,14631988329332027140
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,bit_fixed,16384,0,0,3251000.000,198.425,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,bit_fixed,16384,0,1,3393750.000,207.138,60153,8519433193016921614
candidate,13c914d824551501a6ae7da6dda98d7f5620e78b,0,bit_fixed,16384,0,2,3328708.000,203.168,60153,8519433193016921614
