comparison,baseline_revision,candidate_revision,profile,records,prefix_bytes,observations_per_variant,baseline_min_ns,baseline_median_ns,baseline_max_ns,candidate_min_ns,candidate_median_ns,candidate_max_ns,change_percent
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_fixed,16384,0,15,98.831,102.503,129.122,109.698,113.218,121.689,10.453353
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_variable,16384,0,15,123.09,127.729,133.171,135.391,139.0,175.112,8.824151
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,bit_fixed,16384,0,15,196.986,201.233,211.334,187.899,197.861,207.138,-1.675669
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,bit_variable,16384,0,15,236.483,244.848,264.163,227.737,232.14,252.045,-5.190159
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_fixed,16384,64,15,103.5,108.793,118.167,109.632,112.223,121.094,3.152776
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_variable,16384,64,15,128.38,134.527,147.873,136.007,139.768,145.625,3.895872
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,bit_fixed,16384,64,15,201.444,212.018,220.078,188.52,197.421,204.646,-6.884793
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,bit_variable,16384,64,15,246.567,256.46,266.088,227.62,235.937,246.195,-8.002418
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_fixed,16384,4096,15,414.291,426.834,452.011,112.157,114.309,122.569,-73.219331
frontier,e45e47f14b45a2f9726d23c80d1d19b33de7745a,13c914d824551501a6ae7da6dda98d7f5620e78b,byte_variable,16384,4096,15,438.889,453.417,474.083,136.457,137.822,147.786,-69.603698
