variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,16384,0,0,1781250.000,108.719,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,16384,0,1,1443791.000,88.122,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,16384,0,2,1479417.000,90.296,181387,10403037783553420394
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,16384,0,0,1598708.000,97.577,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,16384,0,1,1546541.000,94.393,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,16384,0,2,1506792.000,91.967,328817,14631988329332027140
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,16384,0,0,1807167.000,110.301,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,16384,0,1,1935334.000,118.123,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,16384,0,2,1938834.000,118.337,60153,8519433193016921614
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,16384,0,0,2209458.000,134.855,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,16384,0,1,2357250.000,143.875,83038,15871665711279132660
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,16384,0,2,2341916.000,142.939,83038,15871665711279132660
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,16384,0,0,943333.000,57.576,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,16384,0,1,933667.000,56.987,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,16384,0,2,873333.000,53.304,181387,10403037783553420394
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,16384,0,0,1055833.000,64.443,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,16384,0,1,862458.000,52.640,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,16384,0,2,960292.000,58.612,328817,14631988329332027140
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,16384,0,0,1431875.000,87.395,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,16384,0,1,1445333.000,88.216,60153,8519433193016921614
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,16384,0,2,1390458.000,84.867,60153,8519433193016921614
