variant,revision,trial,profile,records,prefix_bytes,round,build_ns,record_ns,payload_bytes,wire_digest
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,257,0,0,205667.000,800.261,2853,6010314650978638480
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,257,0,0,228291.000,888.292,5151,4051063554720133198
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,257,0,0,239542.000,932.070,952,1196033265331676437
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,257,0,0,261917.000,1019.132,1309,7005637587513472337
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,257,0,0,124333.000,483.786,2853,6010314650978638480
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,257,0,0,138792.000,540.047,5151,4051063554720133198
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,257,0,0,154917.000,602.790,952,1196033265331676437
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_variable,257,0,0,185666.000,722.436,1309,7005637587513472337
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,257,64,0,238625.000,928.502,2917,9884317702876845817
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,257,64,0,249416.000,970.490,5215,5754981978645749093
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,257,64,0,282041.000,1097.436,1029,1977504995661104350
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,257,64,0,275792.000,1073.121,1386,13187742879165115580
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,257,64,0,128792.000,501.136,2917,9884317702876845817
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,257,64,0,156875.000,610.409,5215,5754981978645749093
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,257,64,0,167833.000,653.047,1029,1977504995661104350
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_variable,257,64,0,166458.000,647.696,1386,13187742879165115580
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_fixed,257,4096,0,2659292.000,10347.440,6967,2295699865331148289
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,byte_variable,257,4096,0,2695084.000,10486.708,9265,9550039719348802499
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_fixed,257,4096,0,2546125.000,9907.101,5088,4506696701268042065
baseline,fdcad441a501d8edc6eded225c613b6e2bec009d,0,bit_variable,257,4096,0,2587041.000,10066.307,5445,8951653247181923344
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_fixed,257,4096,0,395209.000,1537.778,6967,2295699865331148289
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,byte_variable,257,4096,0,406167.000,1580.416,9265,9550039719348802499
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_fixed,257,4096,0,391292.000,1522.537,5088,4506696701268042065
candidate,f986ee29a0ec4245ef2a30709ebafb74cbcff803,0,bit_variable,257,4096,0,459834.000,1789.237,5445,8951653247181923344
