case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,endpoint_bytes,total_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
large_same_bits,780902400,52060160,independent,rank,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,21.448,19.850,22.240,102455988785586
large_same_bits,780902400,52060160,independent,rank,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,17.977,16.513,21.516,102455988785586
large_same_bits,780902400,52060160,independent,rank,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,18.318,18.098,20.102,102455988785586
large_same_bits,780902400,52060160,independent,pair_rank_plus_class,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,24.092,23.346,24.646,204911981504079
large_same_bits,780902400,52060160,independent,pair_rank_plus_class,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,23.492,21.744,24.802,204911981504079
large_same_bits,780902400,52060160,independent,pair_rank_plus_class,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,21.405,21.026,21.449,204911981504079
large_same_bits,780902400,52060160,independent,pair_two_ranks,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,45.756,37.568,45.908,204911981504079
large_same_bits,780902400,52060160,independent,pair_two_ranks,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,44.255,37.278,45.834,204911981504079
large_same_bits,780902400,52060160,independent,pair_two_ranks,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,30.575,30.344,31.958,204911981504079
large_same_bits,780902400,52060160,dependent,rank,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,106.597,97.593,142.198,102429347244026
large_same_bits,780902400,52060160,dependent,rank,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,120.373,114.223,127.609,102429347244026
large_same_bits,780902400,52060160,dependent,rank,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,167.289,153.595,176.036,102429347244026
large_same_bits,780902400,52060160,dependent,pair_rank_plus_class,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,114.724,98.988,117.774,204788025852432
large_same_bits,780902400,52060160,dependent,pair_rank_plus_class,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,117.032,106.141,130.735,204788025852432
large_same_bits,780902400,52060160,dependent,pair_rank_plus_class,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,166.223,156.725,169.526,204788025852432
large_same_bits,780902400,52060160,dependent,pair_two_ranks,neon_byte_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,114.075,106.107,125.959,204788025852432
large_same_bits,780902400,52060160,dependent,pair_two_ranks,neon_qword_first,26030080,3253760,8,29283848,0,0,4194304,524288,3,116.395,115.467,128.170,204788025852432
large_same_bits,780902400,52060160,dependent,pair_two_ranks,bitmap512_rank,97612800,18302400,4,115915204,0,0,4194304,524288,3,164.780,158.213,167.578,204788025852432
