kind,size,pattern,variant,positions,encoded_bytes,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
groups3,hot,independent,baseline,16421,5144,524288,1048576,5,32.145,31.493,33.037,12798575136
groups3,hot,independent,portable_packed,16421,5144,524288,1048576,5,8.987,8.617,9.477,12798575136
groups3,hot,independent,neon_packed,16421,5144,524288,1048576,5,3.930,3.842,4.121,12798575136
groups3,hot,independent,selected,16421,5144,524288,1048576,5,9.017,8.982,9.153,12798575136
groups3,hot,dependent,baseline,16421,5144,524288,1048576,5,31.952,31.412,32.534,12836279040
groups3,hot,dependent,portable_packed,16421,5144,524288,1048576,5,11.622,11.139,11.864,12836279040
groups3,hot,dependent,neon_packed,16421,5144,524288,1048576,5,16.112,15.915,16.309,12836279040
groups3,hot,dependent,selected,16421,5144,524288,1048576,5,11.397,11.137,11.603,12836279040
groups3_pair,hot,independent,baseline,16421,5144,524288,1048576,5,34.164,33.586,34.881,25598713392
groups3_pair,hot,independent,portable_packed,16421,5144,524288,1048576,5,10.929,10.674,11.432,25598713392
groups3_pair,hot,independent,neon_packed,16421,5144,524288,1048576,5,4.953,4.895,5.057,25598713392
groups3_pair,hot,independent,selected,16421,5144,524288,1048576,5,9.728,9.634,10.194,25598713392
groups3_pair,hot,dependent,baseline,16421,5144,524288,1048576,5,35.760,35.448,35.979,25613154019
groups3_pair,hot,dependent,portable_packed,16421,5144,524288,1048576,5,14.070,13.592,14.452,25613154019
groups3_pair,hot,dependent,neon_packed,16421,5144,524288,1048576,5,17.446,16.609,17.862,25613154019
groups3_pair,hot,dependent,selected,16421,5144,524288,1048576,5,13.593,13.500,14.203,25613154019
groups7,hot,independent,baseline,16421,7192,524288,1048576,5,54.963,54.556,56.720,29926991712
groups7,hot,independent,portable_packed,16421,7192,524288,1048576,5,11.003,10.815,11.072,29926991712
groups7,hot,independent,neon_packed,16421,7192,524288,1048576,5,5.524,5.455,5.802,29926991712
groups7,hot,independent,selected,16421,7192,524288,1048576,5,5.617,5.527,5.910,29926991712
groups7,hot,dependent,baseline,16421,7192,524288,1048576,5,57.076,55.931,59.210,29953553946
groups7,hot,dependent,portable_packed,16421,7192,524288,1048576,5,16.822,16.662,17.840,29953553946
groups7,hot,dependent,neon_packed,16421,7192,524288,1048576,5,17.538,17.417,18.649,29953553946
groups7,hot,dependent,selected,16421,7192,524288,1048576,5,17.565,17.218,17.901,29953553946
groups7_pair,hot,independent,baseline,16421,7192,524288,1048576,5,58.047,56.456,60.456,59857647152
groups7_pair,hot,independent,portable_packed,16421,7192,524288,1048576,5,15.409,14.642,16.228,59857647152
groups7_pair,hot,independent,neon_packed,16421,7192,524288,1048576,5,7.567,7.340,7.711,59857647152
groups7_pair,hot,independent,selected,16421,7192,524288,1048576,5,7.283,7.074,7.464,59857647152
groups7_pair,hot,dependent,baseline,16421,7192,524288,1048576,5,60.357,58.621,62.450,60039011539
groups7_pair,hot,dependent,portable_packed,16421,7192,524288,1048576,5,20.498,19.640,22.051,60039011539
groups7_pair,hot,dependent,neon_packed,16421,7192,524288,1048576,5,18.371,18.216,19.600,60039011539
groups7_pair,hot,dependent,selected,16421,7192,524288,1048576,5,18.116,17.922,19.444,60039011539
groups31,hot,independent,baseline,16421,11296,524288,1048576,5,55.140,54.812,55.473,133132646368
groups31,hot,independent,portable_packed,16421,11296,524288,1048576,5,15.852,15.641,19.596,133132646368
groups31,hot,independent,neon_packed,16421,11296,524288,1048576,5,11.292,11.166,11.596,133132646368
groups31,hot,independent,selected,16421,11296,524288,1048576,5,11.219,11.109,11.467,133132646368
groups31,hot,dependent,baseline,16421,11296,524288,1048576,5,56.991,56.788,58.777,133446604579
groups31,hot,dependent,portable_packed,16421,11296,524288,1048576,5,20.101,19.655,20.597,133446604579
groups31,hot,dependent,neon_packed,16421,11296,524288,1048576,5,22.509,21.479,22.743,133446604579
groups31,hot,dependent,selected,16421,11296,524288,1048576,5,22.349,21.527,23.844,133446604579
groups31_pair,hot,independent,baseline,16421,11296,524288,1048576,5,56.706,56.573,57.735,266281533616
groups31_pair,hot,independent,portable_packed,16421,11296,524288,1048576,5,19.408,19.157,19.570,266281533616
groups31_pair,hot,independent,neon_packed,16421,11296,524288,1048576,5,12.931,12.822,13.062,266281533616
groups31_pair,hot,independent,selected,16421,11296,524288,1048576,5,12.950,12.730,13.111,266281533616
groups31_pair,hot,dependent,baseline,16421,11296,524288,1048576,5,61.184,59.831,61.956,268059593300
groups31_pair,hot,dependent,portable_packed,16421,11296,524288,1048576,5,22.330,22.153,22.629,268059593300
groups31_pair,hot,dependent,neon_packed,16421,11296,524288,1048576,5,23.283,22.827,24.346,268059593300
groups31_pair,hot,dependent,selected,16421,11296,524288,1048576,5,23.194,22.711,23.678,268059593300
bitmap,hot,independent,baseline,253577,32704,524288,1048576,5,9.522,9.479,10.240,66132829104
bitmap,hot,independent,selected,253577,32704,524288,1048576,5,4.369,4.149,4.457,66132829104
bitmap,hot,dependent,baseline,253577,32704,524288,1048576,5,16.788,16.502,17.085,66212902639
bitmap,hot,dependent,selected,253577,32704,524288,1048576,5,13.319,13.028,13.652,66212902639
