variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,0,20541.000,1897.878,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,0,20583.000,2932.190,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,0,10541.000,1974.701,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,0,22333.000,2954.366,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,1,12792.000,1967.712,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,1,15250.000,2921.682,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,1,18833.000,1901.235,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,1,16500.000,2893.992,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,byte,15,4096,0,87,1,4096,2,10417.000,1838.460,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,18daa213552ec44872f9c042a7977fbe7c81c07d,bit,15,4096,0,87,1,4096,2,17375.000,2938.070,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
