variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,0,14583.000,2121.663,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,0,13750.000,2955.322,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,0,15875.000,1989.909,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,0,35416.000,2904.948,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,1,12458.000,2042.460,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,1,11917.000,2886.017,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,1,19292.000,1971.842,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,1,10625.000,2898.621,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,2,20875.000,1974.243,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,2,17000.000,2936.106,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,2,25125.000,1965.485,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,2,17167.000,2926.046,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,3,19250.000,1928.111,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,3,14417.000,2991.730,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,3,8125.000,1959.991,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,3,27833.000,2910.309,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,4,13625.000,2006.887,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,4,15167.000,2958.191,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,4,17000.000,1916.799,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,4,13958.000,2875.417,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,64,87,1,4096,0,20750.000,1928.579,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,64,87,1,4096,0,16792.000,2896.433,20480,2796,331823824949766785,15,54064,1469,856,280,3128,50,59847
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,64,87,1,4096,0,33083.000,1926.829,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,64,87,1,4096,0,15083.000,2900.330,20480,2796,331823824949766785,15,54064,1469,856,280,3128,50,59847
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,64,87,1,4096,1,19250.000,2199.015,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
candidate_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,64,87,1,4096,1,13875.000,3372.498,20480,2796,331823824949766785,15,54064,1469,856,280,3128,50,59847
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,64,87,1,4096,1,13583.000,2149.638,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
baseline_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,64,87,1,4096,1,14500.000,2885.925,20480,2796,331823824949766785,15,54064,1469,856,280,3128,50,59847
