variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,0,58875.000,3346.161,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,0,26750.000,3381.459,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,0,21375.000,3218.496,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,0,23500.000,3302.165,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,1,11250.000,1930.074,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,1,19792.000,2916.188,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,1,20166.000,2085.327,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,1,16333.000,3026.611,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,2,7708.000,2085.907,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,2,15542.000,3029.551,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,2,22416.000,1985.840,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,2,17042.000,2910.655,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,3,20167.000,2120.728,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,3,21666.000,3095.205,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,3,11250.000,2047.475,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,3,26625.000,3030.894,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,0,87,1,4096,4,16375.000,2120.493,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,0,87,1,4096,4,21958.000,3025.686,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,0,87,1,4096,4,12417.000,2036.886,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,bit,15,4096,0,87,1,4096,4,29709.000,2967.997,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,byte,15,4096,64,87,1,4096,0,12875.000,2084.513,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
baseline_w15,e042920590f01c864ecc8019f4e1fd864d483de5,bit,15,4096,64,87,1,4096,0,21625.000,3073.944,20480,2796,331823824949766785,15,54064,1469,856,280,3128,50,59847
candidate_w15,17dff1c0f6f7a3803f6adf6b88a2d0804a4f7f14,byte,15,4096,64,87,1,4096,0,13792.000,2002.676,20480,2796,331823824949766785,15,56680,1607,728,280,3128,50,62473
