variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,0,8792.000,2143.463,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,0,9792.000,2846.802,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,0,8125.000,2886.159,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,0,12500.000,3208.883,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,1,8875.000,1854.482,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,1,10083.000,2762.115,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,1,7875.000,1936.971,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,1,10959.000,2772.217,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,2,7667.000,1893.829,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,2,10500.000,2835.805,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,2,11875.000,1812.297,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,2,9959.000,2770.966,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,byte,15,4096,0,87,1,4096,3,7584.000,1866.811,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
candidate_w15,7fe6ee841a496497057d31a7c1e291c9d1d8f02c,bit,15,4096,0,87,1,4096,3,9750.000,2757.660,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,byte,15,4096,0,87,1,4096,3,6916.000,1950.612,20480,2796,331823824949766785,15,56424,1351,728,280,3128,50,61961
baseline_w15,a12eb8019d49052c370bcc62a593b6a317bec9fa,bit,15,4096,0,87,1,4096,3,12000.000,2874.990,20480,2796,331823824949766785,15,53443,1186,856,280,3128,50,58943
