variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,byte,15,4096,0,87,1,4096,0,21000.000,5287.211,20480,2796,331823824949766785,15,59534,1391,728,280,0,50,61983
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,bit,15,4096,0,87,1,4096,0,21667.000,10007.151,20480,2796,331823824949766785,15,57234,1222,856,280,0,50,59642
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,0,16375.000,3365.845,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,0,52667.000,6194.224,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,0,22708.000,3238.068,20480,2796,331823824949766785,16,56764,1378,704,280,3128,50,62304
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,0,22625.000,6598.348,20480,2796,331823824949766785,16,53741,1212,832,280,3128,50,59243
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,1,22334.000,3258.484,20480,2796,331823824949766785,16,56764,1378,704,280,3128,50,62304
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,1,25125.000,6623.739,20480,2796,331823824949766785,16,53741,1212,832,280,3128,50,59243
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,1,38958.000,3147.502,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,1,29417.000,6280.385,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,byte,15,4096,0,87,1,4096,1,17500.000,5408.651,20480,2796,331823824949766785,15,59534,1391,728,280,0,50,61983
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,bit,15,4096,0,87,1,4096,1,23583.000,10087.056,20480,2796,331823824949766785,15,57234,1222,856,280,0,50,59642
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,byte,15,4096,0,87,1,4096,2,16875.000,5356.944,20480,2796,331823824949766785,15,59534,1391,728,280,0,50,61983
baseline_w15,71a92a960555de244b8e52b2c3cc9f140ce0aa68,bit,15,4096,0,87,1,4096,2,22792.000,10076.141,20480,2796,331823824949766785,15,57234,1222,856,280,0,50,59642
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,2,17667.000,3090.108,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,2,29917.000,6281.453,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,2,18042.000,3272.817,20480,2796,331823824949766785,16,56764,1378,704,280,3128,50,62304
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,2,20833.000,6574.748,20480,2796,331823824949766785,16,53741,1212,832,280,3128,50,59243
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,3,25334.000,3242.381,20480,2796,331823824949766785,16,56764,1378,704,280,3128,50,62304
candidate_w16,2d58df097343151af208a7700f294b0ff734be6c,bit,15,4096,0,87,1,4096,3,28458.000,6584.320,20480,2796,331823824949766785,16,53741,1212,832,280,3128,50,59243
candidate_w15,2d58df097343151af208a7700f294b0ff734be6c,byte,15,4096,0,87,1,4096,3,29209.000,3148.875,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
