variant,trial,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline,0,byte,15,4096,0,87,1,4096,16292.000,3099.762,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline,0,bit,15,4096,0,87,1,4096,17959.000,4527.496,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
outlined,0,byte,15,4096,0,87,1,4096,25667.000,2736.145,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
outlined,0,bit,15,4096,0,87,1,4096,27208.000,4188.263,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
fail_stop,0,byte,15,4096,0,87,1,4096,16916.000,2633.240,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
fail_stop,0,bit,15,4096,0,87,1,4096,19500.000,4071.401,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline,0,byte,15,4096,0,87,1,4096,29458.000,3168.599,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline,0,bit,15,4096,0,87,1,4096,18084.000,4609.823,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
fail_stop,0,byte,15,4096,0,87,1,4096,27708.000,2692.667,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
fail_stop,0,bit,15,4096,0,87,1,4096,35292.000,4124.268,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
outlined,0,byte,15,4096,0,87,1,4096,16125.000,2678.935,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
outlined,0,bit,15,4096,0,87,1,4096,27042.000,4114.258,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
fail_stop,0,byte,15,4096,0,87,1,4096,22500.000,2693.003,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
fail_stop,0,bit,15,4096,0,87,1,4096,24583.000,4095.398,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline,0,byte,15,4096,0,87,1,4096,36083.000,3135.396,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
