variant,trial,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline,0,byte,15,128,0,3,0,128,4958.000,12107.750,512,89,527602739123,15,1535,65,248,64,112,4,2028
baseline,0,bit,15,128,0,3,0,128,7917.000,15910.484,512,89,527602739123,15,1439,59,256,64,112,4,1934
outlined,0,byte,15,128,0,3,0,128,3042.000,12116.531,512,89,527602739123,15,1535,65,248,64,112,4,2028
outlined,0,bit,15,128,0,3,0,128,3291.000,15583.984,512,89,527602739123,15,1439,59,256,64,112,4,1934
fail_stop,0,byte,15,128,0,3,0,128,4542.000,11655.602,512,89,527602739123,15,1535,65,248,64,112,4,2028
fail_stop,0,bit,15,128,0,3,0,128,8333.000,15785.484,512,89,527602739123,15,1439,59,256,64,112,4,1934
baseline,0,byte,15,128,64,3,0,128,14084.000,12651.695,512,89,527602739123,15,1791,257,248,64,112,4,2476
baseline,0,bit,15,128,64,3,0,128,5333.000,18624.672,512,89,527602739123,15,1706,254,256,64,112,4,2396
outlined,0,byte,15,128,64,3,0,128,7917.000,12181.961,512,89,527602739123,15,1791,257,248,64,112,4,2476
outlined,0,bit,15,128,64,3,0,128,3583.000,18908.523,512,89,527602739123,15,1706,254,256,64,112,4,2396
fail_stop,0,byte,15,128,64,3,0,128,5250.000,12347.000,512,89,527602739123,15,1791,257,248,64,112,4,2476
fail_stop,0,bit,15,128,64,3,0,128,7583.000,18487.625,512,89,527602739123,15,1706,254,256,64,112,4,2396
baseline,0,byte,15,1024,64,22,1,128,78625.000,18349.609,640,92,106102185999466,15,13664,626,392,120,800,14,15616
baseline,0,bit,15,1024,64,22,1,128,78833.000,25421.875,640,92,106102185999466,15,12981,589,416,120,800,14,14920
outlined,0,byte,15,1024,64,22,1,128,86958.000,17626.953,640,92,106102185999466,15,13664,626,392,120,800,14,15616
outlined,0,bit,15,1024,64,22,1,128,102375.000,25507.812,640,92,106102185999466,15,12981,589,416,120,800,14,14920
fail_stop,0,byte,15,1024,64,22,1,128,89750.000,17264.000,640,92,106102185999466,15,13664,626,392,120,800,14,15616
fail_stop,0,bit,15,1024,64,22,1,128,73541.000,24459.633,640,92,106102185999466,15,12981,589,416,120,800,14,14920
