variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,4096,0,87,1,4096,0,24750.000,3298.208,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,4096,0,87,1,4096,0,28291.000,4491.312,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,0,11750.000,2625.742,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,0,28209.000,4115.499,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,1,18000.000,2659.251,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,1,20417.000,4139.598,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,4096,0,87,1,4096,1,20000.000,3087.545,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,4096,0,87,1,4096,1,18791.000,4476.288,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,byte,15,4096,0,87,1,4096,2,21958.000,3107.239,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,e45e47f14b45a2f9726d23c80d1d19b33de7745a,bit,15,4096,0,87,1,4096,2,16334.000,4530.497,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,2,20500.000,2679.169,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,bit,15,4096,0,87,1,4096,2,22792.000,4024.577,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,9c2c3beeb0f5ce6cf3d81eb5963d41efdc22041e,byte,15,4096,0,87,1,4096,3,21041.000,2710.510,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
