type,operation,pattern,variant,positions,array_bytes,view_bytes,min_ns,median_ns,max_ns,checksum
groups3,rank,independent,cached_total,65536,20480,64,15.3034,15.3434,21.7432,51450581568
groups3,rank,independent,bounded,65536,20480,56,15.0257,15.0951,15.822,51450581568
groups3,rank,dependent,cached_total,65536,20480,64,18.3504,18.3631,18.5119,51639874183
groups3,rank,dependent,bounded,65536,20480,56,18.4021,18.5296,18.732,51639874183
groups3,rank_plus_class,independent,cached_total,65536,20480,64,17.9175,18.1218,18.2894,102902735040
groups3,rank_plus_class,independent,bounded,65536,20480,56,17.9589,18.0068,18.2413,102902735040
groups3,rank_plus_class,dependent,cached_total,65536,20480,64,20.282,20.5442,20.6539,102842490193
groups3,rank_plus_class,dependent,bounded,65536,20480,56,20.1279,20.2908,20.5741,102842490193
groups7,rank,independent,cached_total,65536,28672,64,8.55172,8.65205,8.80786,120064510336
groups7,rank,independent,bounded,65536,28672,56,8.16758,8.17478,8.28417,120064510336
groups7,rank,dependent,cached_total,65536,28672,64,23.9047,24.0204,24.283,119451729333
groups7,rank,dependent,bounded,65536,28672,56,23.777,24.0112,24.1711,119451729333
groups7,rank_plus_class,independent,cached_total,65536,28672,64,11.5588,11.7253,11.8839,240132683776
groups7,rank_plus_class,independent,bounded,65536,28672,56,11.5777,11.6469,11.7475,240132683776
groups7,rank_plus_class,dependent,cached_total,65536,28672,64,26.0634,26.4678,26.8814,240091231367
groups7,rank_plus_class,dependent,bounded,65536,28672,56,24.7109,25.0809,25.154,240091231367
groups15,rank,independent,cached_total,65536,36864,72,5.48009,5.56815,5.64551,256988968704
groups15,rank,independent,bounded,65536,36864,64,5.5035,5.5691,5.72602,256988968704
groups15,rank,dependent,cached_total,65536,36864,72,16.1196,16.2765,16.4174,256836632461
groups15,rank,dependent,bounded,65536,36864,64,15.9874,16.3707,16.477,256836632461
groups15,rank_plus_class,independent,cached_total,65536,36864,72,7.65649,7.75055,7.81028,513985770112
groups15,rank_plus_class,independent,bounded,65536,36864,64,7.55962,7.63893,7.78365,513985770112
groups15,rank_plus_class,dependent,cached_total,65536,36864,72,17.0544,17.1514,17.3831,515492152230
groups15,rank_plus_class,dependent,bounded,65536,36864,64,16.9935,17.2292,17.5115,515492152230
groups31,rank,independent,cached_total,65536,45056,64,15.9405,16.0573,16.329,533308768512
groups31,rank,independent,bounded,65536,45056,56,15.872,15.9738,16.0224,533308768512
groups31,rank,dependent,cached_total,65536,45056,64,30.1702,30.2213,30.3481,534093513233
groups31,rank,dependent,bounded,65536,45056,56,29.8216,29.9154,29.9596,534093513233
groups31,rank_plus_class,independent,cached_total,65536,45056,64,19.2011,19.441,19.5507,1066633817984
groups31,rank_plus_class,independent,bounded,65536,45056,56,19.1741,19.2972,19.4259,1066633817984
groups31,rank_plus_class,dependent,cached_total,65536,45056,64,31.4451,31.5502,31.6443,1069323513614
groups31,rank_plus_class,dependent,bounded,65536,45056,56,31.5165,31.61,31.7542,1069323513614
bitmap,rank,independent,cached_total,262144,33800,80,5.99126,6.01161,6.13558,68592409456
bitmap,rank,independent,bounded,262144,33800,72,6.00851,6.13344,6.19618,68592409456
bitmap,rank,dependent,cached_total,262144,33800,80,17.8892,17.998,18.065,68611155064
bitmap,rank,dependent,bounded,262144,33800,72,17.8485,17.9345,18.0871,68611155064
