variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,0,sample,986084.000,80.248,12288,12287,1831843142036873085
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,0,pipeline,1389333.000,113.064,12288,3291,7010700040678070324
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,1,sample,984042.000,80.082,12288,12287,1831843142036873085
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,1,pipeline,1379792.000,112.288,12288,3291,7010700040678070324
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,2,sample,923542.000,75.158,12288,12287,1831843142036873085
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,2,pipeline,1184000.000,96.354,12288,3291,7010700040678070324
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,0,sample,1146208.000,93.279,12288,12287,12193008009033903249
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,0,pipeline,1707750.000,138.977,12288,3291,10764992291889574130
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,1,sample,1119042.000,91.068,12288,12287,12193008009033903249
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,1,pipeline,1436083.000,116.869,12288,3291,10764992291889574130
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,2,sample,1014959.000,82.598,12288,12287,12193008009033903249
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,2,pipeline,1428500.000,116.252,12288,3291,10764992291889574130
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,0,sample,884708.000,47.667,18560,18557,8476562761733985929
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,0,pipeline,1230500.000,66.298,18560,4188,14205456126107407234
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,1,sample,868709.000,46.805,18560,18557,8476562761733985929
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,1,pipeline,1243250.000,66.985,18560,4188,14205456126107407234
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,2,sample,874750.000,47.131,18560,18557,8476562761733985929
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,duplicates,4096,0,2,pipeline,1329125.000,71.612,18560,4188,14205456126107407234
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,duplicates,4096,0,0,sample,1312709.000,70.728,18560,18557,17887957781260477778
baseline,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,duplicates,4096,0,0,pipeline,1809958.000,97.519,18560,4188,12370292114216348944
