variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,sample,790417.000,64.324,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,pipeline,1249959.000,101.722,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,sample,629041.000,51.191,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,pipeline,1056000.000,85.938,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,sample,630833.000,51.337,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,pipeline,1047750.000,85.266,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,sample,983375.000,80.027,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,pipeline,1512291.000,123.071,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,sample,947500.000,77.108,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,pipeline,1408583.000,114.631,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,sample,914958.000,74.459,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,pipeline,1369000.000,111.410,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,sample,683583.000,36.831,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,pipeline,1118042.000,60.239,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,sample,676583.000,36.454,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,pipeline,1124958.000,60.612,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,sample,676042.000,36.425,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,pipeline,1332584.000,71.799,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,sample,1133875.000,61.092,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,pipeline,1747250.000,94.141,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,sample,1128542.000,60.805,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,pipeline,1850000.000,99.677,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,sample,1128166.000,60.785,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,pipeline,1754833.000,94.549,18560,4188,12370292114216348944
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,0,sample,739250.000,60.160,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,0,pipeline,1230833.000,100.165,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,1,sample,738166.000,60.072,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,1,pipeline,1193750.000,97.148,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,2,sample,649958.000,52.894,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,interleaved,4096,0,2,pipeline,1074125.000,87.413,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,0,sample,995791.000,81.038,12288,12287,12193008009033903249
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,0,pipeline,1550417.000,126.173,12288,3291,10764992291889574130
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,1,sample,1006750.000,81.930,12288,12287,12193008009033903249
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,1,pipeline,1560667.000,127.007,12288,3291,10764992291889574130
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,2,sample,970292.000,78.963,12288,12287,12193008009033903249
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,interleaved,4096,0,2,pipeline,1723958.000,140.296,12288,3291,10764992291889574130
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,0,sample,683125.000,36.806,18560,18557,8476562761733985929
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,0,pipeline,1127125.000,60.729,18560,4188,14205456126107407234
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,1,sample,699250.000,37.675,18560,18557,8476562761733985929
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,1,pipeline,1152916.000,62.118,18560,4188,14205456126107407234
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,2,sample,709458.000,38.225,18560,18557,8476562761733985929
candidate,84d54956d1329b097f2a19e84286813f18064333,0,byte,duplicates,4096,0,2,pipeline,1248250.000,67.255,18560,4188,14205456126107407234
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,0,sample,1157708.000,62.377,18560,18557,17887957781260477778
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,0,pipeline,1787458.000,96.307,18560,4188,12370292114216348944
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,1,sample,1184416.000,63.816,18560,18557,17887957781260477778
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,1,pipeline,1796959.000,96.819,18560,4188,12370292114216348944
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,2,sample,1132375.000,61.012,18560,18557,17887957781260477778
candidate,84d54956d1329b097f2a19e84286813f18064333,0,bit,duplicates,4096,0,2,pipeline,1724375.000,92.908,18560,4188,12370292114216348944
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,0,sample,440750.000,35.868,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,0,pipeline,741834.000,60.371,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,1,sample,442667.000,36.024,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,1,pipeline,773084.000,62.914,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,2,sample,455000.000,37.028,12288,12287,1831843142036873085
candidate,84d54956d1329b097f2a19e84286813f18064333,1,byte,interleaved,4096,0,2,pipeline,747791.000,60.855,12288,3291,7010700040678070324
candidate,84d54956d1329b097f2a19e84286813f18064333,1,bit,interleaved,4096,0,0,sample,869791.000,70.784,12288,12287,12193008009033903249
candidate,84d54956d1329b097f2a19e84286813f18064333,1,bit,interleaved,4096,0,0,pipeline,1291459.000,105.099,12288,3291,10764992291889574130
