variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,sample,640667.000,52.138,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,pipeline,1058459.000,86.138,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,sample,652125.000,53.070,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,pipeline,1078458.000,87.765,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,sample,637708.000,51.897,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,pipeline,1044208.000,84.978,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,sample,871666.000,70.936,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,pipeline,1359750.000,110.657,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,sample,934708.000,76.067,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,pipeline,1405583.000,114.387,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,sample,903959.000,73.564,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,pipeline,1315791.000,107.079,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,sample,671375.000,36.173,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,pipeline,1108125.000,59.705,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,sample,714084.000,38.474,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,pipeline,1131458.000,60.962,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,sample,696333.000,37.518,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,pipeline,1133042.000,61.048,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,sample,1133875.000,61.092,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,pipeline,1740083.000,93.754,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,sample,1154375.000,62.197,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,pipeline,1735667.000,93.517,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,sample,1155250.000,62.244,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,pipeline,1822000.000,98.168,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,0,sample,1234291.000,100.447,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,0,pipeline,1740416.000,141.635,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,1,sample,1201583.000,97.785,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,1,pipeline,1451000.000,118.083,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,2,sample,1081417.000,88.006,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,interleaved,4096,0,2,pipeline,1418917.000,115.472,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,0,sample,1287250.000,104.757,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,0,pipeline,1724834.000,140.367,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,1,sample,1208292.000,98.331,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,1,pipeline,1633458.000,132.931,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,2,sample,1205750.000,98.124,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,interleaved,4096,0,2,pipeline,1614208.000,131.365,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,0,sample,1164958.000,62.767,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,0,pipeline,1482333.000,79.867,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,1,sample,1148416.000,61.876,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,1,pipeline,1495709.000,80.588,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,2,sample,1135333.000,61.171,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,byte,duplicates,4096,0,2,pipeline,1588542.000,85.590,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,0,sample,1609291.000,86.707,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,0,pipeline,2206208.000,118.869,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,1,sample,1666042.000,89.765,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,1,pipeline,2268125.000,122.205,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,2,sample,1597375.000,86.065,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,0,bit,duplicates,4096,0,2,pipeline,2220958.000,119.664,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,0,sample,740875.000,60.293,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,0,pipeline,1007958.000,82.028,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,1,sample,773167.000,62.920,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,1,pipeline,1034000.000,84.147,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,2,sample,747583.000,60.838,12288,12287,1831843142036873085
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,interleaved,4096,0,2,pipeline,995625.000,81.024,12288,3291,7010700040678070324
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,0,sample,1160000.000,94.401,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,0,pipeline,1519375.000,123.647,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,1,sample,1135625.000,92.417,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,1,pipeline,1514958.000,123.288,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,2,sample,1119041.000,91.068,12288,12287,12193008009033903249
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,interleaved,4096,0,2,pipeline,1574333.000,128.120,12288,3291,10764992291889574130
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,0,sample,1173875.000,63.248,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,0,pipeline,1511125.000,81.418,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,1,sample,1182583.000,63.717,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,1,pipeline,1617958.000,87.174,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,2,sample,1166083.000,62.828,18560,18557,8476562761733985929
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,byte,duplicates,4096,0,2,pipeline,1544375.000,83.210,18560,4188,14205456126107407234
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,0,sample,1602458.000,86.339,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,0,pipeline,2264209.000,121.994,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,1,sample,1658917.000,89.381,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,1,pipeline,2121125.000,114.285,18560,4188,12370292114216348944
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,2,sample,1608208.000,86.649,18560,18557,17887957781260477778
candidate,ad92282b0ac2b31311e7d17d2ff1c6566049bf04,1,bit,duplicates,4096,0,2,pipeline,2114792.000,113.944,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,interleaved,4096,0,0,sample,445250.000,36.235,12288,12287,1831843142036873085
