variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,sample,444166.000,36.146,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,pipeline,743917.000,60.540,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,sample,449459.000,36.577,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,pipeline,796708.000,64.836,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,sample,458417.000,37.306,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,pipeline,780542.000,63.521,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,sample,838791.000,68.261,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,pipeline,1318500.000,107.300,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,sample,812583.000,66.128,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,pipeline,1250792.000,101.790,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,sample,810167.000,65.932,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,pipeline,1242792.000,101.139,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,sample,677625.000,36.510,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,pipeline,1102334.000,59.393,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,sample,670458.000,36.124,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,pipeline,1119417.000,60.313,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,sample,692000.000,37.284,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,pipeline,1108041.000,59.700,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,sample,1143250.000,61.598,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,pipeline,1890750.000,101.872,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,sample,1149125.000,61.914,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,pipeline,1768459.000,95.283,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,sample,1122167.000,60.462,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,pipeline,1711584.000,92.219,18560,4188,12370292114216348944
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,0,sample,606416.000,49.350,12288,12287,1831843142036873085
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,0,pipeline,840959.000,68.437,12288,3291,7010700040678070324
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,1,sample,604041.000,49.157,12288,12287,1831843142036873085
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,1,pipeline,844417.000,68.719,12288,3291,7010700040678070324
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,2,sample,630875.000,51.341,12288,12287,1831843142036873085
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,byte,interleaved,4096,0,2,pipeline,843458.000,68.641,12288,3291,7010700040678070324
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,0,sample,916959.000,74.622,12288,12287,12193008009033903249
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,0,pipeline,1328542.000,108.117,12288,3291,10764992291889574130
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,1,sample,923583.000,75.161,12288,12287,12193008009033903249
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,1,pipeline,1303958.000,106.116,12288,3291,10764992291889574130
candidate,045702c3c9c2c321a12179bdda2f5b3a7a58a585,0,bit,interleaved,4096,0,2,sample,899958.000,73.239,12288,12287,12193008009033903249
