variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,sample,739667.000,60.194,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,0,pipeline,1238084.000,100.756,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,sample,743583.000,60.513,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,1,pipeline,1195834.000,97.317,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,sample,698583.000,56.851,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,interleaved,4096,0,2,pipeline,1087500.000,88.501,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,sample,985291.000,80.183,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,0,pipeline,1543583.000,125.617,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,sample,994709.000,80.950,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,1,pipeline,1474083.000,119.961,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,sample,905834.000,73.717,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,interleaved,4096,0,2,pipeline,1391292.000,113.224,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,sample,698958.000,37.659,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,0,pipeline,1134958.000,61.151,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,sample,716292.000,38.593,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,1,pipeline,1204875.000,64.918,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,sample,710208.000,38.266,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,byte,duplicates,4096,0,2,pipeline,1178875.000,63.517,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,sample,1141375.000,61.496,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,0,pipeline,1749958.000,94.287,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,sample,1121250.000,60.412,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,1,pipeline,1827250.000,98.451,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,sample,1134542.000,61.128,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,0,bit,duplicates,4096,0,2,pipeline,1729709.000,93.196,18560,4188,12370292114216348944
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,0,sample,1198458.000,97.531,12288,12287,1831843142036873085
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,0,pipeline,1794041.000,145.999,12288,3291,7010700040678070324
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,1,sample,1039083.000,84.561,12288,12287,1831843142036873085
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,1,pipeline,1480042.000,120.446,12288,3291,7010700040678070324
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,2,sample,1014042.000,82.523,12288,12287,1831843142036873085
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,byte,interleaved,4096,0,2,pipeline,1444708.000,117.571,12288,3291,7010700040678070324
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,bit,interleaved,4096,0,0,sample,1044375.000,84.991,12288,12287,12193008009033903249
candidate,efb4f203ed212c1d1318bfd2635c61a05809d682,0,bit,interleaved,4096,0,0,pipeline,1400792.000,113.997,12288,3291,10764992291889574130
