operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,dense_hot,old_groups,4096,8,5376,0,524288,5,38.705,38.135,38.868,274761047744
query,dense_hot,current_groups,4096,8,5376,0,524288,5,29.961,29.179,30.262,274761047744
query,dense_hot,old_select15,4096,8,5376,0,524288,5,39.297,38.777,40.254,274761047744
query,dense_hot,current_select15,4096,8,5376,0,524288,5,29.459,29.089,29.954,274761047744
query,dense_hot,simd_prototype,4096,8,5376,0,524288,5,36.441,35.969,36.612,274761047744
query,dense_hot,old_groups,4096,8,5376,8,524288,5,38.765,38.723,38.843,274761047744
query,dense_hot,current_groups,4096,8,5376,8,524288,5,29.559,28.841,29.879,274761047744
query,dense_hot,old_select15,4096,8,5376,8,524288,5,38.318,38.042,38.547,274761047744
query,dense_hot,current_select15,4096,8,5376,8,524288,5,29.514,29.044,29.975,274761047744
query,dense_hot,simd_prototype,4096,8,5376,8,524288,5,36.355,36.267,36.629,274761047744
build_per_entry,dense,old_groups,4096,8,5376,0,256,5,1.346,1.320,1.391,11644866786846024584
build_per_entry,dense,current_groups,4096,8,5376,0,256,5,1.041,1.036,1.075,11644866786846024584
build_per_entry,dense,old_select15,4096,8,5376,0,256,5,3.348,3.334,3.525,11644866786846024584
build_per_entry,dense,current_select15,4096,8,5376,0,256,5,1.037,1.029,1.083,11644866786846024584
build_per_entry,dense,simd_prototype,4096,8,5376,0,256,5,1.066,1.050,1.187,11644866786846024584
validate_per_entry,dense,old_scalar,4096,8,32768,0,256,5,0.836,0.836,0.880,1
validate_per_entry,dense,current,4096,8,32768,0,256,5,0.264,0.264,0.264,1
pack_per_entry,dense,old_groups,4096,1,512,0,256,5,0.286,0.261,0.300,765761513729985026
pack_per_entry,dense,current_groups,4096,1,512,0,256,5,0.268,0.261,0.276,765761513729985026
pack_per_entry,dense,simd_prototype,4096,1,512,0,256,5,0.269,0.261,0.277,765761513729985026
pack_per_entry,dense,old_groups,4096,7,3584,0,256,5,0.370,0.369,0.373,299129977340030
pack_per_entry,dense,current_groups,4096,7,3584,0,256,5,0.370,0.369,0.373,299129977340030
pack_per_entry,dense,simd_prototype,4096,7,3584,0,256,5,0.370,0.368,0.385,299129977340030
pack_per_entry,dense,old_groups,4096,8,4096,0,256,5,0.168,0.165,0.227,178124994123008
pack_per_entry,dense,current_groups,4096,8,4096,0,256,5,0.081,0.081,0.083,178124994123008
pack_per_entry,dense,simd_prototype,4096,8,4096,0,256,5,0.081,0.081,0.084,178124994123008
pack_per_entry,dense,old_groups,4096,16,8192,0,256,5,0.230,0.224,0.237,279280191994880
pack_per_entry,dense,current_groups,4096,16,8192,0,256,5,0.124,0.121,0.129,279280191994880
pack_per_entry,dense,simd_prototype,4096,16,8192,0,256,5,0.121,0.121,0.138,279280191994880
pack_per_entry,dense,old_groups,4096,32,16384,0,256,5,0.163,0.159,0.176,4503599628418560
pack_per_entry,dense,current_groups,4096,32,16384,0,256,5,0.178,0.163,0.186,4503599628418560
pack_per_entry,dense,simd_prototype,4096,32,16384,0,256,5,0.226,0.219,0.242,4503599628418560
pack_per_entry,dense,old_groups,4096,63,32256,0,256,5,0.449,0.438,0.462,2097152
pack_per_entry,dense,current_groups,4096,63,32256,0,256,5,0.460,0.456,0.500,2097152
pack_per_entry,dense,simd_prototype,4096,63,32256,0,256,5,0.453,0.438,0.457,2097152
