operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,dense_larger,old_groups,2097152,8,2752512,0,524288,5,51.300,50.476,52.783,140713118222656
query,dense_larger,current_groups,2097152,8,2752512,0,524288,5,36.274,36.232,38.532,140713118222656
query,dense_larger,old_select15,2097152,8,2752512,0,524288,5,50.921,50.074,51.769,140713118222656
query,dense_larger,current_select15,2097152,8,2752512,0,524288,5,37.125,36.400,37.967,140713118222656
query,dense_larger,simd_prototype,2097152,8,2752512,0,524288,5,42.919,42.736,45.052,140713118222656
query,dense_larger,old_groups,2097152,8,2752512,8,524288,5,51.299,50.938,52.618,140713118222656
query,dense_larger,current_groups,2097152,8,2752512,8,524288,5,36.602,35.647,37.520,140713118222656
query,dense_larger,old_select15,2097152,8,2752512,8,524288,5,50.901,50.079,52.665,140713118222656
query,dense_larger,current_select15,2097152,8,2752512,8,524288,5,37.073,36.908,38.311,140713118222656
query,dense_larger,simd_prototype,2097152,8,2752512,8,524288,5,43.512,42.500,44.847,140713118222656
build_per_entry,dense,old_groups,2097152,8,2752512,0,1,5,1.417,1.391,1.468,4132650627216550880
build_per_entry,dense,current_groups,2097152,8,2752512,0,1,5,1.131,1.115,1.155,4132650627216550880
build_per_entry,dense,old_select15,2097152,8,2752512,0,1,5,3.420,3.301,3.468,4132650627216550880
build_per_entry,dense,current_select15,2097152,8,2752512,0,1,5,1.080,1.051,1.151,4132650627216550880
build_per_entry,dense,simd_prototype,2097152,8,2752512,0,1,5,1.182,1.051,1.236,4132650627216550880
validate_per_entry,dense,old_scalar,2097152,8,16777216,0,1,5,0.885,0.847,0.936,1
validate_per_entry,dense,current,2097152,8,16777216,0,1,5,0.284,0.277,0.288,1
pack_per_entry,dense,old_groups,2097152,1,262144,0,1,5,0.329,0.320,0.346,576637363675988136
pack_per_entry,dense,current_groups,2097152,1,262144,0,1,5,0.316,0.290,0.338,576637363675988136
pack_per_entry,dense,simd_prototype,2097152,1,262144,0,1,5,0.315,0.292,0.332,576637363675988136
pack_per_entry,dense,old_groups,2097152,7,1835008,0,1,5,0.397,0.396,0.429,756493529710612
pack_per_entry,dense,current_groups,2097152,7,1835008,0,1,5,0.393,0.377,0.408,756493529710612
pack_per_entry,dense,simd_prototype,2097152,7,1835008,0,1,5,0.390,0.378,0.399,756493529710612
pack_per_entry,dense,old_groups,2097152,8,2097152,0,1,5,0.186,0.169,0.224,235296411138560
pack_per_entry,dense,current_groups,2097152,8,2097152,0,1,5,0.148,0.139,0.192,235296411138560
pack_per_entry,dense,simd_prototype,2097152,8,2097152,0,1,5,0.153,0.142,0.167,235296411138560
pack_per_entry,dense,old_groups,2097152,16,4194304,0,1,5,0.231,0.227,0.247,279280212179968
pack_per_entry,dense,current_groups,2097152,16,4194304,0,1,5,0.144,0.142,0.149,279280212179968
pack_per_entry,dense,simd_prototype,2097152,16,4194304,0,1,5,0.146,0.141,0.161,279280212179968
pack_per_entry,dense,old_groups,2097152,32,8388608,0,1,5,0.181,0.175,0.191,2305843009750564352
pack_per_entry,dense,current_groups,2097152,32,8388608,0,1,5,0.192,0.175,0.200,2305843009750564352
pack_per_entry,dense,simd_prototype,2097152,32,8388608,0,1,5,0.245,0.241,0.304,2305843009750564352
pack_per_entry,dense,old_groups,2097152,63,16515072,0,1,5,0.467,0.458,0.472,1073741824
pack_per_entry,dense,current_groups,2097152,63,16515072,0,1,5,0.474,0.451,0.528,1073741824
pack_per_entry,dense,simd_prototype,2097152,63,16515072,0,1,5,0.471,0.453,0.481,1073741824
