operation,case,variant,entries,width,encoded_bytes,high_mod64,operations,trials,median_ns,min_ns,max_ns,checksum
query,zero_hot,old_groups,4096,0,768,0,524288,5,44.542,44.269,45.215,0
query,zero_hot,current_groups,4096,0,768,0,524288,5,24.671,24.426,25.299,0
query,zero_hot,old_select15,4096,0,768,0,524288,5,43.495,43.069,44.837,0
query,zero_hot,current_select15,4096,0,768,0,524288,5,24.535,24.276,25.440,0
query,zero_hot,simd_prototype,4096,0,768,0,524288,5,27.138,26.602,28.466,0
query,zero_hot,old_groups,4096,0,768,8,524288,5,44.430,43.870,46.352,0
query,zero_hot,current_groups,4096,0,768,8,524288,5,24.935,24.628,25.372,0
query,zero_hot,old_select15,4096,0,768,8,524288,5,43.425,42.952,43.890,0
query,zero_hot,current_select15,4096,0,768,8,524288,5,25.062,24.671,25.508,0
query,zero_hot,simd_prototype,4096,0,768,8,524288,5,28.688,28.204,29.612,0
build_per_entry,zero,old_groups,4096,0,768,0,256,5,1.162,1.123,1.182,17984683793722826784
build_per_entry,zero,current_groups,4096,0,768,0,256,5,0.925,0.904,0.985,17984683793722826784
build_per_entry,zero,old_select15,4096,0,768,0,256,5,3.405,3.329,3.469,17984683793722826784
build_per_entry,zero,current_select15,4096,0,768,0,256,5,0.931,0.908,0.980,17984683793722826784
build_per_entry,zero,simd_prototype,4096,0,768,0,256,5,0.948,0.912,1.006,17984683793722826784
validate_per_entry,zero,old_scalar,4096,0,32768,0,256,5,0.841,0.836,0.870,1
validate_per_entry,zero,current,4096,0,32768,0,256,5,0.265,0.264,0.272,1
