variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,0,19459.000,3050.629,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,0,28042.000,6070.689,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,byte,15,4096,0,87,1,4096,0,16584.000,3046.092,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,bit,15,4096,0,87,1,4096,0,25792.000,6034.007,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,byte,15,4096,0,87,1,4096,1,16292.000,3059.092,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,bit,15,4096,0,87,1,4096,1,26125.000,5965.149,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,1,19459.000,3064.341,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,1,39750.000,5996.735,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,2,15792.000,3079.010,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,2,35042.000,6043.986,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,byte,15,4096,0,87,1,4096,2,20542.000,3029.480,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,bit,15,4096,0,87,1,4096,2,21041.000,5998.118,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,byte,15,4096,0,87,1,4096,3,21875.000,3611.796,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,d8bc932600719e576cbdc9a8cffe4ead2da62dcc,bit,15,4096,0,87,1,4096,3,34750.000,6616.974,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,3,21958.000,3068.848,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,3,33750.000,6169.373,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,byte,15,4096,0,87,1,4096,4,17958.000,3072.489,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,8214d4be528010aabd9aac76a0bcfb91ec7a5b14,bit,15,4096,0,87,1,4096,4,31416.000,6056.264,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
