variant,revision,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,trial,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,0,87,1,4096,0,26291.000,3366.109,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,0,87,1,4096,0,28250.000,6190.470,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,0,87,1,4096,0,22041.000,3405.670,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,0,87,1,4096,0,24166.000,4555.644,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,0,87,1,4096,1,19333.000,3215.302,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,0,87,1,4096,1,27583.000,4593.435,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,0,87,1,4096,1,15459.000,3157.725,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,0,87,1,4096,1,31708.000,6174.235,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,0,87,1,4096,2,17708.000,3173.838,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,0,87,1,4096,2,28791.000,6137.095,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,0,87,1,4096,2,13542.000,3130.341,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,0,87,1,4096,2,30916.000,4512.817,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,0,87,1,4096,3,20708.000,3166.422,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,0,87,1,4096,3,29625.000,4496.053,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,0,87,1,4096,3,19083.000,3175.456,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,0,87,1,4096,3,33959.000,6231.079,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,0,87,1,4096,4,16125.000,3114.482,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,0,87,1,4096,4,22541.000,6128.326,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,0,87,1,4096,4,18709.000,3120.290,20480,2796,331823824949766785,15,56790,1379,728,280,3128,50,62355
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,0,87,1,4096,4,20625.000,4453.237,20480,2796,331823824949766785,15,53782,1214,856,280,3128,50,59310
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,byte,15,4096,64,87,1,4096,0,21458.000,3186.727,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
baseline_w15,eafad7bbc33f57494664505a4cb5f1a346555a7b,bit,15,4096,64,87,1,4096,0,27625.000,6266.093,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,64,87,1,4096,0,28959.000,3139.608,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,bit,15,4096,64,87,1,4096,0,19708.000,4604.869,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
candidate_w15,7586eef2e82a2023162dd4e5ab31ef3832a0d87c,byte,15,4096,64,87,1,4096,1,13792.000,3134.196,20480,2796,331823824949766785,15,57046,1635,728,280,3128,50,62867
