topology,unit,fixed,base_count,prefix_bytes,value_bytes,random,native_count,raw_key_bytes,raw_value_bytes,catalogs,borrowed_count,native_bytes,borrowed_bytes,ef_bytes,rank_bytes,lcp_bytes,false_borrow_bytes,total_array_bytes
single,byte,1,4096,0,8,0,5440,43520,43520,5,390,59949,1298,640,280,3128,50,65345
single,bit,1,4096,0,8,0,5440,43520,43520,5,390,53503,1097,752,280,3128,50,58810
single,byte,0,4096,0,128,0,5440,43520,696320,5,390,712749,1298,640,280,3128,50,718145
single,byte,1,4096,0,8,1,5440,43520,43520,5,390,93065,3859,728,280,3128,50,101110
single,bit,1,4096,0,8,1,5440,43520,43520,5,390,94849,3908,856,280,3128,50,103071
single,byte,0,4096,0,128,1,5440,43520,696320,5,390,745865,3859,728,280,3128,50,753910
single,byte,1,4096,64,8,0,5440,391680,43520,5,390,60205,1554,640,280,3128,50,65857
single,bit,1,4096,64,8,0,5440,391680,43520,5,390,54124,1380,760,280,3128,50,59722
single,byte,0,4096,64,128,0,5440,391680,696320,5,390,713005,1554,640,280,3128,50,718657
single,byte,1,4096,64,8,1,5440,391680,43520,5,390,93321,4115,728,280,3128,50,101622
single,bit,1,4096,64,8,1,5440,391680,43520,5,390,95654,4207,872,280,3128,50,104191
single,byte,0,4096,64,128,1,5440,391680,696320,5,390,746121,4115,728,280,3128,50,754422
single,byte,1,65536,0,8,0,87040,696320,696320,6,6220,958827,20377,6440,3552,49768,779,1039743
single,bit,1,65536,0,8,0,87040,696320,696320,6,6220,855656,17184,8256,3552,49768,779,935195
single,byte,0,65536,0,128,0,87040,696320,11141120,6,6220,11403627,20377,6440,3552,49768,779,11484543
single,byte,1,65536,0,8,1,87040,696320,696320,6,6220,1454317,56847,7696,3552,49768,779,1572959
single,bit,1,65536,0,8,1,87040,696320,696320,6,6220,1474590,59249,10040,3552,49768,779,1597978
single,byte,0,65536,0,128,1,87040,696320,11141120,6,6220,11899117,56847,7696,3552,49768,779,12017759
single,byte,1,65536,64,8,0,87040,6266880,696320,6,6220,959083,20697,6448,3552,49768,779,1040327
single,bit,1,65536,64,8,0,87040,6266880,696320,6,6220,861715,17921,8304,3552,49768,779,942039
single,byte,0,65536,64,128,0,87040,6266880,11141120,6,6220,11403883,20697,6448,3552,49768,779,11485127
single,byte,1,65536,64,8,1,87040,6266880,696320,6,6220,1454573,57167,7696,3552,49768,779,1573535
single,bit,1,65536,64,8,1,87040,6266880,696320,6,6220,1482900,60202,10048,3552,49768,779,1607249
single,byte,0,65536,64,128,1,87040,6266880,11141120,6,6220,11899373,57167,7696,3552,49768,779,12018335
