case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms,process
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.75045799999999996,6.5274169999999998,1.2948333169333637,3.276583,1.317833,0.60166600000000003,0.53904200000000002,0.72862500000000008,0
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.66187499999999999,3.1256249999999999,1.2506666826084256,0.87175000000000002,1.089375,0.27962500000000001,0.499417,0.34100000000000003,0
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.64541700000000002,3.2617500000000001,1.2568749953061342,0.83087500000000003,1.2694589999999999,0.56979199999999997,0.25674999999999998,0.30033300000000002,0
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.65641700000000003,2.9622920000000001,1.2548333615995944,0.76795800000000003,1.037542,0.28695900000000002,0.50495800000000002,0.31129200000000001,0
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.60658299999999998,3.0049579999999998,1.2673332821577787,0.85750000000000004,1.3005420000000001,0.25429200000000002,0.26883299999999999,0.28362500000000002,0
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.58037499999999997,2.4002089999999998,1.2546250363811851,0.56987500000000002,0.99150000000000005,0.26208399999999998,0.25179200000000002,0.28854200000000002,0
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.377,3.2625000000000002,1.4905832940712571,0.99487499999999995,1.0814589999999999,0.26220900000000003,0.48766599999999999,0.39016600000000001,0
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,1.2685839999999999,3.4757920000000002,1.4830000000074506,0.95550000000000002,1.1824170000000001,0.2485,0.55374999999999996,0.48150000000000004,0
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.034208,3.1060829999999999,1.4561667339876294,0.92866700000000002,1.01525,0.26200000000000001,0.46079199999999998,0.39141700000000001,0
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.1840409999999999,3.0991249999999999,1.522374979685992,0.99970800000000004,1.0016670000000001,0.24937500000000001,0.449208,0.363124,0
variable-4096,3,4096,4096,6839,976248,977320,1631720,0,0,1.432958,3.7382909999999998,1.5165833756327629,0.72870800000000002,1.072208,0.59695799999999999,0.487375,0.80670900000000001,0
variable-4096,4,4096,4096,6839,976248,977320,1631720,0,0,1.1162080000000001,2.4715410000000002,1.1042499099858105,0.59070800000000001,0.798458,0.25941700000000001,0.42241699999999999,0.36099999999999999,0
fixed-32768,-1,32768,32768,54712,658304,658304,1098640,17,0,3.4834170000000002,4.6760830000000002,1.6353332903236151,1.8532500000000001,1.3203750000000001,0.40658300000000003,0.47020800000000001,0.56533299999999997,0
fixed-32768,0,32768,32768,54712,658304,658304,1098640,17,0,3.1132919999999999,3.7788750000000002,1.6057500033639371,0.91920800000000003,1.263792,0.345916,0.386625,0.81462500000000004,0
fixed-32768,1,32768,32768,54712,658304,658304,1098640,17,0,3.1277499999999998,3.8427920000000002,1.6927499673329294,0.97758299999999998,1.6091249999999999,0.33366699999999999,0.42520799999999997,0.42870799999999998,0
fixed-32768,2,32768,32768,54712,658304,658304,1098640,17,0,3.0551659999999998,3.3001670000000001,1.6093750018626451,0.88254200000000005,1.2613749999999999,0.33487499999999998,0.40662500000000001,0.37012499999999998,0
fixed-32768,3,32768,32768,54712,658304,658304,1098640,17,0,3.335083,3.9197500000000001,1.6535833710804582,0.93974999999999997,1.2779579999999999,0.74895900000000004,0.42225000000000001,0.48404100000000005,0
fixed-32768,4,32768,32768,54712,658304,658304,1098640,17,0,3.171084,3.3185419999999999,1.6355000552721322,0.92962500000000003,1.277709,0.32208300000000001,0.38420799999999999,0.36650000000000005,0
variable-32768,-1,32768,32768,54712,7815552,7816512,13050112,0,0,8.3172499999999996,8.3823749999999997,2.988333348184824,2.82525,1.294084,0.60075000000000001,2.1071249999999999,1.474667,0
variable-32768,0,32768,32768,54712,7815552,7816512,13050112,0,0,6.9969999999999999,6.877459,2.9857082990929484,1.064333,1.617208,0.58645800000000003,2.0720000000000001,1.443541,0
variable-32768,1,32768,32768,54712,7815552,7816512,13050112,0,0,6.6529579999999999,6.2691670000000004,2.9748749220743775,1.116166,1.275792,0.38608300000000001,2.1348750000000001,1.234542,0
variable-32768,2,32768,32768,54712,7815552,7816512,13050112,0,0,7.4411659999999999,6.3202920000000002,3.0463749426417053,1.0963750000000001,1.2665,0.32333400000000001,2.2675000000000001,1.195667,0
variable-32768,3,32768,32768,54712,7815552,7816512,13050112,0,0,7.179125,6.712459,2.9906249837949872,1.1489590000000001,1.2719590000000001,0.82708400000000004,2.1765829999999999,1.1896260000000001,0
variable-32768,4,32768,32768,54712,7815552,7816512,13050112,0,0,7.1288749999999999,6.4165419999999997,3.1513333087787032,1.385,1.261792,0.33762500000000001,2.0890420000000001,1.2271240000000001,0
fixed-131072,-1,131072,131072,218881,2632416,2632416,4394392,17,0,12.19725,6.1911250000000004,2.6340833865106106,1.8362080000000001,1.9096249999999999,0.754417,0.99750000000000005,0.63474999999999993,0
fixed-131072,0,131072,131072,218881,2632416,2632416,4394392,17,0,11.937917000000001,5.6823750000000004,2.7672500000335276,1.4595,1.8655409999999999,0.68295899999999998,0.955959,0.66133299999999995,0
fixed-131072,1,131072,131072,218881,2632416,2632416,4394392,17,0,11.794791,5.3693330000000001,2.6736666914075613,1.1640839999999999,1.943667,0.55570799999999998,0.92712499999999998,0.71199999999999997,0
fixed-131072,2,131072,131072,218881,2632416,2632416,4394392,17,0,11.944750000000001,5.5841659999999997,2.6495833299122751,1.2559579999999999,2.1437919999999999,0.65237500000000004,0.84287500000000004,0.63466599999999995,0
fixed-131072,3,131072,131072,218881,2632416,2632416,4394392,17,0,12.094417,5.5966250000000004,2.7223332435823977,1.176625,2.129375,0.57933299999999999,0.97041699999999997,0.67837499999999995,0
fixed-131072,4,131072,131072,218881,2632416,2632416,4394392,17,0,11.615875000000001,5.3707500000000001,2.6177917025052011,1.248,2.0329999999999999,0.54220800000000002,0.86991600000000002,0.61408400000000007,0
variable-131072,-1,131072,131072,218881,31265784,31266112,52212272,0,0,44.927582999999998,23.687417,8.2633749698288739,8.2752079999999992,2.0668329999999999,0.69554199999999999,8.0392089999999996,4.3917909999999996,0
variable-131072,0,131072,131072,218881,31265784,31266112,52212272,0,0,46.519834000000003,18.057417000000001,8.6164166568778455,2.2451669999999999,2.046916,0.71633400000000003,8.1665829999999993,4.6730830000000001,0
variable-131072,1,131072,131072,218881,31265784,31266112,52212272,0,0,60.288333999999999,17.332999999999998,8.5802916437387466,1.9458329999999999,1.9117919999999999,0.61870899999999995,8.1245829999999994,4.5328330000000001,0
variable-131072,2,131072,131072,218881,31265784,31266112,52212272,0,0,81.849833000000004,18.059583,8.5090833017602563,1.7683329999999999,2.4185840000000001,0.487041,7.9963749999999996,5.1762909999999991,0
variable-131072,3,131072,131072,218881,31265784,31266112,52212272,0,0,56.465125,17.504625000000001,8.4037916967645288,2.5329999999999999,2.0597500000000002,0.81687500000000002,7.8111670000000002,4.0978760000000003,0
variable-131072,4,131072,131072,218881,31265784,31266112,52212272,0,0,43.961582999999997,17.175542,8.1529166782274842,1.817709,2.0409999999999999,1.109167,7.6053750000000004,4.3520009999999996,0
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.62024999999999997,5.9018750000000004,1.2871666694991291,3.0996250000000001,1.3240419999999999,0.54170799999999997,0.49975000000000003,0.38783400000000001,1
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.58145899999999995,2.775833,1.2671666336245835,0.72016599999999997,1.0185,0.29762499999999997,0.27262500000000001,0.43350100000000003,1
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.60037499999999999,2.9292910000000001,1.270458335056901,0.83687500000000004,1.2647079999999999,0.25662499999999999,0.25808399999999998,0.27662500000000001,1
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.53454199999999996,3.5647920000000002,1.5209167613647878,1.4859169999999999,0.982958,0.25224999999999997,0.51716700000000004,0.29199999999999998,1
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.56691599999999998,2.9541249999999999,1.2691249139606953,0.84550000000000003,1.3019590000000001,0.25020799999999999,0.24625,0.27620800000000001,1
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.53420800000000002,2.4935839999999998,1.2556666042655706,0.59066700000000005,1.0842080000000001,0.24199999999999999,0.244084,0.29487400000000002,1
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.257917,3.292583,1.5118749579414725,0.99412500000000004,1.0686659999999999,0.25812499999999999,0.50524999999999998,0.41325000000000001,1
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,0.96483399999999997,3.5554579999999998,1.6156249330379069,0.95308300000000001,1.2637080000000001,0.28758299999999998,0.49475000000000002,0.47512600000000005,1
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.008542,2.903292,1.4612916274927557,0.715333,1.0215000000000001,0.25554199999999999,0.46529199999999998,0.40400000000000003,1
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.2083330000000001,3.451959,1.5274166944436729,0.94512499999999999,1.0031669999999999,0.28720899999999999,0.79849999999999999,0.38345899999999999,1
variable-4096,3,4096,4096,6839,976248,977320,1631720,0,0,1.0991249999999999,2.9493749999999999,1.4580833376385272,0.700542,1.0247919999999999,0.26841599999999999,0.487292,0.42354200000000003,1
variable-4096,4,4096,4096,6839,976248,977320,1631720,0,0,1.0981669999999999,2.7698330000000002,1.471708295866847,0.66874999999999996,0.981958,0.24979199999999999,0.45566699999999999,0.376917,1
fixed-32768,-1,32768,32768,54712,658304,658304,1098640,17,0,3.4071660000000001,4.9032920000000004,1.6325833275914192,1.8757079999999999,1.3412919999999999,0.30854199999999998,0.82845800000000003,0.49154199999999998,1
fixed-32768,0,32768,32768,54712,658304,658304,1098640,17,0,3.1458750000000002,3.4321670000000002,1.7157499678432941,0.96750000000000003,1.334625,0.315,0.39858399999999999,0.37995800000000002,1
fixed-32768,1,32768,32768,54712,658304,658304,1098640,17,0,3.1516250000000001,3.358625,1.6228750464506447,0.98158299999999998,1.2727919999999999,0.315583,0.38300000000000001,0.36695900000000004,1
