case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms
check-0-0-0,ff,1,0,0,0,0,0,256,0,0.000125,0.103708,8.32952e-05,0.005833,0.561709,1.00454,1,0.000125,0.000125,0.103708,0.103708
check-0-33-0,ff,1,0,33,0,33,528,1312,0,0.000458,1.13133,0.0558749,0.002166,0.411334,0.241083,1,0.000458,0.000458,1.13133,1.13133
check-33-0-0,ff,1,33,0,0,33,528,1312,0,0.001,0.499875,0.055375,0.001667,0.37375,0.234,1,0.001,0.001,0.499875,0.499875
check-31-0-100,ff,1,31,0,31,0,0,256,0,0.000208,0.30925,0.0289167,0.001459,0.516417,0.4045,1,0.000208,0.000208,0.30925,0.30925
check-257-263-0,ff,1,257,263,0,520,8320,16896,0,0.004917,1.21538,0.12125,0.009459,0.395792,0.24675,1,0.004917,0.004917,1.21538,1.21538
check-513-257-50,ff,1,513,257,256,514,8224,16704,0,0.004667,0.579125,0.155,0.01425,0.372333,0.159,1,0.004667,0.004667,0.579125,0.579125
check-513-19-90,ff,1,513,19,461,71,1136,2528,0,0.002375,0.655417,0.128667,0.006208,0.327833,0.215667,1,0.002375,0.002375,0.655417,0.655417
check-31-1009-50,ff,1,31,1009,15,1025,16400,33056,0,0.007041,0.870791,0.140875,0.012416,0.29125,0.226625,1,0.007041,0.007041,0.870791,0.870791
scattered-half,ff,1,4099,2057,2049,4107,65712,131680,0,0.035625,0.995709,0.253292,0.065291,0.3725,0.171125,1,0.035625,0.035625,0.995709,0.995709
scattered-heavy,ff,1,4099,127,3689,537,8592,17440,0,0.017166,0.910875,0.168292,0.035792,0.367958,0.219542,1,0.017166,0.017166,0.910875,0.910875
check-0-0-0,fv,4,0,0,0,0,0,280,0,0.000959,1.14217,0.04575,0.00725,0.326959,0.2855,1,0.000959,0.000959,1.14217,1.14217
check-0-33-0,fv,4,0,33,0,33,8502,9352,0,0.004167,0.573083,0.157833,0.004458,0.401291,0.249375,1,0.004167,0.004167,0.573083,0.573083
check-33-0-0,fv,4,33,0,0,33,7875,8728,0,0.003417,0.557667,0.1625,0.003709,0.408792,0.2405,1,0.003417,0.003417,0.557667,0.557667
check-31-0-100,fv,4,31,0,31,0,0,280,0,0.000709,1.15442,0.0772917,0.003291,0.355042,0.196125,1,0.000709,0.000709,1.15442,1.15442
check-257-263-0,fv,4,257,263,0,520,132073,141360,0,0.043833,1.05017,0.333208,0.021167,0.366917,0.1825,1,0.043833,0.043833,1.05017,1.05017
check-513-257-50,fv,4,513,257,256,514,131816,141000,0,0.039125,0.841375,0.3645,0.022167,0.39575,0.187791,1,0.039125,0.039125,0.841375,0.841375
check-513-19-90,fv,4,513,19,461,71,18766,20272,0,0.007583,0.994083,0.291083,0.020667,0.306125,0.147875,1,0.007583,0.007583,0.994083,0.994083
check-31-1009-50,fv,4,31,1009,15,1025,261288,279312,0,0.078417,0.758667,0.320417,0.026708,0.386083,0.19575,1,0.078417,0.078417,0.758667,0.758667
scattered-half,fv,4,4099,2057,2049,4107,1051141,1122528,0,0.348875,1.60779,0.494125,0.226416,0.541167,0.175708,1,0.348875,0.348875,1.60779,1.60779
scattered-heavy,fv,4,4099,127,3689,537,136582,146160,0,0.07175,0.847375,0.357875,0.086541,0.381292,0.162,1,0.07175,0.07175,0.847375,0.847375
sparse-exceptions,fv,4,16384,16384,0,32768,1048576,1605920,256,0.958125,1.26779,0.438917,0.340834,0.538416,0.198834,1,0.958125,0.958125,1.26779,1.26779
zero-values,fv,4,0,1025,0,1025,0,16872,0,0.02525,0.503792,0.146,0.009583,0.365625,0.139167,1,0.02525,0.02525,0.503792,0.503792
tiny-values,fv,4,259,517,129,647,1424,12344,0,0.043083,0.796292,0.406125,0.01075,0.371583,0.16425,1,0.043083,0.043083,0.796292,0.796292
word-scattered-check,fv,1,1027,1029,513,1543,394438,421432,0,0.13625,0.882709,0.399958,0.050625,0.499,0.172666,1,0.13625,0.13625,0.882709,0.882709
balanced-4096-0,ff,1,4096,4096,0,8192,131072,262400,0,0.0655,0.603333,0.220833,0.066084,0.34675,0.16825,5,0.064917,0.066208,0.5915,0.886959
balanced-4096-50,ff,1,4096,4096,2048,6144,98304,196864,0,0.047709,0.635375,0.18075,0.070375,0.348125,0.156083,5,0.047,0.055667,0.63275,0.645375
balanced-4096-90,ff,1,4096,4096,3686,4506,72096,144448,0,0.037042,0.615458,0.178875,0.068417,0.312709,0.244458,5,0.036667,0.040375,0.603875,0.716
balanced-65536-0,ff,1,65536,65536,0,131072,2097152,4194560,0,1.08167,1.01567,0.314542,1.4765,0.88325,0.348791,5,1.05783,1.15721,0.760125,1.20812
balanced-65536-50,ff,1,65536,65536,32768,98304,1572864,3145984,0,0.784375,0.87925,0.259208,1.10825,0.99925,0.344458,5,0.772583,0.81325,0.839416,1.13817
