case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
check-0-0-0,ff,1,0,0,0,0,0,256,0,0.00025,0.099667,0.000374974,0.002083,0.595333,0.999417,1,0.00025,0.00025,0.099667,0.099667,0.00025,0.00025,0.00025
check-0-33-0,ff,1,0,33,0,33,528,1312,0,0.000542,2.311,0.43775,0.001917,0.650458,0.380041,1,0.000542,0.000542,2.311,2.311,0.000334,0.000334,0.000334
check-33-0-0,ff,1,33,0,0,33,528,1312,0,0.000625,0.655833,0.0546667,0.005334,0.53425,0.415917,1,0.000625,0.000625,0.655833,0.655833,0.000541,0.000541,0.000541
check-31-0-100,ff,1,31,0,31,0,0,256,0,8.3e-05,0.572375,0.0331667,0.001541,0.409959,0.466792,1,8.3e-05,8.3e-05,0.572375,0.572375,8.3e-05,8.3e-05,8.3e-05
check-257-263-0,ff,1,257,263,0,520,8320,16896,0,0.005209,1.11871,0.119125,0.008875,0.405458,0.359375,1,0.005209,0.005209,1.11871,1.11871,0.004416,0.004416,0.004416
check-513-257-50,ff,1,513,257,256,514,8224,16704,0,0.004666,0.587458,0.153083,0.015667,0.438041,0.358333,1,0.004666,0.004666,0.587458,0.587458,0.004083,0.004083,0.004083
check-513-19-90,ff,1,513,19,461,71,1136,2528,0,0.001625,1.18508,0.133083,0.009209,0.418958,0.358208,1,0.001625,0.001625,1.18508,1.18508,0.001208,0.001208,0.001208
check-31-1009-50,ff,1,31,1009,15,1025,16400,33056,0,0.007041,1.87358,1.35163,0.011042,0.504208,0.377125,1,0.007041,0.007041,1.87358,1.87358,0.007,0.007,0.007
scattered-half,ff,1,4099,2057,2049,4107,65712,131680,0,0.034042,1.26271,0.253917,0.065667,0.440833,0.308708,1,0.034042,0.034042,1.26271,1.26271,0.038291,0.038291,0.038291
scattered-heavy,ff,1,4099,127,3689,537,8592,17440,0,0.013584,0.589708,0.161167,0.036375,0.437958,0.331541,1,0.013584,0.013584,0.589708,0.589708,0.006166,0.006166,0.006166
