kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
cutover,0,train,256,1,32,50,8,0,0,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.112917,0.391792,5.206417,3.92529164674,0.799125,0.020958,3.492917,0.271666,0.309583,0.312,362,44388,5936,994633995
cutover,0,train,256,1,32,50,8,0,1,0,256,256,32044,32197,4368,4392,-1,-1,321,321,0.10925,0.307041,2.647625,1.64062489057,0.819042,0.013167,1.116709,0.210416,0.221209,0.266792,362,44388,5936,994633995
cutover,0,train,256,1,32,50,8,0,2,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.097333,0.281625,5.040833,3.25904175406,3.170417,0.0145,1.180958,0.209375,0.228833,0.236458,362,44388,5936,994633995
cutover,1,train,1024,1,32,50,8,0,0,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.423083,0.663041,5.367459,2.43008334655,3.004959,0.016416,0.872375,0.268667,0.61575,0.589168,1524,187043,23888,2086645356
cutover,1,train,1024,1,32,50,8,0,1,1,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.3945,0.573625,2.818625,1.38945836807,1.087417,0.017916,1.014708,0.228834,0.229375,0.240208,1524,187043,23888,2086645356
cutover,1,train,1024,1,32,50,8,0,2,0,1024,1024,128124,128211,16464,16480,-1,-1,321,321,0.40325,0.643375,4.341292,2.9228333733,0.650542,0.012083,2.939375,0.246416,0.215875,0.276876,1524,187043,23888,2086645356
cutover,2,train,4096,1,32,50,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.566292,1.843125,2.514625,1.03366671829,1.015583,0.0255,0.7835,0.22425,0.215875,0.249542,6142,753584,95208,1420657760
cutover,2,train,4096,1,32,50,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.607,1.890541,2.937125,1.31583330221,1.361333,0.026583,0.801417,0.239666,0.221,0.286749,6142,753584,95208,1420657760
cutover,2,train,4096,1,32,50,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.613875,1.881917,2.469792,1.03841669625,0.711667,0.030208,0.775708,0.235458,0.379292,0.337041,6142,753584,95208,1420657760
cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.537833,6.940875,4.133417,2.30675004423,2.067167,0.04125,1.024166,0.330167,0.310958,0.359375,24568,3014314,379848,1580578734
cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.499208,6.852083,6.384041,3.70000005933,1.337291,0.024375,1.639125,0.319792,1.59125,1.471916,24568,3014314,379848,1580578734
cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.504834,7.050084,6.401542,4.75937500596,1.335417,0.026083,4.117542,0.262708,0.34625,0.313375,24568,3014314,379848,1580578734
cutover,4,train,65536,1,32,50,8,0,0,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,27.024541,27.818875,8.036042,5.06404158659,1.431208,0.03975,3.134875,2.254708,0.536125,0.638999,98286,12058641,1518560,4111325549
cutover,4,train,65536,1,32,50,8,0,1,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.234834,28.46,8.620125,6.00024993764,1.584333,0.077208,5.166125,0.495792,0.589875,0.7065,98286,12058641,1518560,4111325549
cutover,4,train,65536,1,32,50,8,0,2,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.77,27.392167,7.930833,5.67087496165,1.486958,0.035542,4.743958,0.500125,0.577375,0.586375,98286,12058641,1518560,4111325549
cutover,5,train,262144,1,32,50,8,0,0,0,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,107.262625,109.020292,8.591875,4.28987498162,1.739625,0.055208,2.7215,2.091333,0.901292,1.082375,393194,48241520,6074088,557783620
cutover,5,train,262144,1,32,50,8,0,1,1,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,108.531166,110.681833,10.69725,4.9463333562,3.073042,0.045,2.547375,0.826542,2.977292,1.227166,393194,48241520,6074088,557783620
cutover,5,train,262144,1,32,50,8,0,2,0,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,107.14475,109.156584,12.345958,7.42924987571,2.09375,0.060792,4.122042,3.807833,1.040417,1.220916,393194,48241520,6074088,557783620
cutover,6,train,4096,4,32,50,8,0,0,1,4096,1024,512407,128211,64848,16480,-1,-1,321,321,1.093834,1.345,3.443667,2.13779171463,1.501959,0.04175,1.113375,0.242708,0.245667,0.298,4596,571326,72264,2075690464
cutover,6,train,4096,4,32,50,8,0,1,0,4096,1024,512407,128211,64848,16480,-1,-1,321,321,1.04575,1.25375,3.033416,1.95154169342,0.860958,0.02525,1.386625,0.243084,0.264709,0.252625,4596,571326,72264,2075690464
cutover,6,train,4096,4,32,50,8,0,2,1,4096,1024,512407,128211,64848,16480,-1,-1,321,321,1.042125,1.257375,3.197917,2.01279169414,1.25025,0.026834,1.05475,0.293625,0.262792,0.3095,4596,571326,72264,2075690464
cutover,7,train,4096,16,32,50,8,0,0,0,4096,256,512407,32197,64848,4392,-1,-1,321,321,0.925417,1.197083,3.261458,1.93487503566,0.991166,0.029417,1.349834,0.278291,0.289333,0.323166,4202,524751,66408,548182195
cutover,7,train,4096,16,32,50,8,0,1,1,4096,256,512407,32197,64848,4392,-1,-1,321,321,0.8805,1.105209,3.554042,2.23145831842,1.225167,0.025875,1.326583,0.285625,0.318333,0.372166,4202,524751,66408,548182195
cutover,7,train,4096,16,32,50,8,0,2,0,4096,256,512407,32197,64848,4392,-1,-1,321,321,0.908,1.167834,3.874583,1.93433329696,0.920625,0.029042,1.321958,0.504,0.83775,0.260917,4202,524751,66408,548182195
cutover,8,train,4096,1,0,50,8,0,0,1,4096,4096,510509,510646,64608,64624,-1,-1,65,65,1.549541,1.805625,2.7465,1.35216664057,1.28875,0.027584,0.655667,0.242791,0.272416,0.259042,6142,751116,94904,2127246526
cutover,8,train,4096,1,0,50,8,0,1,0,4096,4096,510509,510646,64608,64624,-1,-1,65,65,1.537166,1.756583,4.33025,2.61679169489,2.982417,0.026208,0.5405,0.255375,0.258334,0.267208,6142,751116,94904,2127246526
cutover,8,train,4096,1,0,50,8,0,2,1,4096,4096,510509,510646,64608,64624,-1,-1,65,65,1.56625,1.744042,4.180958,2.78791657183,2.649333,0.024875,0.664833,0.25175,0.275834,0.314166,6142,751116,94904,2127246526
cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.603666,1.881625,6.758416,4.48045827216,0.685541,0.035375,3.57325,0.274708,1.872458,0.3165,6142,757836,95744,2590442344
cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.554584,1.814292,4.078125,2.53216666169,0.957625,0.032167,2.408583,0.230958,0.203375,0.245124,6142,757836,95744,2590442344
cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.585584,1.790042,4.369917,2.68983328715,0.758875,0.030708,2.400042,0.741042,0.189792,0.249209,6142,757836,95744,2590442344
cutover,10,train,4096,1,32,0,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.900666,2.276166,4.261875,2.38216668367,1.798208,0.052958,1.179708,0.578083,0.300875,0.351666,8192,995525,125688,3587737607
cutover,10,train,4096,1,32,0,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.89625,2.15075,4.939792,2.86508339923,2.816208,0.027791,1.18775,0.306125,0.25975,0.341875,8192,995525,125688,3587737607
cutover,10,train,4096,1,32,0,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.848916,2.117958,4.954083,2.91904160986,2.146292,0.040917,1.216667,0.649333,0.533416,0.367208,8192,995525,125688,3587737607
cutover,11,train,4096,1,32,100,8,0,0,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.224583,1.531292,6.225125,3.91120836139,1.297458,0.026208,1.459333,0.252084,2.901125,0.288625,4096,512544,64864,1541549791
cutover,11,train,4096,1,32,100,8,0,1,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.216625,1.476792,6.284292,4.45324997418,1.259125,0.04225,4.07025,0.26775,0.285,0.359666,4096,512544,64864,1541549791
cutover,11,train,4096,1,32,100,8,0,2,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.164083,1.452792,5.845333,4.23408334609,1.130833,0.040833,3.617,0.3215,0.390208,0.344709,4096,512544,64864,1541549791
cutover,12,train,4096,1,32,50,64,0,0,1,4096,4096,2199215,2199804,275768,275840,-1,-1,321,321,1.662708,2.081583,4.249042,2.67683330458,1.56025,0.11925,1.535291,0.285209,0.402916,0.345334,6142,3282658,411456,3438403046
cutover,12,train,4096,1,32,50,64,0,1,0,4096,4096,2199215,2199804,275768,275840,-1,-1,321,321,1.812875,2.244167,5.908958,3.68104164954,3.503875,0.027667,1.464917,0.250625,0.315375,0.34625,6142,3282658,411456,3438403046
cutover,12,train,4096,1,32,50,64,0,2,1,4096,4096,2199215,2199804,275768,275840,-1,-1,321,321,1.602625,1.960875,5.033416,3.65137506742,2.6345,0.034583,1.4935,0.252,0.309875,0.308709,6142,3282658,411456,3438403046
cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.165875,3.176333,3.977958,1.29104178632,1.545916,0.063167,0.985375,0.278542,0.503875,0.600708,6142,23322038,2916520,3383366565
cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.120416,3.050708,4.756333,1.97900005151,1.284625,0.02875,2.265666,0.284542,0.397875,0.494584,6142,23322038,2916520,3383366565
cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.151458,3.020875,4.603167,1.62150000688,2.403833,0.047792,0.809375,0.250083,0.440792,0.651084,6142,23322038,2916520,3383366565
cutover,14,train,4096,1,32,50,8,1,0,1,4096,4096,356832,356832,45296,45296,72,72,321,321,1.465042,1.786375,3.989583,1.91262498265,1.155625,0.029667,1.756958,0.247125,0.524208,0.27575,6142,520358,65880,1955793926
cutover,14,train,4096,1,32,50,8,1,1,0,4096,4096,356832,356832,45296,45296,72,72,321,321,1.3765,1.667417,5.817542,3.49575001746,3.6795,0.039167,1.29825,0.27875,0.25075,0.270792,6142,520358,65880,1955793926
cutover,14,train,4096,1,32,50,8,1,2,1,4096,4096,356832,356832,45296,45296,72,72,321,321,1.379708,1.623375,4.690291,3.52620828198,2.40075,0.032125,1.434542,0.269125,0.255917,0.297583,6142,520358,65880,1955793926
cutover,15,train,65536,4,32,50,8,0,0,0,65536,16384,8196298,2049259,1032160,258312,-1,-1,321,321,17.292875,17.839292,7.813541,4.70429175766,4.024208,0.050875,1.982625,0.668875,0.493541,0.593083,73720,9161482,1153712,614578965
cutover,15,train,65536,4,32,50,8,0,1,1,65536,16384,8196298,2049259,1032160,258312,-1,-1,321,321,17.638208,18.284458,5.406958,3.40183335356,2.021958,0.0475,2.230542,0.389417,0.347209,0.370083,73720,9161482,1153712,614578965
cutover,15,train,65536,4,32,50,8,0,2,0,65536,16384,8196298,2049259,1032160,258312,-1,-1,321,321,18.104334,18.813459,2.863417,1.31645845249,0.794833,0.030375,1.0035,0.31575,0.324,0.394625,73720,9161482,1153712,614578965
cutover,16,train,65536,16,32,50,8,0,0,1,65536,4096,8196298,512544,1032160,64864,-1,-1,321,321,15.118125,15.639,7.195041,5.20191667601,1.296625,0.032917,4.346166,0.387084,0.682458,0.449583,67582,8437475,1062528,2803778650
