mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
levelwise,0,cutover,2,train,4096,1,32,50,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.57875,1.855458,2.847,1.00612506503,1.078875,0.032292,0.853834,0.337417,0.226334,0.317958,6142,753584,95208,1420657760
levelwise,0,cutover,2,train,4096,1,32,50,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.598333,1.932208,2.546333,1.10591668636,0.996333,0.02625,0.827333,0.226209,0.214709,0.255208,6142,753584,95208,1420657760
levelwise,0,cutover,2,train,4096,1,32,50,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.61175,1.86275,2.276417,1.04283337714,0.684375,0.035791,0.8115,0.22975,0.231292,0.2835,6142,753584,95208,1420657760
tiled,0,cutover,2,train,4096,1,32,50,8,0,0,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.566875,1.832667,3.489209,1.97308335919,1.278542,0.031083,1.372291,0.260542,0.252208,0.294167,6142,753584,95208,1420657760
tiled,0,cutover,2,train,4096,1,32,50,8,0,1,0,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.603417,1.925875,4.463542,2.14875000529,2.02475,0.05425,1.158709,0.636292,0.273875,0.315541,6142,753584,95208,1420657760
tiled,0,cutover,2,train,4096,1,32,50,8,0,2,1,4096,4096,512407,512544,64848,64864,-1,-1,321,321,1.615459,1.873292,3.434458,2.05591670237,1.316666,0.037791,1.138333,0.241459,0.363875,0.335959,6142,753584,95208,1420657760
tiled,0,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.507041,7.01675,3.166875,1.32387498161,1.04425,0.043541,1.007833,0.291917,0.413958,0.365041,24568,3014314,379848,1580578734
tiled,0,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.327459,6.653792,3.003667,1.35599978967,1.085792,0.030916,1.050542,0.249209,0.266125,0.316667,24568,3014314,379848,1580578734
tiled,0,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.462,6.896792,2.636542,1.12450000597,0.687459,0.037167,0.927792,0.243792,0.288542,0.4515,24568,3014314,379848,1580578734
levelwise,0,cutover,3,train,16384,1,32,50,8,0,0,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.422,6.747792,5.630084,3.32062499365,3.368042,0.029125,1.342417,0.267958,0.326208,0.296125,24568,3014314,379848,1580578734
levelwise,0,cutover,3,train,16384,1,32,50,8,0,1,1,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.406875,6.723458,6.626959,3.68529156549,1.389667,0.029875,1.644834,1.661959,0.796333,1.103917,24568,3014314,379848,1580578734
levelwise,0,cutover,3,train,16384,1,32,50,8,0,2,0,16384,16384,2049130,2049259,258296,258312,-1,-1,321,321,6.38475,7.099291,6.629625,4.23791672802,3.712833,0.03475,1.843708,0.320459,0.316125,0.401375,24568,3014314,379848,1580578734
levelwise,0,cutover,4,train,65536,1,32,50,8,0,0,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,26.216916,27.070791,8.272125,5.10508340085,1.347167,0.031375,2.479208,3.140042,0.64025,0.633666,98286,12058641,1518560,4111325549
