phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
alternatives,typed-bit,hash,131072,128,hit,dependent,base,3,8017.985,8017.985,1.0,8005.229,8370.26,8005.229,8370.26,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,289694700.0
alternatives,typed-bit,hash,131072,128,hit,dependent,direct64,3,8017.985,7893.392,1.0157844688316506,8005.229,8370.26,7597.839,7924.968,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,288348000.0
alternatives,typed-bit,hash,131072,128,hit,dependent,packed,3,8017.985,7934.753,1.0104895514706003,8005.229,8370.26,7928.04,8158.549,overlap,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,286428600.0
alternatives,typed-bit,hash,131072,128,hit,independent,base,3,8067.749,8067.749,1.0,8028.442,8438.436,8028.442,8438.436,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,289694700.0
alternatives,typed-bit,hash,131072,128,hit,independent,direct64,3,8067.749,7817.953,1.0319515863039852,8028.442,8438.436,7706.217,7859.823,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,288348000.0
alternatives,typed-bit,hash,131072,128,hit,independent,packed,3,8067.749,7952.087,1.01454486099058,8028.442,8438.436,7800.944,8097.087,overlap,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,286428600.0
alternatives,typed-bit,hash,131072,128,miss,dependent,base,3,8591.919,8591.919,1.0,8332.601,8653.341,8332.601,8653.341,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,289694700.0
alternatives,typed-bit,hash,131072,128,miss,dependent,direct64,3,8591.919,8041.524,1.0684441158168525,8332.601,8653.341,7938.212,8066.691,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,288348000.0
alternatives,typed-bit,hash,131072,128,miss,dependent,packed,3,8591.919,8079.752,1.0633889505519476,8332.601,8653.341,7911.458,8327.759,faster,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,286428600.0
alternatives,typed-bit,hash,131072,128,miss,independent,base,3,8427.45,8427.45,1.0,8375.834,9042.46,8375.834,9042.46,overlap,30651952,30651952,0.0,26096,0.08513650288895142,1024,289694700.0
alternatives,typed-bit,hash,131072,128,miss,independent,direct64,3,8427.45,8202.982,1.027364195118312,8375.834,9042.46,8150.37,8345.011,faster,30651952,30726112,0.24194217712463217,100256,0.3262892487015604,0,288348000.0
alternatives,typed-bit,hash,131072,128,miss,independent,packed,3,8427.45,8234.273,1.0234601160296728,8375.834,9042.46,8206.116,8626.404,overlap,30651952,30668224,0.05308634177685345,42368,0.13814950614681829,0,286428600.0
