profile,records,key_bytes,access,variant,process,minimum_ns,median_ns,maximum_ns,max_min_ratio,status
typed-bit,1024,128,random,base,0,5121.379,5229.492,5310.262,1.0368812774840526,retained_small_size_panel
typed-bit,1024,128,random,base,1,5359.375,5413.208,5689.413,1.0615814344023322,retained_small_size_panel
typed-bit,1024,128,random,direct32,0,4964.804,5009.277,5075.684,1.0223332079171705,retained_small_size_panel
typed-bit,1024,128,random,direct32,1,4928.101,5041.829,5159.709,1.0469974134052853,retained_small_size_panel
typed-bit,1024,128,random,direct64,0,4848.715,4863.974,4928.549,1.0164649809279365,retained_small_size_panel
typed-bit,1024,128,random,direct64,1,4998.657,5167.521,5299.357,1.0601561579440237,retained_small_size_panel
typed-bit,1024,128,random,packed,0,4911.621,4913.615,5114.42,1.0412896271923262,retained_small_size_panel
typed-bit,1024,128,random,packed,1,5000.977,5070.19,5501.75,1.1001350336144318,retained_small_size_panel
typed-bit,1024,128,random,sub32,0,5155.64,5336.873,5442.505,1.055641006742131,retained_small_size_panel
typed-bit,1024,128,random,sub32,1,5073.894,5274.088,5296.55,1.0438826668432568,retained_small_size_panel
typed-bit,1024,128,sorted,base,0,5054.443,5064.86,5138.102,1.0165515765040776,retained_small_size_panel
typed-bit,1024,128,sorted,base,1,4990.031,5191.772,5193.44,1.0407630734157762,retained_small_size_panel
typed-bit,1024,128,sorted,direct32,0,4754.517,4802.205,4821.858,1.0141635838088285,retained_small_size_panel
typed-bit,1024,128,sorted,direct32,1,4784.628,4866.618,4962.932,1.037266011067109,retained_small_size_panel
typed-bit,1024,128,sorted,direct64,0,4613.77,4703.694,4771.362,1.0341568825494118,retained_small_size_panel
typed-bit,1024,128,sorted,direct64,1,4973.999,5127.971,5193.767,1.0441833623207404,retained_small_size_panel
typed-bit,1024,128,sorted,packed,0,4643.962,4651.489,4703.084,1.0127309396588515,retained_small_size_panel
typed-bit,1024,128,sorted,packed,1,4639.689,5031.006,5032.796,1.0847270151081247,retained_small_size_panel
typed-bit,1024,128,sorted,sub32,0,4867.106,4933.716,4948.567,1.0167370507237772,retained_small_size_panel
typed-bit,1024,128,sorted,sub32,1,5025.513,5109.131,5343.465,1.0632675708927626,retained_small_size_panel
typed-bit,131072,128,random,base,0,8538.293,8631.187,8667.364,1.0151167218084458,retained_small_size_panel
typed-bit,131072,128,random,base,1,8107.326,8124.924,8176.483,1.00853018615509,retained_small_size_panel
typed-bit,131072,128,random,direct32,0,7946.27,7974.266,8063.986,1.0148139944904968,retained_small_size_panel
typed-bit,131072,128,random,direct32,1,7768.54,7814.555,7833.885,1.0084114904473684,retained_small_size_panel
typed-bit,131072,128,random,direct64,0,8045.125,8105.887,8184.312,1.0173007877441307,retained_small_size_panel
typed-bit,131072,128,random,direct64,1,7992.789,8043.135,8183.638,1.023877647714709,retained_small_size_panel
typed-bit,131072,128,random,packed,0,7943.555,8019.001,8057.04,1.014286424654956,retained_small_size_panel
typed-bit,131072,128,random,packed,1,7791.854,7812.516,7880.629,1.011393308960871,retained_small_size_panel
typed-bit,131072,128,random,sub32,0,8623.521,8656.423,8661.755,1.004433687817308,retained_small_size_panel
typed-bit,131072,128,random,sub32,1,8238.312,8275.277,8275.977,1.0045719317258197,retained_small_size_panel
typed-bit,131072,128,sorted,base,0,7310.596,7350.96,7396.243,1.011715460682002,retained_small_size_panel
typed-bit,131072,128,sorted,base,1,7150.608,7226.431,7254.88,1.0145822565018248,retained_small_size_panel
typed-bit,131072,128,sorted,direct32,0,6969.777,7003.482,7051.818,1.0117709648386168,retained_small_size_panel
typed-bit,131072,128,sorted,direct32,1,6879.47,6887.4,6902.945,1.0034123268216881,retained_small_size_panel
typed-bit,131072,128,sorted,direct64,0,6991.648,7021.374,7034.343,1.006106571726723,retained_small_size_panel
typed-bit,131072,128,sorted,direct64,1,6924.111,6957.929,6978.479,1.0078519827310684,retained_small_size_panel
typed-bit,131072,128,sorted,packed,0,7025.14,7031.3,7102.506,1.011012734265794,retained_small_size_panel
typed-bit,131072,128,sorted,packed,1,6894.702,6934.449,6967.642,1.0105791374304502,retained_small_size_panel
typed-bit,131072,128,sorted,sub32,0,7414.122,7440.853,7548.775,1.018161691971079,retained_small_size_panel
typed-bit,131072,128,sorted,sub32,1,7185.548,7213.666,7216.455,1.004301272498632,retained_small_size_panel
typed-bit,2097152,128,random,base,0,10145.313,10162.346,10235.622,1.0089015489221476,diagnostic_high_variability
typed-bit,2097152,128,random,base,1,10291.981,10306.121,10310.713,1.0018200577711909,diagnostic_high_variability
typed-bit,2097152,128,random,direct32,0,11407.232,13508.977,15353.768,1.3459678912465356,diagnostic_high_variability
